% site name: AASI
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2005.7490   -31.9     3.5    97.2     2.2   -53.7     2.2
2005.7514   -36.8     3.9    95.1     2.3   -56.0     2.4
2005.7542   -31.7     3.9    95.6     2.3   -55.4     2.4
2005.7570   -32.3     3.5    95.6     2.2   -55.6     2.2
2005.7600   -31.9     3.5    97.7     2.2   -53.4     2.2
2005.7624   -34.1     3.9    96.0     2.3   -53.7     2.4
2005.7652   -28.5     3.4    96.4     2.1   -55.0     2.3
2005.7680   -33.6     3.6    96.7     2.2   -54.7     2.3
2005.7710   -31.4     3.7    97.1     2.3   -53.5     2.3
2005.7734   -29.3     3.5    97.3     2.2   -55.2     2.3
2005.7762   -32.8     3.5    96.4     2.2   -53.9     2.2
2005.7790   -28.2     3.6    96.2     2.2   -53.1     2.3
2005.7820   -29.1     3.5    98.4     2.2   -50.5     2.2
2005.7844   -32.2     3.5    96.5     2.2   -55.2     2.2
2005.7871   -46.5     7.4    94.8     3.7   -57.1     4.1
2005.8200   -29.6     3.5    94.8     2.2   -54.9     2.2
2005.8230   -25.9     3.6    95.1     2.2   -55.0     2.3
2005.8254   -29.8     3.6    94.8     2.2   -55.2     2.3
2005.8282   -25.4     3.4    94.6     2.2   -54.0     2.2
2005.8310   -28.2     3.4    95.1     2.2   -54.3     2.2
2005.8340   -33.5     3.7    94.2     2.2   -53.9     2.3
2005.8364   -31.4     3.6    94.8     2.2   -54.2     2.3
2005.8392   -33.3     3.6    96.7     2.3   -53.9     2.2
2005.8420   -36.2    12.7    89.8     6.3   -45.3     6.9
2005.8474   -28.0     3.6    95.2     2.2   -51.4     2.3
2005.8500   -33.1     4.0    93.7     2.3   -52.9     2.4
2005.8530   -38.5     3.5    95.4     2.2   -51.9     2.2
2005.8560   -28.9     3.5    94.8     2.2   -51.2     2.2
2005.8582   -31.8     3.5    94.5     2.2   -53.2     2.2
2005.8610   -34.6     3.5    92.9     2.2   -52.2     2.2
2005.8640   -32.3     3.5    93.8     2.2   -53.1     2.2
2005.8664   -32.7     3.8    93.5     2.2   -52.1     2.4
2005.8692   -25.2     4.1    94.6     2.3   -52.3     2.5
2005.8720   -33.1     3.8    94.4     2.3   -53.7     2.4
2005.8860   -27.3     3.5    92.8     2.2   -52.9     2.2
2005.8884   -32.2     3.5    94.1     2.2   -52.7     2.2
2005.8912   -28.6     3.5    94.2     2.2   -50.4     2.2
2005.8940   -32.9     3.7    94.2     2.2   -49.3     2.4
2005.8970   -43.1     3.7    95.7     2.2   -48.7     2.4
2005.8994   -45.3     4.3    93.5     2.4   -49.7     2.7
2005.9020   -43.9     3.8    95.0     2.2   -52.1     2.3
2005.9050   -37.7     3.6    95.3     2.2   -52.0     2.3
2005.9080   -37.8     3.4    95.3     2.0   -53.8     2.2
2005.9102   -27.4     4.7    95.8     2.7   -52.8     2.8
2005.9350   -29.6     3.3    92.3     2.0   -51.3     2.1
2005.9380   -33.0     3.9    92.3     2.3   -55.6     2.4
2005.9432   -35.1    28.3    92.9     2.2   -52.6     2.3
2005.9460   -40.6     3.6    92.7     2.2   -53.2     2.3
2005.9490   -21.5     3.7    86.0     5.4   -50.9     6.6
2005.9624   -33.1    12.8    93.6     2.1   -52.0     2.3
2005.9650   -29.1     3.4    92.8     2.0   -50.9     2.1
2005.9680   -33.9     3.3    92.0     2.2   -51.7     2.2
2005.9710   -36.0     3.4    91.3     2.5   -50.4     2.5
2005.9732   -33.0     4.0    91.8     2.3   -51.8     2.3
2005.9760   -36.7     3.7    91.9     2.2   -53.8     2.2
2005.9790   -38.4     3.5    91.3     2.2   -53.1     2.2
2005.9814   -34.8     3.4    92.2     2.2   -52.9     2.3
2005.9842   -34.1     3.6    93.0     2.2   -53.4     2.3
2005.9870   -27.8     3.6    93.1     2.2   -52.5     2.2
2005.9900   -29.9     3.5    93.2     2.3   -52.2     2.4
2005.9930   -34.6     4.0    91.6     2.5   -51.6     2.6
2005.9952   -35.6     4.2    92.2     2.3   -51.3     2.4
2005.9980   -28.8     3.8    92.0     2.3   -49.6     2.4
2006.0010   -23.7     3.8    93.1     2.3   -49.8     2.4
2006.0062   -30.5     3.9    91.2     2.2   -51.2     2.3
2006.0090   -31.4     3.6    92.3     2.2   -50.4     2.2
2006.0120   -34.7     3.4    94.1     2.2   -50.3     2.2
2006.0144   -36.9     3.4    91.3     2.2   -52.7     2.2
2006.0170   -34.2     3.4    90.7     2.2   -50.2     2.4
2006.0200   -34.5     3.7    93.0     2.2   -51.2     2.4
2006.0230   -29.4     3.8    92.6     2.2   -50.6     2.2
2006.0252   -27.0     3.5    93.1     2.2   -51.7     2.2
2006.0280   -22.5     3.4    91.7     2.2   -53.6     2.2
2006.0310   -27.9     3.5    90.6     2.2   -53.1     2.2
2006.0334   -27.1     3.4    93.0     2.2   -50.5     2.2
2006.0362   -29.8     3.5    90.7     2.1   -52.7     2.3
2006.0390   -32.0     3.4    91.9     2.2   -53.3     2.2
2006.0420   -34.1     3.4    91.9     2.2   -55.2     2.2
2006.0450   -35.8     3.5    92.5     2.2   -55.1     2.4
2006.0472   -30.8     3.8    92.2     2.2   -57.6     2.3
2006.0500   -25.5     3.7    93.2     2.2   -56.5     2.3
2006.0530   -26.4     3.6    92.2     2.2   -57.9     2.4
2006.0554   -18.9     3.8    89.6     2.2   -57.6     2.3
2006.0582    -9.0     3.6    89.7     2.4   -55.0     2.7
2006.0610   -17.0     4.3    90.3     2.0   -57.4     2.2
2006.0640   -15.3     3.4    90.5     2.2   -54.4     2.3
2006.0664    -9.6     3.8    92.9     2.2   -54.9     2.3
2006.0690   -15.1     3.6    92.4     2.2   -56.4     2.2
2006.0720   -17.5     3.4    92.0     2.4   -57.7     2.5
2006.0750   -15.5     4.0    93.1     2.2   -57.4     2.2
2006.0772   -11.3     3.5    93.7     2.2   -55.3     2.2
2006.0800   -16.6     3.5    92.5     2.0   -57.5     2.1
2006.0830   -21.1     3.3    91.6     2.0   -57.4     2.1
2006.0860   -20.0     3.3    91.2     2.2   -58.2     2.4
2006.0910   -18.2     3.8    94.0     2.2   -58.1     2.3
2006.0940   -18.1     3.6    92.4     2.0   -59.2     2.1
2006.0970   -17.1     3.3    93.2     2.0   -57.7     2.2
2006.0992   -19.8     3.4    94.0     2.0   -58.4     2.1
2006.1020   -22.1     3.3    92.6     2.2   -59.9     2.3
2006.1050   -18.3     3.8    94.5     2.1   -57.5     2.1
2006.1080   -12.3     3.5    94.5     2.0   -56.4     2.2
2006.1102   -15.5     3.5    92.9     2.0   -56.4     2.2
2006.1130   -22.5     3.4    93.2     2.1   -57.1     2.2
2006.1160   -21.1     3.6    92.0     2.0   -57.3     2.1
2006.1184   -22.9     3.3    92.7     2.0   -58.6     2.2
2006.1210   -25.5     3.4    93.0     2.0   -57.3     2.2
2006.1240   -22.5     3.4    91.8     2.0   -58.4     2.1
2006.1270   -21.0     3.3    91.6     2.0   -59.5     2.2
2006.1293   -22.3     3.4    92.3     2.2   -58.9     2.3
2006.1320   -26.9     3.6    92.3     2.0   -60.0     2.2
2006.1350   -27.4     3.4    93.8     2.0   -60.7     2.1
2006.1380   -24.6     3.3    92.7     2.2   -59.9     2.2
2006.1402   -21.7     3.5    91.4     2.3   -60.2     2.4
2006.1430   -15.2     3.9    90.2     2.3   -58.7     2.3
2006.1460   -27.6     3.7    92.4     2.2   -57.9     2.3
2006.1490   -28.4     3.6    89.6     2.1   -58.1     2.1
2006.1512   -28.6     3.5    88.8     2.2   -57.9     2.3
2006.1540   -38.4     3.6    89.5     2.0   -51.6     2.2
2006.1570   -42.7     3.4    88.4     2.2   -49.5     2.3
2006.1600   -38.5     3.6    88.9     2.0   -49.8     2.1
2006.1622   -41.5     3.3    88.4     2.2   -49.7     2.2
2006.1650   -36.4     3.4    87.7     2.2   -52.5     2.2
2006.1680   -41.5     3.5    88.4     2.0   -51.2     2.2
2006.1704   -35.9     3.4    88.4     2.0   -51.6     2.1
2006.1732   -36.3     3.3    87.6     2.0   -52.4     2.1
2006.1760   -34.9     3.3    89.0     2.0   -50.7     2.2
2006.1790   -32.0     3.4    89.7     2.2   -51.2     2.2
2006.1813   -35.2     3.5    89.9     2.2   -53.0     2.2
2006.1840   -30.1     3.5    89.6     2.0   -50.4     2.1
2006.1870   -33.2     3.3    89.6     2.0   -50.8     2.2
2006.1900   -31.1     3.4    90.1     2.2   -48.2     2.2
2006.1922   -38.9     3.4    88.6     2.2   -48.3     2.3
2006.1950   -34.4     3.6    89.3     2.1   -49.5     2.3
2006.1980   -36.3     3.4    88.7     2.0   -49.1     2.2
2006.2004   -35.5     3.4    88.0     2.0   -48.3     2.1
2006.2032   -30.9     3.3    89.0     2.2   -48.3     2.2
2006.2060   -35.6     3.4    87.6     2.2   -49.0     2.3
2006.2090   -40.6     3.6    89.0     2.2   -48.6     2.2
2006.2120   -41.5     3.5    87.6     2.3   -49.0     2.4
2006.2142   -32.9     3.8    88.4     2.4   -49.5     2.7
2006.2170   -37.9     4.3    89.7     2.2   -49.6     2.5
2006.2200   -32.9     3.9    88.6     2.2   -49.2     2.4
2006.2230   -36.1     3.8    87.4     2.2   -50.4     2.3
2006.2252   -32.3     3.6    87.2     2.2   -48.2     2.2
2006.2280   -34.3     3.5    87.7     2.2   -48.5     2.3
2006.2310   -38.2     3.7    87.2     2.2   -48.6     2.3
2006.2333   -38.3     3.8    85.7     2.2   -49.5     2.3
2006.2360   -36.4     3.6    85.6     2.2   -49.2     2.3
2006.2390   -39.7     3.6    87.1     2.1   -51.3     2.3
2006.2420   -38.5     3.4    87.8     2.0   -51.2     2.1
2006.2443   -39.1     3.3    88.5     2.1   -51.7     2.3
2006.2470   -36.3     3.5    87.6     2.1   -51.0     2.3
2006.2500   -36.7     3.5    87.5     2.0   -50.2     2.1
2006.2530   -36.2     3.3    87.9     2.0   -50.4     2.1
2006.2552   -36.8     3.3    88.2     2.0   -49.8     2.1
2006.2580   -39.0     3.3    89.7     2.2   -49.9     2.3
2006.2610   -35.8     3.6    86.6     2.2   -48.4     2.3
2006.2640   -32.8     3.7    86.5     2.2   -48.4     2.2
2006.2663   -37.2     3.5    86.2     2.1   -50.4     2.3
2006.2690   -37.1     3.4    85.8     2.1   -50.1     2.2
2006.2720   -26.7     3.3    85.6     2.3   -48.1     2.4
2006.2750   -29.3     3.9    86.4     2.3   -49.0     2.3
2006.2772   -35.5     3.6    85.7     2.2   -49.1     2.2
2006.2800   -31.8     3.4    85.6     2.0   -49.3     2.1
2006.2830   -27.4     3.3    85.0     2.2   -49.8     2.2
2006.2854   -24.3     3.4    86.2     2.2   -48.8     2.5
2006.2882   -32.0     3.9    86.3     2.4   -48.6     2.6
2006.2910   -26.2     4.1    86.0     2.3   -48.6     2.3
2006.2940   -33.7     3.6    86.7     2.2   -49.2     2.2
2006.2963   -31.5     3.5    86.5     2.1   -47.3     2.3
2006.2990   -35.2     3.5    85.6     2.0   -48.1     2.1
2006.3020   -35.7     3.3    86.4     2.1   -48.9     2.3
2006.3050   -32.5     3.4    85.8     2.1   -49.4     2.3
2006.3072   -24.2     3.4    88.5     2.2   -47.8     2.3
2006.3100   -27.9     3.6    89.2     2.0   -48.6     2.2
2006.3130   -23.2     3.4    89.3     2.2   -47.9     2.2
2006.3160   -29.5     3.5    88.8     2.0   -50.0     2.1
