% site name: ASKY
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6324   -64.2     5.5    87.9     2.4   -42.5     2.5
2007.6352   -67.9     3.4    88.6     1.7   -42.0     1.9
2007.6380   -63.0     3.4    87.2     1.7   -42.3     1.9
2007.6410   -68.4     3.4    88.3     1.7   -41.4     1.9
2007.6434   -66.9     3.3    88.7     1.7   -40.3     1.7
2007.6461   -66.5     3.4    87.3     1.7   -42.3     1.9
2007.6490   -62.6     3.4    88.0     1.7   -41.2     1.9
2007.6520   -66.5     3.5    87.6     1.7   -41.1     1.9
2007.6542   -68.7     3.6    88.6     1.7   -41.6     1.9
2007.6571   -66.6     3.4    89.4     1.7   -40.6     1.9
2007.6600   -62.2     3.4    86.2     1.7   -40.6     1.9
2007.6630   -62.3     3.4    86.2     1.7   -42.3     1.9
2007.6652   -61.5     3.4    87.7     1.7   -41.8     1.9
2007.6680   -65.2     3.4    87.3     1.7   -39.6     1.9
2007.6710   -63.7     3.5    88.8     1.7   -40.6     1.9
2007.6734   -63.7     3.5    87.8     1.7   -42.2     1.9
2007.6761   -58.8     3.4    87.8     1.7   -41.3     1.9
2007.6790   -62.8     3.4    88.7     1.7   -43.5     1.9
2007.6820   -61.3     3.5    87.6     1.7   -42.1     1.9
2007.6844   -64.7     3.4    86.7     1.7   -40.9     1.9
2007.6872   -63.5     3.4    87.9     1.7   -41.6     1.9
2007.6900   -59.1     3.4    86.7     1.7   -39.8     1.9
2007.6930   -61.9     3.4    87.3     1.7   -40.6     1.9
2007.6954   -61.4     3.5    89.0     1.7   -40.7     1.9
2007.6982   -62.2     3.4    87.5     1.7   -40.8     1.9
2007.7010   -65.8     3.4    87.7     1.7   -41.0     1.9
2007.7040   -62.7     3.4    86.3     1.7   -40.1     1.9
2007.7064   -62.2     3.6    86.5     1.7   -41.8     1.9
2007.7091   -63.8     3.4    86.5     1.7   -39.0     1.9
2007.7120   -60.1     3.4    84.7     1.7   -41.3     1.9
2007.7150   -57.8     3.4    85.9     1.7   -41.9     1.9
2007.7172   -58.6     3.3    86.7     1.7   -39.9     1.8
2007.7200   -60.0     3.4    86.7     1.7   -39.5     1.9
2007.7230   -57.3     3.4    86.3     1.7   -41.3     1.9
2007.7254   -60.3     3.5    85.5     1.7   -38.9     1.9
2007.7282   -63.6     3.5    86.4     1.7   -41.7     1.9
2007.7310   -60.8     3.4    86.8     1.7   -40.3     1.9
2007.7340   -61.3     3.4    86.3     1.7   -38.6     1.9
2007.7364   -63.2     3.3    85.0     1.7   -39.1     1.7
2007.7392   -63.5     3.4    85.0     1.7   -40.8     1.9
2007.7420   -64.0     3.4    85.1     1.7   -39.0     1.9
2007.7450   -59.0     3.4    85.1     1.7   -40.1     1.9
2007.7474   -56.9     3.4    87.0     1.7   -39.7     1.9
2007.7502   -56.5     3.4    86.7     1.7   -39.0     1.9
2007.7530   -61.7     3.5    85.7     1.7   -40.8     1.9
2007.7560   -57.8     3.4    85.9     1.7   -38.1     1.9
2007.7584   -61.5     3.5    87.8     1.7   -38.2     1.9
2007.7611   -62.1     3.4    86.7     1.7   -39.0     1.9
2007.7640   -67.3     3.4    85.9     1.7   -40.7     1.9
2007.7670   -61.0     3.4    87.5     1.7   -40.2     1.9
2007.7692   -66.5     3.5    86.0     1.7   -40.5     1.9
2007.7720   -61.6     3.5    86.6     1.7   -39.0     1.9
2007.7750   -62.8     3.5    85.0     1.7   -38.0     1.9
