% site name: BLAS
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5170   -33.9     7.4    40.8     2.5   -69.0     1.4
2008.5200   -26.4     3.8    40.3     1.7   -68.0     1.2
2008.5222   -26.4     3.8    41.3     1.7   -69.2     1.2
2008.5250   -27.5     3.9    42.1     1.8   -68.7     1.2
2008.5280   -28.1     3.9    41.1     1.7   -69.8     1.2
2008.5310   -25.9     4.0    40.0     1.7   -68.5     1.2
2008.5332   -24.3     4.1    40.1     1.8   -69.2     1.3
2008.5360   -23.6     4.3    42.4     1.8   -68.5     1.3
2008.5390   -27.2     4.0    41.5     1.8   -69.4     1.2
2008.5413   -27.9     4.1    40.1     1.8   -69.8     1.3
2008.5440   -25.3     3.9    41.0     1.8   -68.1     1.2
2008.5470   -24.3     4.0    41.0     1.7   -68.1     1.2
2008.5500   -26.8     3.8    40.8     1.7   -68.3     1.2
2008.5523   -28.1     3.8    42.3     1.7   -69.6     1.2
2008.5550   -22.7     3.9    42.3     1.7   -69.1     1.2
2008.5580   -24.9     4.0    41.0     1.7   -68.0     1.2
2008.5610   -19.3     4.1    40.0     1.8   -68.3     1.3
2008.5633   -22.7     4.0    40.7     1.7   -68.3     1.2
2008.5660   -28.1     4.0    40.9     1.8   -68.8     1.2
2008.5690   -28.7     3.8    40.2     1.7   -68.1     1.2
2008.5720   -25.2     4.0    39.6     1.7   -66.7     1.2
2008.5743   -29.0     3.9    39.3     1.7   -69.7     1.2
2008.5770   -28.3     3.8    39.9     1.7   -68.1     1.2
2008.5800   -26.0     3.9    39.4     1.7   -68.5     1.2
2008.5830   -28.0     3.8    38.2     1.7   -69.1     1.2
2008.5852   -21.4     3.9    39.2     1.7   -67.6     1.2
2008.5880   -25.3     3.8    38.7     1.7   -67.8     1.2
2008.5910   -15.5     4.0    38.3     1.8   -67.3     1.2
2008.5933   -21.0     3.8    38.6     1.7   -68.0     1.2
2008.5961   -26.2     3.8    38.9     1.7   -68.1     1.2
2008.5990   -22.4     3.9    40.4     1.7   -68.1     1.2
2008.6020   -20.6     4.1    38.4     1.8   -69.5     1.3
2008.6043   -26.0     3.9    38.2     1.7   -68.2     1.2
2008.6070   -15.4     4.2    40.7     1.8   -69.4     1.3
2008.6100   -23.8     4.0    41.7     1.8   -68.2     1.2
2008.6130   -22.4     4.1    42.5     1.8   -73.5     1.3
2008.6153   -23.7     4.0    40.4     1.8   -68.1     1.2
2008.6180   -20.0     3.9    40.1     1.7   -69.0     1.2
2008.6210   -19.9     3.9    41.3     1.7   -68.4     1.2
2008.6240   -20.5     3.9    41.8     1.7   -67.8     1.2
2008.6263   -18.9     3.9    39.7     1.7   -68.0     1.2
2008.6290   -25.7     4.0    39.4     1.7   -69.2     1.2
2008.6320   -23.6     4.1    41.0     1.7   -68.8     1.2
2008.6350   -21.5     4.1    41.4     1.7   -67.5     1.2
2008.6372   -18.1     3.9    40.6     1.7   -67.3     1.2
2008.6400   -18.2     4.2    39.9     1.8   -67.6     1.3
2008.6430   -23.5     4.0    40.8     1.7   -68.4     1.2
2008.6453   -16.6     3.9    40.3     1.7   -67.6     1.2
2008.6481   -24.5     4.0    39.7     1.7   -69.8     1.2
2008.6510   -15.8     3.9    39.8     1.7   -67.3     1.2
2008.6540   -20.4     3.8    38.8     1.7   -68.4     1.2
2008.6563   -22.6     3.7    39.3     1.7   -66.9     1.1
2008.6590   -20.5     3.8    40.6     1.7   -69.1     1.2
2008.6620   -23.3     3.8    37.5     1.7   -68.4     1.2
2008.6650   -16.7     3.8    38.8     1.7   -68.0     1.2
2008.6673   -19.7     3.9    39.5     1.7   -65.9     1.2
2008.6700   -20.2     3.8    39.8     1.7   -66.9     1.2
2008.6730   -21.0     3.8    40.3     1.7   -66.0     1.2
2008.6760   -24.1     4.1    39.5     1.8   -66.8     1.3
2008.6783   -23.0     4.0    38.2     1.7   -66.6     1.2
2008.6810   -21.8     4.0    38.8     1.7   -66.5     1.2
2008.6840   -22.8     4.0    39.2     1.7   -65.9     1.2
