% site name: DANE
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6230    -3.1     4.9    32.9     2.1   -59.0     1.4
2009.6260    -8.4     3.5    33.7     1.7   -61.0     1.2
2009.6282    -7.7     3.5    32.2     1.7   -59.7     1.2
2009.6311    -3.4     3.5    33.3     1.7   -61.5     1.3
2009.6340    -6.4     3.5    33.0     1.7   -59.7     1.2
2009.6370    -7.6     3.7    33.7     1.7   -57.1     1.3
2009.6392   -28.7     3.7    37.2     1.7   -57.8     1.3
2009.6420   -11.1     3.6    34.6     1.7   -59.1     1.2
2009.6450    -9.3     3.5    33.9     1.7   -59.9     1.2
2009.6474    -6.9     3.5    32.7     1.7   -59.1     1.2
2009.6501    -1.4     3.5    31.9     1.7   -59.9     1.2
2009.6530    -1.5     3.5    30.9     1.7   -61.5     1.2
2009.6560    -4.8     3.7    32.3     1.7   -59.2     1.3
2009.6584     0.7     3.5    32.1     1.7   -59.2     1.3
2009.6612    -9.3     3.5    31.7     1.7   -58.8     1.3
2009.6640    -3.0     3.6    32.3     1.7   -59.3     1.2
2009.6670    -5.4     3.5    33.0     1.7   -59.4     1.2
2009.6694     0.2     3.5    33.1     1.7   -59.4     1.3
2009.6721    -5.8     3.6    33.9     1.7   -59.4     1.2
2009.6750    -5.6     3.5    33.8     1.7   -59.6     1.2
2009.6780    -4.3     3.6    33.9     1.7   -60.3     1.2
2009.6804    -9.0     3.5    33.7     1.7   -61.0     1.2
2009.6831    -5.1     3.6    35.0     1.7   -60.0     1.2
2009.6860   -10.9     3.5    35.2     1.7   -59.8     1.2
2009.6890    -9.2     3.6    34.3     1.7   -60.7     1.3
2009.6912    -3.6     3.6    33.2     1.7   -60.6     1.2
2009.6940   -11.1     3.5    33.7     1.7   -61.2     1.2
2009.6970    -6.2     3.6    33.2     1.7   -61.1     1.2
2009.6994    -5.5     3.5    33.1     1.7   -60.8     1.2
2009.7022    -7.3     3.6    33.0     1.8   -59.1     1.3
2009.7050    -5.9     3.6    33.2     1.7   -59.0     1.2
2009.7080    -4.3     3.7    31.4     1.7   -60.5     1.3
2009.7104    -8.6     3.6    32.8     1.7   -60.5     1.2
2009.7132    -4.8     3.6    32.9     1.7   -60.2     1.2
2009.7160    -5.0     3.6    33.7     1.7   -59.8     1.2
2009.7190    -2.6     3.5    31.2     1.7   -58.5     1.2
2009.7214    -6.7     3.6    32.8     1.7   -59.0     1.2
2009.7242    -3.9     3.6    31.7     1.7   -57.1     1.2
2009.7270    -4.1     3.6    32.1     1.7   -58.7     1.2
2009.7300    -7.7     3.6    32.3     1.7   -59.7     1.2
2009.7324    -2.9     3.5    33.5     1.7   -58.9     1.3
2009.7351   -19.7     3.5    35.7     1.7   -56.2     1.2
2009.7380   -20.9     3.5    38.4     1.7   -52.9     1.2
2009.7410   -29.8     3.8    32.3     1.8   -58.0     1.3
2009.7432   -10.9     3.6    30.6     1.7   -58.0     1.2
2009.7460    -6.8     3.5    31.3     1.7   -58.1     1.2
2009.7490   -13.4     3.5    31.2     1.7   -57.3     1.3
2009.7514    -8.9     3.5    30.8     1.7   -57.1     1.2
2009.7542    -9.1     3.5    31.1     1.7   -57.3     1.2
2009.7570    -7.8     3.4    31.5     1.7   -56.7     1.3
2009.7600   -10.7     3.4    30.1     1.7   -57.4     1.2
