% site name: DGJG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6120   -19.0     5.1    50.8     2.5   -64.4     1.8
2009.6150   -26.5     3.4    50.8     1.9   -65.6     1.5
2009.6174   -23.7     3.4    51.8     1.9   -64.8     1.5
2009.6201   -21.3     3.3    50.1     1.9   -65.0     1.4
2009.6230   -27.6     3.3    50.0     1.9   -65.6     1.4
2009.6260   -24.0     3.3    50.4     1.9   -65.3     1.4
2009.6282   -24.2     3.3    49.4     1.9   -64.6     1.4
2009.6311   -19.1     3.3    49.8     1.9   -64.3     1.4
2009.6340   -26.0     3.4    49.8     1.9   -65.0     1.5
2009.6370   -29.5     3.4    50.9     1.9   -64.9     1.4
2009.6392   -24.7     3.4    48.4     1.9   -65.2     1.5
2009.6420   -22.3     3.4    50.8     1.9   -64.3     1.5
2009.6450   -28.5     3.4    50.5     1.9   -65.2     1.4
2009.6474   -27.2     3.4    50.3     1.9   -64.9     1.5
2009.6501   -22.5     3.4    49.2     1.9   -64.3     1.5
2009.6530   -24.7     3.4    48.7     1.9   -66.0     1.5
2009.6560   -23.8     3.6    49.0     1.9   -64.2     1.4
2009.6584   -23.4     3.3    49.5     1.9   -63.8     1.4
2009.6612   -24.2     3.3    49.2     1.9   -63.1     1.4
2009.6640   -20.3     3.5    49.2     1.9   -64.8     1.4
2009.6670   -20.2     3.4    49.9     1.9   -64.8     1.4
2009.6694   -20.1     3.3    49.3     1.9   -63.9     1.4
2009.6721   -19.8     3.4    49.9     1.9   -63.2     1.5
2009.6750   -18.9     3.4    50.0     1.9   -63.4     1.4
2009.6780   -21.3     3.4    50.2     1.9   -64.9     1.5
2009.6804   -22.9     3.4    50.7     1.9   -66.3     1.5
2009.6831   -20.9     3.4    51.6     1.9   -64.8     1.5
2009.6860   -23.9     3.3    51.3     1.9   -65.3     1.4
2009.6890   -24.0     3.3    51.9     1.9   -64.4     1.4
2009.6912   -19.6     3.3    50.2     1.9   -66.1     1.4
2009.6940   -26.2     3.4    50.0     1.9   -65.9     1.5
2009.6970   -20.3     3.4    50.3     1.9   -65.2     1.4
2009.6994   -19.6     3.3    50.2     1.9   -65.2     1.4
2009.7022   -31.7     3.4    49.3     1.9   -64.3     1.5
2009.7050   -26.6     3.4    50.7     1.9   -64.1     1.5
2009.7080   -27.1     3.3    50.3     1.9   -63.9     1.4
2009.7104   -22.5     3.3    50.6     1.9   -63.8     1.4
2009.7132   -20.6     3.3    49.4     1.9   -65.0     1.4
2009.7160   -24.3     3.3    49.6     1.9   -63.6     1.4
2009.7190   -18.4     3.2    49.4     1.9   -63.5     1.4
2009.7214   -21.1     3.3    49.6     1.9   -63.4     1.4
2009.7242   -22.9     3.3    48.8     1.9   -62.7     1.4
2009.7270   -20.6     3.4    49.4     1.9   -63.2     1.4
2009.7300   -23.7     3.3    49.3     1.9   -64.4     1.4
2009.7324   -21.1     3.2    50.2     1.9   -63.4     1.4
2009.7351   -19.0     3.3    48.5     1.9   -64.6     1.4
2009.7380   -19.5     3.4    48.6     1.9   -63.6     1.5
2009.7410   -21.0     3.5    48.5     2.0   -63.1     1.5
2009.7432   -26.0     3.4    48.1     1.9   -62.3     1.4
2009.7460   -25.9     3.3    48.6     1.9   -62.1     1.4
2009.7490   -25.8     3.3    48.5     1.9   -62.5     1.4
2009.7514   -25.8     3.3    48.5     1.9   -63.3     1.4
2009.7542   -23.2     3.3    48.2     1.9   -62.7     1.4
2009.7570   -22.9     3.3    48.3     1.9   -62.0     1.4
2009.7600   -23.8     3.4    47.7     1.9   -62.9     1.5
2009.7624   -21.1     3.3    48.7     1.9   -62.5     1.4
2009.7652   -24.3     3.3    49.3     1.9   -61.5     1.4
2009.7680   -25.6     3.3    48.0     1.9   -62.3     1.4
2009.7710   -23.3     3.4    49.2     1.9   -62.0     1.5
2009.7734   -22.6     3.3    48.0     1.9   -62.3     1.4
2009.7762   -27.0     3.4    47.6     1.9   -61.2     1.5
2009.7790   -23.4     3.3    49.7     1.9   -61.1     1.4
2009.7820   -20.8     3.3    49.2     1.9   -59.5     1.4
2009.7844   -21.9     3.3    48.5     1.9   -60.8     1.4
2009.7871   -20.3     3.3    49.0     1.9   -62.4     1.4
2009.7900   -21.8     3.4    49.2     1.9   -60.9     1.4
2009.7930   -21.7     3.3    47.8     1.9   -62.6     1.4
2009.7952   -21.9     3.3    49.2     1.9   -63.7     1.4
2009.7980   -21.9     3.3    49.5     1.9   -62.1     1.4
2009.8010   -21.6     3.4    49.9     1.9   -62.3     1.4
2009.8040   -23.7     3.3    48.6     1.9   -61.7     1.4
2009.8062   -23.8     3.4    48.3     1.9   -61.7     1.4
2009.8090   -23.2     3.8    50.4     2.0   -60.4     1.5
2009.8120   -25.0     3.4    48.1     1.9   -60.4     1.4
2009.8144   -28.0     3.5    49.2     1.9   -60.5     1.5
2009.8172   -26.9     3.5    48.7     1.9   -61.4     1.4
2009.8200   -22.0     3.5    49.2     1.9   -60.4     1.4
2009.8230   -24.5     3.4    48.7     1.9   -61.0     1.4
2009.8254   -25.8     3.4    48.6     1.9   -60.6     1.5
2009.8282   -26.0     3.5    47.5     1.9   -60.7     1.4
2009.8310   -28.7     3.7    47.5     1.9   -61.7     1.5
2009.8340   -22.3     3.3    46.7     1.9   -62.3     1.4
2009.8364   -22.2     3.3    48.7     1.9   -61.5     1.4
2009.8392   -15.5     3.3    47.3     1.9   -62.1     1.4
2009.8420   -22.2     3.3    48.2     1.9   -61.9     1.4
2009.8450   -21.8     3.3    46.8     1.9   -60.6     1.4
2009.8474   -23.0     3.4    46.7     1.9   -61.7     1.5
2009.8500   -26.7     3.3    48.8     1.9   -61.9     1.4
2009.8530   -22.5     3.4    49.8     1.9   -61.6     1.4
2009.8560   -23.8     3.5    49.0     1.9   -61.2     1.4
2009.8582   -22.4     3.3    49.7     1.9   -61.3     1.4
2009.8610   -18.8     3.4    48.1     1.9   -60.7     1.4
2009.8640   -23.7     3.3    48.1     1.9   -61.5     1.4
2009.8664   -18.0     3.5    48.9     1.9   -60.5     1.4
2009.8692   -21.4     3.5    48.1     1.9   -61.5     1.4
2009.8720   -24.3     3.5    47.8     2.0   -61.0     1.5
2009.8750   -19.4     3.5    47.1     1.9   -60.7     1.4
2009.8774   -20.9     3.4    48.8     1.9   -60.1     1.5
2009.8802   -17.6     3.4    48.8     1.9   -60.7     1.4
2009.8830   -15.9     3.4    48.7     1.9   -62.6     1.4
2009.8860   -20.3     3.4    49.2     1.9   -59.3     1.5
2009.8884   -20.6     3.3    48.4     1.9   -60.8     1.4
2009.8912   -19.5     3.5    48.0     1.9   -61.2     1.4
2009.8940   -23.9     3.4    47.2     1.9   -60.9     1.4
2009.8970   -23.2     3.3    47.4     1.9   -61.3     1.4
2009.8994   -18.9     3.5    46.7     1.9   -60.0     1.4
2009.9020   -17.2     3.4    48.3     1.9   -60.4     1.5
2009.9050   -20.3     3.4    47.1     1.9   -59.2     1.4
2009.9080   -19.4     3.3    48.3     1.9   -60.9     1.4
2009.9102   -17.2     3.3    48.3     1.9   -60.1     1.4
2009.9130   -23.2     3.4    47.5     1.9   -60.9     1.5
2009.9160   -18.9     3.3    47.6     1.9   -60.8     1.4
2009.9184   -18.7     3.3    48.2     1.9   -61.0     1.4
