% site name: DKSG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6380   -65.5     7.5    72.6     3.1   -34.7     3.3
2007.6410   -57.4     3.5    73.2     1.7   -30.0     1.9
2007.6434   -57.9     3.6    74.6     1.7   -29.9     1.9
2007.6461   -59.3     3.5    72.6     1.7   -30.9     1.9
2007.6490   -59.1     3.5    73.5     1.7   -31.5     1.9
2007.6520   -55.4     3.6    73.0     1.7   -29.9     1.9
2007.6542   -55.4     3.7    73.5     1.7   -30.1     1.9
2007.6571   -64.3     3.5    74.6     1.7   -30.3     1.9
2007.6600   -66.9     3.5    72.4     1.7   -30.5     1.9
2007.6630   -58.7     3.5    71.4     1.7   -31.6     1.9
2007.6652   -55.3     3.5    73.5     1.7   -30.6     1.9
2007.6680   -61.8     3.6    72.6     1.7   -29.8     1.9
2007.6710   -58.7     3.6    74.4     1.7   -29.3     1.9
2007.6734   -57.2     3.5    72.9     1.7   -31.7     1.9
2007.6761   -57.9     3.5    72.9     1.7   -30.8     1.9
2007.6790   -51.9     3.9    73.6     1.9   -31.3     2.1
2007.6820   -54.7     7.2    72.7     2.9   -31.8     3.3
2007.6844   -53.5     3.5    71.7     1.7   -29.5     1.9
2007.6872   -55.1     3.5    73.5     1.7   -30.6     1.9
2007.6900   -53.2     3.5    72.5     1.7   -29.7     1.9
2007.6930   -54.7     3.5    72.6     1.7   -30.5     1.9
2007.6954   -51.4     3.5    73.8     1.7   -29.3     1.9
2007.6982   -54.9     3.5    73.0     1.7   -30.2     1.9
2007.7010   -53.8     3.4    73.3     1.7   -30.0     1.9
2007.7040   -57.3     3.5    71.7     1.7   -30.2     1.9
2007.7064   -54.7     3.6    73.0     1.7   -32.3     1.9
2007.7091   -57.2     3.5    72.4     1.7   -29.7     1.9
2007.7120   -54.1     3.5    71.3     1.7   -30.5     1.9
2007.7150   -54.6     3.5    70.7     1.7   -30.1     1.9
2007.7172   -51.6     3.5    71.9     1.7   -30.2     1.9
2007.7200   -50.4     3.4    72.5     1.7   -29.9     1.9
2007.7230   -53.6     3.5    72.3     1.7   -31.2     1.9
2007.7254   -53.9     3.5    71.5     1.7   -28.9     1.9
2007.7282   -55.2     3.5    70.7     1.7   -30.2     1.9
2007.7310   -57.0     3.5    72.2     1.7   -29.8     1.9
2007.7340   -55.5     3.5    72.0     1.7   -28.8     1.9
2007.7364   -54.0     3.4    70.4     1.7   -28.4     1.9
2007.7392   -52.9     3.6    71.0     1.7   -30.2     1.9
2007.7420   -55.0     3.5    70.3     1.7   -27.1     1.9
2007.7450   -52.7     3.4    70.7     1.7   -30.0     1.9
2007.7474   -51.9     3.5    73.5     1.7   -28.4     1.9
2007.7502   -52.6     3.5    72.9     1.7   -29.3     1.9
2007.7530   -50.9     3.7    71.6     1.9   -30.2     2.0
2007.7560   -54.7     3.5    71.6     1.7   -28.4     1.9
2007.7584   -56.8     3.6    71.5     1.7   -27.5     1.9
2007.7611   -57.4     3.4    72.1     1.7   -27.8     1.9
2007.7640   -59.5     3.5    72.1     1.7   -29.7     1.9
2007.7670   -53.7     3.4    74.3     1.7   -27.3     1.9
2007.7692   -55.9     3.7    71.9     1.7   -27.1     1.9
2007.7720   -53.3     3.7    71.8     1.7   -27.2     1.9
2007.7750   -57.9     3.6    69.7     1.7   -26.7     1.9
2007.7774   -58.4     3.4    70.1     1.7   -28.6     1.9
2007.7802   -58.1     3.5    70.2     1.7   -28.2     1.9
2007.7830   -52.0     3.5    72.2     1.7   -28.4     1.9
2007.7860   -50.4     3.4    71.4     1.7   -28.0     1.9
2007.7884   -50.6     3.5    71.1     1.7   -30.4     1.9
2007.7912   -56.9     3.4    71.2     1.7   -28.5     1.9
2007.7940   -52.1     3.5    71.1     1.7   -27.8     1.9
2007.7970   -55.8     3.6    70.2     1.7   -29.5     1.9
2007.8000   -54.8     3.6    70.1     1.7   -28.8     1.9
2007.8022   -53.3     3.5    70.8     1.7   -27.7     1.9
2007.8050   -60.2     3.4    70.4     1.7   -29.1     1.9
2007.8080   -59.3     3.5    71.2     1.7   -28.5     1.9
2007.8104   -55.4     3.5    71.0     1.7   -26.6     1.9
2007.8131   -50.2     3.5    69.8     1.7   -27.8     1.9
2007.8160   -51.7     3.6    69.5     1.7   -28.0     1.9
2007.8190   -51.0     3.5    70.2     1.7   -27.3     1.9
2007.8214   -50.4     3.5    71.0     1.7   -28.5     1.9
2007.8240   -53.2     3.4    69.7     1.7   -27.1     1.9
2007.8270   -53.0     3.5    69.0     1.7   -27.9     1.9
2007.8300   -48.5     3.5    70.2     1.7   -27.4     1.9
2007.8322   -50.3     3.5    68.8     1.7   -29.9     1.9
2007.8350   -57.3     3.4    71.0     1.7   -29.2     1.9
2007.8380   -59.5     3.4    70.1     1.7   -30.3     1.9
2007.8404   -55.7     3.4    69.9     1.7   -28.9     1.9
2007.8432   -55.5     3.4    67.8     1.7   -28.2     1.9
2007.8460   -53.9     3.4    68.6     1.7   -29.1     1.9
2007.8490   -62.0     3.4    68.0     1.7   -29.3     1.9
2007.8514   -65.8     3.4    67.6     1.7   -29.9     1.9
2007.8542   -56.7     3.5    68.2     1.7   -27.6     1.9
2007.8570   -53.7     3.4    69.6     1.7   -29.0     1.9
2007.8600   -54.1     3.5    71.1     1.7   -28.3     1.9
2007.8624   -52.8     3.4    70.1     1.7   -28.5     1.9
2007.8652   -59.1     3.4    70.4     1.7   -29.3     1.9
2007.8680   -52.8     3.5    69.3     1.7   -28.0     1.9
2007.8710   -54.5     3.4    68.8     1.7   -28.2     1.9
2007.8734   -53.9     3.5    68.2     1.7   -29.7     1.9
2007.8760   -52.5     3.4    68.2     1.7   -29.4     1.9
2007.8790   -52.6     3.5    68.5     1.7   -28.0     1.9
2007.8820   -57.1     3.5    68.9     1.7   -30.4     1.9
2007.8842   -56.0     3.4    70.0     1.7   -29.7     1.9
2007.8870   -58.3     3.5    68.3     1.7   -31.3     1.9
2007.8900   -54.1     3.4    68.3     1.7   -31.5     1.9
2007.8924   -50.7     3.5    67.9     1.7   -30.2     1.9
2007.8952   -52.4     3.5    66.9     1.7   -30.4     1.9
2007.8980   -56.2     3.5    68.8     1.7   -29.5     1.9
2007.9010   -52.7     3.5    69.1     1.7   -28.6     1.9
2007.9034   -50.1     3.5    68.8     1.7   -30.8     1.9
