% site name: DMHN
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2010.5870    -9.1     5.7    26.3     2.2   -49.8     1.3
2010.5893   -15.3     4.1    27.8     1.8   -48.7     1.3
2010.5920   -13.4     4.3    26.7     1.8   -46.8     1.2
2010.5950   -14.2     4.0    27.5     1.8   -50.2     1.2
2010.5980   -22.1     3.9    27.9     1.8   -50.3     1.2
2010.6003   -21.9     3.9    28.2     1.8   -48.4     1.2
2010.6030   -17.9     4.0    27.3     1.8   -47.7     1.2
2010.6060   -14.6     4.0    26.6     1.8   -49.1     1.2
2010.6090   -26.2     4.0    25.4     1.8   -46.5     1.2
2010.6112   -14.5     4.1    28.2     1.8   -47.5     1.3
2010.6140   -19.2     3.9    28.6     1.8   -47.2     1.2
2010.6170   -13.8     3.9    26.3     1.8   -47.8     1.2
2010.6193   -18.3     3.9    27.3     1.8   -49.2     1.2
2010.6221   -11.5     4.0    26.8     1.8   -49.6     1.2
2010.6250   -27.8     4.2    24.9     1.8   -48.0     1.3
2010.6280   -15.0     4.0    26.2     1.8   -46.5     1.2
2010.6303   -13.7     3.9    25.8     1.8   -45.7     1.2
2010.6330   -22.8     4.1    25.9     1.8   -47.7     1.3
2010.6360    -6.8     4.0    26.6     1.8   -45.9     1.2
2010.6390   -12.3     4.0    27.3     1.8   -45.1     1.2
2010.6413   -12.0     4.0    25.5     1.8   -49.0     1.2
2010.6440   -20.2     4.0    26.0     1.8   -45.8     1.2
2010.6470   -19.3     4.5    26.5     1.9   -48.7     1.3
2010.6500    -8.1     4.3    27.0     1.9   -48.7     1.2
2010.6523   -10.7     4.3    27.1     1.9   -49.9     1.2
2010.6550   -19.2     4.4    26.3     1.9   -49.2     1.3
2010.6580   -17.7     4.1    26.3     1.8   -48.9     1.3
2010.6610   -22.3     3.9    26.1     1.8   -47.8     1.2
2010.6632   -18.4     3.9    27.0     1.8   -46.8     1.2
2010.6660   -17.5     3.9    27.5     1.8   -47.2     1.2
2010.6690   -14.4     4.0    27.7     1.8   -48.0     1.2
2010.6720   -11.2     4.0    27.3     1.8   -47.3     1.2
2010.6741    -7.8     3.9    27.4     1.8   -46.9     1.2
2010.6770   -17.8     3.9    26.7     1.8   -46.2     1.2
2010.6800   -17.2     4.0    26.8     1.8   -45.5     1.2
