% site name: GMMA
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6340   -19.1     5.2    33.0     2.0   -58.4     1.3
2009.6370   -17.3     3.8    32.5     1.7   -57.7     1.2
2009.6392   -18.0     3.8    30.6     1.7   -58.8     1.2
2009.6420     3.6     4.0    34.4     1.7   -73.3     1.2
2009.6450     4.0     3.9    41.2     1.7   -69.4     1.2
2009.6474   -18.4     3.8    32.3     1.7   -58.5     1.2
2009.6501   -15.6     3.8    31.2     1.7   -58.5     1.2
2009.6530   -17.3     3.8    30.5     1.7   -59.1     1.2
2009.6560   -11.0     3.8    30.1     1.7   -57.0     1.2
2009.6584   -12.8     3.7    30.9     1.7   -58.5     1.2
2009.6612   -14.8     3.7    31.8     1.7   -57.7     1.2
2009.6640   -13.6     3.8    30.2     1.7   -59.0     1.2
2009.6670   -11.4     3.8    31.5     1.7   -58.4     1.2
2009.6694   -11.6     3.7    31.7     1.7   -57.8     1.2
2009.6721   -15.4     3.7    32.8     1.7   -57.2     1.2
2009.6750   -12.3     3.8    32.7     1.7   -57.5     1.2
2009.6780   -13.4     3.8    32.7     1.7   -58.8     1.2
2009.6804   -17.4     3.7    32.6     1.7   -59.1     1.2
2009.6831   -16.3     3.7    34.1     1.7   -58.2     1.2
2009.6860   -14.7     3.7    33.7     1.7   -58.0     1.2
2009.6890   -15.5     3.7    33.9     1.7   -58.2     1.2
2009.6912   -19.9     3.6    32.8     1.7   -59.7     1.2
2009.6940   -17.3     3.7    32.7     1.7   -59.5     1.2
2009.6970   -11.7     3.8    32.4     1.7   -58.6     1.2
2009.6994   -19.3     3.7    30.6     1.7   -59.8     1.2
2009.7022   -15.4     3.8    31.0     1.7   -57.3     1.2
2009.7050   -17.7     3.7    32.2     1.7   -57.4     1.2
2009.7080   -15.5     3.8    31.2     1.7   -56.7     1.2
2009.7104   -15.2     3.7    32.1     1.7   -57.6     1.2
2009.7132   -17.0     3.8    31.9     1.7   -57.3     1.2
2009.7160   -11.9     3.7    33.6     1.7   -57.7     1.2
2009.7190   -14.1     3.5    34.4     1.7   -57.3     1.1
2009.7214   -16.1     3.7    33.6     1.7   -57.6     1.2
2009.7242   -19.4     3.6    33.5     1.7   -59.0     1.2
2009.7270   -19.9     3.8    36.3     1.7   -63.6     1.2
