% site name: GROK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5170   -34.6     7.8    44.6     2.7   -68.2     1.5
2008.5200   -31.9     3.7    44.1     1.7   -68.4     1.2
2008.5222   -33.6     3.8    46.8     1.7   -69.2     1.2
2008.5250   -20.9     3.9    46.8     1.8   -67.9     1.3
2008.5280   -27.3     3.9    46.1     1.8   -68.3     1.3
2008.5310   -32.2     4.0    45.5     1.8   -70.0     1.3
2008.5332   -34.8     4.3    45.5     1.8   -69.0     1.3
2008.5360   -30.9     5.4    46.2     2.1   -68.1     1.4
2008.5390   -29.0     4.1    45.3     1.8   -68.7     1.2
2008.5413   -23.4     3.9    46.3     1.8   -69.5     1.3
2008.5440   -26.3     3.9    45.9     1.8   -67.4     1.3
2008.5470   -33.0     3.9    45.2     1.7   -68.9     1.1
2008.5500   -32.7     4.0    44.8     1.8   -67.7     1.2
2008.5523   -30.0     3.8    45.6     1.7   -69.8     1.2
2008.5550   -30.6     3.9    46.1     1.8   -69.0     1.3
2008.5580   -28.1     4.1    45.2     1.8   -67.3     1.3
2008.5610   -23.8     4.1    44.1     1.8   -68.2     1.2
2008.5633   -26.0     4.2    46.1     1.8   -67.4     1.2
2008.5660   -37.2     3.8    45.9     1.7   -69.5     1.2
2008.5690   -30.2     3.9    44.7     1.7   -68.8     1.2
2008.5720   -26.6     4.1    44.0     1.8   -65.9     1.3
2008.5743   -32.9     3.9    44.4     1.8   -66.9     1.3
2008.5770   -31.8     3.8    44.3     1.7   -68.7     1.2
2008.5800   -30.9     3.8    43.2     1.7   -67.9     1.2
2008.5830   -28.5     3.8    43.0     1.8   -68.4     1.2
2008.5852   -21.0     3.8    43.0     1.7   -66.5     1.2
2008.5880   -31.9     3.7    42.0     1.7   -68.2     1.2
2008.5910   -22.8     3.9    42.6     1.7   -67.9     1.2
2008.5933   -27.3     3.7    42.9     1.7   -68.1     1.2
2008.5961   -19.5     3.8    43.8     1.7   -65.9     1.2
2008.5990   -25.8     3.9    43.2     1.7   -66.0     1.2
2008.6020   -24.0     4.0    42.5     1.8   -68.8     1.2
