% site name: HEL2
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6461   -48.1     4.0    66.1     2.5   -65.0     2.1
2007.6490   -54.0     3.1    65.8     2.0   -63.3     1.7
2007.6520   -59.2     3.2    66.7     2.1   -64.2     1.7
2007.6542   -58.5     3.3    66.0     2.2   -64.5     1.8
2007.6571   -60.9     3.0    67.0     2.0   -64.7     1.7
2007.6600   -51.1     3.0    65.4     2.0   -63.0     1.7
2007.6630   -63.3     3.0    65.7     2.0   -66.3     1.7
2007.6652   -57.5     3.1    68.4     2.0   -66.9     1.7
2007.6680   -53.2     3.2    68.6     2.0   -66.9     1.7
2007.6710   -50.1     3.3    67.5     2.2   -64.4     1.7
2007.6734   -54.6     3.0    68.3     2.0   -67.3     1.7
2007.6761   -43.5     3.0    68.4     2.0   -65.4     1.7
2007.6790   -47.9     3.1    66.1     2.0   -66.2     1.7
2007.6820   -54.8     3.3    66.2     2.2   -65.7     1.8
2007.6844   -51.1     3.0    66.9     2.0   -63.7     1.7
2007.6872   -53.7     3.1    66.6     2.0   -64.9     1.7
2007.6900   -49.3     3.0    65.7     2.0   -63.5     1.7
2007.6930   -46.7     3.1    66.9     2.0   -66.7     1.7
2007.6954   -53.2     3.1    65.4     2.0   -66.0     1.7
2007.6982   -52.6     3.1    66.3     2.0   -65.7     1.7
2007.7010   -52.2     2.9    66.7     1.9   -64.5     1.6
2007.7040   -50.6     3.1    67.3     2.0   -65.8     1.7
2007.7064   -50.6     3.1    66.1     2.0   -66.7     1.7
2007.7091   -51.4     3.0    67.9     2.0   -62.8     1.7
2007.7120   -45.7     3.0    66.3     1.9   -64.7     1.7
2007.7150   -42.4     3.0    68.3     2.0   -65.0     1.7
2007.7172   -46.4     2.9    67.4     1.9   -64.4     1.6
2007.7200   -43.1     3.0    66.3     2.0   -62.0     1.7
2007.7230   -48.7     3.0    66.0     2.0   -63.1     1.7
2007.7254   -49.1     3.0    65.8     2.0   -62.7     1.7
2007.7282   -49.4     3.0    65.0     2.0   -63.7     1.7
2007.7310   -47.1     3.1    65.0     2.0   -64.7     1.7
2007.7340   -53.3     2.9    66.1     2.0   -64.7     1.6
2007.7364   -53.3     3.0    67.1     2.0   -63.1     1.6
2007.7392   -61.5     3.0    66.5     2.0   -65.1     1.7
2007.7420   -58.4     3.1    67.2     2.0   -63.9     1.7
2007.7450   -42.9     3.3    66.6     2.2   -63.6     1.7
2007.7474   -48.0     3.0    68.5     2.0   -63.8     1.7
2007.7502   -51.4     3.2    69.5     2.2   -63.7     1.7
2007.7530   -47.8     3.0    66.9     2.0   -63.8     1.7
2007.7560   -48.7     3.2    67.1     2.0   -62.9     1.7
2007.7584   -54.0     3.0    67.3     2.0   -62.4     1.7
2007.7611   -52.1     3.0    66.0     2.0   -61.8     1.7
2007.7640   -53.3     3.0    65.3     2.0   -63.4     1.6
2007.7670   -53.4     2.9    66.9     1.9   -61.9     1.6
2007.7692   -61.1     3.1    65.2     2.0   -64.7     1.7
2007.7720   -54.2     3.1    66.0     2.0   -62.2     1.7
2007.7750   -56.3     3.0    65.8     2.0   -62.6     1.6
2007.7774   -54.5     3.0    66.2     2.0   -64.0     1.7
2007.7802   -51.6     2.9    67.2     1.9   -63.9     1.6
2007.7830   -47.5     2.9    67.9     1.9   -64.2     1.6
2007.7860   -50.2     3.0    68.7     1.9   -64.3     1.7
2007.7884   -47.7     2.9    66.4     2.0   -64.0     1.6
2007.7912   -50.8     2.9    66.5     1.9   -62.6     1.6
2007.7940   -44.6     3.0    65.8     2.0   -62.2     1.7
2007.7970   -53.1     3.2    66.1     2.0   -63.2     1.7
2007.8000   -52.7     3.3    65.7     2.1   -62.1     1.7
2007.8022   -53.1     3.0    66.5     2.0   -61.6     1.7
2007.8050   -49.5     2.9    66.6     1.9   -62.6     1.6
2007.8080   -51.5     2.9    66.8     2.0   -64.2     1.6
2007.8104   -51.2     3.0    68.3     2.0   -63.8     1.7
2007.8131   -52.2     3.0    69.1     2.0   -65.5     1.6
2007.8160   -49.6     3.2    67.1     2.0   -64.8     1.7
2007.8190   -48.0     3.2    69.1     2.1   -63.4     1.7
2007.8214   -44.8     3.0    68.5     2.0   -62.6     1.7
2007.8240   -50.6     2.9    66.5     2.0   -61.3     1.6
2007.8270   -47.1     3.1    66.5     2.0   -60.5     1.7
2007.8300   -48.5     3.0    66.9     2.0   -61.3     1.7
2007.8322   -50.2     3.0    64.9     2.0   -61.3     1.6
2007.8350   -52.2     2.9    64.9     1.9   -60.1     1.6
2007.8380   -52.0     2.9    65.0     1.9   -62.3     1.6
2007.8404   -50.5     2.9    66.7     1.9   -63.9     1.6
2007.8432   -41.8     2.9    68.7     2.0   -58.7     1.6
2007.8460   -50.4     2.9    66.1     1.9   -61.4     1.6
2007.8490   -47.2     2.9    64.0     1.9   -61.3     1.6
2007.8514   -50.5     2.9    63.2     1.9   -62.4     1.6
2007.8542   -50.6     3.0    64.3     2.0   -59.4     1.6
2007.8570   -49.4     3.0    65.2     2.0   -61.9     1.7
2007.8600   -47.0     2.9    65.9     1.9   -60.0     1.6
2007.8624   -48.2     2.9    67.3     1.9   -61.2     1.6
2007.8652   -47.0     2.9    66.2     1.9   -62.8     1.6
2007.8680   -47.8     3.0    64.9     2.0   -61.5     1.7
2007.8710   -45.4     3.0    65.0     2.0   -59.1     1.6
2007.8734   -45.6     3.0    63.5     2.0   -60.9     1.7
2007.8760   -45.8     2.9    63.0     1.9   -63.0     1.6
2007.8790   -49.2     2.9    63.9     1.9   -60.9     1.6
2007.8820   -49.4     2.9    63.0     1.9   -61.0     1.6
2007.8842   -44.0     3.0    64.9     2.0   -60.3     1.6
2007.8870   -31.7     3.3    62.4     2.2   -62.3     1.8
2007.8900   -47.8     3.0    63.6     2.0   -62.9     1.7
2007.8924   -43.4     3.2    65.4     2.1   -61.5     1.7
2007.8952   -42.0     3.1    64.9     2.0   -62.0     1.7
2007.8980   -42.0     3.0    65.5     2.0   -60.1     1.7
2007.9010   -49.0     3.0    66.1     2.0   -61.0     1.6
2007.9034   -40.3     3.0    65.1     2.0   -62.1     1.7
2007.9062   -45.6     2.9    64.1     1.9   -63.2     1.6
2007.9090   -44.6     2.9    66.2     2.0   -61.9     1.6
2007.9120   -48.3     2.9    65.5     1.9   -61.3     1.6
2007.9144   -48.5     2.9    64.1     1.9   -62.0     1.6
2007.9172   -51.3     2.9    64.8     1.9   -60.7     1.6
2007.9200   -49.9     2.9    62.1     1.9   -59.8     1.6
2007.9230   -44.4     2.9    62.7     1.9   -61.5     1.6
2007.9254   -43.2     2.9    65.0     1.9   -62.0     1.6
2007.9281   -46.4     3.0    65.1     2.0   -61.6     1.7
2007.9310   -47.2     2.9    65.2     1.9   -61.2     1.6
2007.9340   -44.8     3.0    64.9     2.0   -60.3     1.6
2007.9362   -46.0     2.9    64.4     1.9   -59.4     1.6
2007.9390   -43.0     3.0    64.1     2.0   -60.5     1.7
2007.9420   -45.6     2.9    63.7     2.0   -59.3     1.6
2007.9450   -43.4     3.2    65.8     2.1   -61.3     1.7
2007.9472   -39.6     3.1    64.0     2.0   -61.6     1.7
2007.9500   -48.7     2.9    63.5     2.0   -61.4     1.6
2007.9530   -39.2     2.9    65.2     2.0   -61.5     1.6
2007.9554   -46.7     2.9    65.4     1.9   -60.6     1.6
2007.9582   -51.9     3.0    63.7     2.0   -61.3     1.7
2007.9610   -48.3     3.0    66.2     2.0   -58.3     1.7
2007.9640   -55.0     3.1    64.8     2.1   -59.6     1.6
2007.9670   -50.7     3.0    65.0     2.0   -59.6     1.7
2007.9692   -48.0     2.9    64.8     2.0   -60.6     1.6
2007.9720   -47.3     2.9    64.5     2.0   -59.9     1.6
2007.9750   -41.5     3.0    64.0     2.0   -60.9     1.7
2007.9774   -38.7     2.9    62.7     2.0   -62.3     1.6
2007.9802   -40.9     2.9    62.4     1.9   -61.0     1.6
2007.9830   -41.0     2.9    62.8     1.9   -61.3     1.6
2007.9860   -40.9     2.9    62.7     2.0   -61.7     1.6
2007.9884   -41.6     3.0    62.5     2.0   -60.8     1.7
2007.9910   -42.2     3.0    60.9     2.0   -60.3     1.7
2007.9940   -47.2     2.9    62.0     2.0   -60.3     1.6
2007.9970   -41.4     2.9    62.3     2.0   -62.2     1.6
2007.9992   -45.8     2.9    63.2     2.0   -61.9     1.6
2008.0020   -47.0     3.0    62.9     2.0   -61.7     1.7
2008.0050   -46.4     2.9    63.2     1.9   -62.0     1.6
2008.0074   -49.6     2.9    62.9     1.9   -60.4     1.6
2008.0102   -50.8     2.9    64.7     1.9   -64.0     1.6
2008.0130   -50.2     3.4    65.8     2.2   -63.7     1.7
2008.0160   -50.0     3.2    63.7     2.1   -59.7     1.7
2008.0190   -50.4     3.1    63.8     2.0   -61.2     1.7
2008.0212   -47.8     3.3    61.8     2.1   -59.8     1.7
2008.0240   -48.0     3.0    61.4     2.0   -58.9     1.7
2008.0270   -53.7     2.9    62.8     2.0   -59.5     1.6
2008.0294   -51.4     3.0    62.5     2.0   -59.1     1.6
2008.0322   -52.5     3.0    62.1     2.0   -58.2     1.7
2008.0350   -52.3     3.1    60.6     2.0   -57.7     1.7
2008.0380   -46.6     3.2    61.6     2.1   -59.6     1.7
2008.0404   -46.9     3.0    63.9     2.0   -59.2     1.7
2008.0430   -47.3     3.1    62.5     2.0   -59.0     1.7
2008.0460   -46.2     3.1    63.5     2.0   -59.5     1.7
2008.0490   -53.7     3.1    62.9     2.0   -58.3     1.7
2008.0512   -43.0     3.1    62.4     2.0   -56.1     1.7
2008.0540   -46.4     3.0    61.4     2.0   -58.8     1.7
2008.0570   -47.3     2.9    63.1     1.9   -60.0     1.6
2008.0594   -33.6     2.9    62.3     2.0   -62.1     1.6
2008.0622   -42.6     2.9    62.7     1.9   -60.4     1.6
2008.0650   -48.4     2.9    60.5     2.0   -58.8     1.6
2008.0680   -52.5     3.1    63.8     2.0   -59.6     1.7
2008.0710   -49.9     2.9    62.1     1.9   -58.4     1.6
2008.0732   -53.9     2.9    62.5     2.0   -57.4     1.6
2008.0760   -50.4     2.9    62.7     2.0   -57.0     1.6
2008.0790   -54.5     3.1    63.3     2.0   -58.6     1.7
2008.0820   -51.4     3.1    62.5     2.0   -58.8     1.7
2008.0842   -51.3     3.1    61.7     2.0   -57.1     1.7
2008.0870   -44.3     3.4    63.0     2.2   -59.0     1.7
2008.0900   -43.0     3.2    62.3     2.0   -56.9     1.7
2008.0924   -45.5     3.3    61.4     2.1   -55.9     1.7
2008.0950   -45.6     3.1    60.9     2.0   -55.5     1.7
2008.0980   -49.9     3.0    61.2     2.0   -56.1     1.7
2008.1010   -50.8     3.2    62.4     2.1   -58.0     1.7
2008.1033   -42.6     3.1    62.9     2.0   -57.2     1.7
2008.1060   -47.4     2.9    61.4     1.9   -56.4     1.6
2008.1090   -50.9     3.0    63.0     2.0   -57.4     1.7
2008.1120   -45.8     3.1    61.6     2.0   -56.1     1.7
2008.1142   -54.8     3.1    62.8     2.0   -55.6     1.7
2008.1170   -56.8     3.0    61.9     2.1   -54.9     1.6
2008.1200   -59.4     3.0    62.4     2.0   -56.3     1.7
2008.1230   -63.5     3.0    64.2     2.0   -57.2     1.7
2008.1252   -59.9     3.0    64.3     2.0   -59.7     1.7
2008.1280   -54.0     3.0    64.0     2.0   -56.8     1.7
2008.1310   -46.4     2.9    62.8     1.9   -55.8     1.6
2008.1340   -51.4     3.1    62.3     2.0   -56.1     1.7
2008.1362   -55.8     3.0    61.2     2.0   -58.0     1.7
2008.1390   -52.1     2.9    58.5     1.9   -55.3     1.6
2008.1420   -55.3     2.9    59.9     2.0   -57.0     1.7
2008.1444   -50.8     2.9    59.0     1.9   -53.7     1.6
2008.1472   -49.2     3.0    58.0     2.0   -52.7     1.7
2008.1500   -52.7     2.9    59.3     2.0   -54.6     1.7
2008.1530   -57.3     2.9    60.2     2.0   -54.6     1.6
2008.1553   -55.8     2.9    60.4     2.0   -56.8     1.6
2008.1580   -55.2     3.0    62.1     2.0   -58.2     1.7
2008.1610   -53.0     3.4    62.4     2.2   -56.3     1.8
2008.1640   -52.6     3.5    60.7     2.3   -55.8     1.8
2008.1662   -48.9     3.1    61.5     2.1   -55.1     1.6
2008.1690   -50.4     3.0    60.5     2.0   -54.9     1.7
2008.1720   -49.2     3.0    59.2     2.0   -52.9     1.6
2008.1750   -50.5     2.9    61.0     2.0   -53.8     1.6
2008.1772   -51.8     3.1    60.6     2.0   -55.0     1.7
2008.1800   -49.1     3.0    59.4     2.0   -58.4     1.7
2008.1830   -52.5     3.0    58.4     2.0   -57.2     1.7
2008.1860   -51.1     2.9    58.6     2.0   -55.7     1.6
2008.1882   -51.2     3.3    61.1     2.2   -56.6     1.8
2008.1910   -45.1     3.2    59.7     2.1   -57.0     1.7
2008.1940   -43.2     3.0    59.4     2.0   -56.9     1.7
2008.1964   -49.3     3.1    59.8     2.1   -54.1     1.6
2008.1992   -46.9     3.0    59.3     2.0   -54.5     1.7
2008.2020   -49.6     3.3    60.1     2.2   -55.2     1.8
2008.2050   -51.3     3.0    58.0     2.0   -54.4     1.7
2008.2073   -49.5     3.0    57.5     2.0   -54.9     1.7
2008.2100   -53.9     3.0    57.1     2.0   -54.5     1.7
2008.2130   -48.8     2.9    57.0     2.0   -54.1     1.7
2008.2160   -41.1     3.1    62.5     2.2   -55.4     1.7
2008.2182   -47.5     3.0    56.9     2.0   -56.8     1.7
2008.2210   -51.8     3.1    56.6     2.0   -54.7     1.7
2008.2240   -51.6     3.0    57.1     2.0   -55.2     1.7
2008.2270   -48.7     3.0    58.6     2.0   -57.3     1.7
2008.2292   -51.0     2.9    57.4     2.0   -56.0     1.6
2008.2320   -53.3     3.1    59.2     2.0   -56.6     1.7
2008.2350   -54.9     3.6    61.4     2.2   -56.1     1.8
2008.2380   -52.4     3.6    60.0     2.5   -54.8     1.9
2008.2402   -54.2     3.9    60.1     2.5   -55.6     2.0
2008.2430   -50.9     3.1    60.1     2.0   -55.0     1.7
2008.2460   -57.3     3.1    59.7     2.0   -54.4     1.7
2008.2490   -56.9     3.0    58.8     2.0   -54.7     1.7
2008.2512   -60.9     3.1    58.6     2.0   -55.3     1.7
2008.2540   -56.2     3.0    58.4     2.0   -54.2     1.7
2008.2570   -59.2     3.0    58.8     2.0   -54.9     1.7
2008.2593   -60.4     3.2    56.0     2.0   -53.1     1.7
2008.2620   -60.4     3.2    57.7     2.0   -54.6     1.7
2008.2650   -59.5     3.2    57.9     2.1   -53.8     1.7
2008.2680   -54.5     3.2    56.6     2.1   -53.9     1.7
2008.2703   -56.3     3.1    58.1     2.0   -53.8     1.7
2008.2730   -54.4     3.1    56.9     2.0   -55.4     1.7
2008.2760   -59.2     3.0    57.6     2.0   -54.0     1.7
2008.2790   -52.8     3.0    57.4     2.0   -53.3     1.7
2008.2812   -55.2     3.1    57.8     2.1   -53.3     1.6
2008.2840   -53.3     3.1    58.6     2.0   -54.4     1.7
2008.2870   -52.3     3.0    58.0     2.0   -53.5     1.7
2008.2900   -48.9     3.1    59.8     2.0   -53.3     1.7
2008.2923   -55.6     3.5    58.4     2.2   -55.6     1.8
2008.2950   -60.9     3.0    57.5     2.0   -52.9     1.7
2008.2980   -58.0     3.0    58.6     2.0   -51.8     1.7
2008.3010   -57.5     3.2    59.2     2.0   -52.4     1.7
2008.3032   -59.0     3.0    57.1     2.0   -52.2     1.7
2008.3060   -57.4     3.1    58.6     2.0   -53.2     1.7
2008.3090   -57.9     3.0    57.9     2.0   -51.6     1.7
2008.3114   -57.6     4.1    58.3     2.5   -51.4     2.0
2008.3142   -62.8     3.3    56.5     2.2   -52.2     1.8
2008.3170   -61.6     3.1    57.4     2.0   -53.5     1.7
2008.3200   -60.2     3.5    57.6     2.4   -52.2     1.8
2008.3223   -63.9     3.1    55.7     2.0   -51.4     1.7
2008.3250   -64.1     3.2    57.6     2.2   -51.4     1.7
2008.3280   -61.3     3.2    56.0     2.1   -50.4     1.7
2008.3310   -63.0     3.0    56.2     2.0   -50.9     1.7
2008.3332   -61.3     3.1    55.8     2.0   -52.5     1.7
2008.3360   -56.7     3.0    56.1     2.0   -51.7     1.7
2008.3390   -60.1     3.1    56.4     2.0   -51.7     1.7
2008.3420   -57.5     3.0    55.9     2.0   -51.6     1.7
2008.3443   -50.6     3.2    56.9     2.0   -52.2     1.7
2008.3470   -56.7     3.1    57.6     2.0   -51.4     1.7
2008.3500   -54.9     3.0    57.0     2.0   -51.6     1.7
2008.3530   -52.0     2.9    57.5     2.0   -48.1     1.6
2008.3552   -54.2     2.9    57.6     2.0   -50.1     1.6
2008.3580   -56.7     3.0    56.3     2.0   -51.1     1.7
2008.3610   -59.4     3.0    57.6     2.0   -50.5     1.7
2008.3634   -59.3     3.0    57.5     2.0   -51.4     1.7
2008.3662   -61.5     3.0    56.2     2.0   -50.9     1.7
2008.3690   -60.2     2.9    56.0     2.0   -49.9     1.6
2008.3720   -57.9     3.0    56.2     2.0   -51.2     1.7
2008.3743   -61.4     3.0    56.5     2.0   -51.3     1.7
2008.3770   -56.0     2.9    55.9     2.0   -50.6     1.6
2008.3800   -58.3     3.0    56.7     2.0   -50.8     1.7
2008.3830   -55.3     3.0    56.3     2.0   -50.2     1.7
2008.3853   -58.4     3.1    56.2     2.0   -50.9     1.7
2008.3880   -58.1     3.0    55.7     2.0   -50.4     1.7
2008.3910   -63.9     3.0    57.1     2.0   -51.8     1.7
2008.3940   -61.6     3.1    56.6     2.0   -50.6     1.7
2008.3962   -60.5     3.0    56.9     2.0   -50.0     1.7
2008.3990   -61.7     3.0    56.0     2.0   -49.9     1.7
2008.4020   -55.0     3.0    55.4     2.0   -50.7     1.7
2008.4050   -60.0     3.0    55.3     2.0   -50.4     1.7
2008.4073   -58.5     3.1    55.8     2.0   -50.1     1.7
2008.4100   -61.5     3.1    56.0     2.0   -51.0     1.7
2008.4130   -55.8     3.1    54.9     2.0   -51.5     1.7
2008.4160   -53.9     3.2    55.6     2.1   -50.6     1.7
2008.4182   -54.6     3.1    54.2     2.0   -50.8     1.7
2008.4210   -54.8     2.9    56.1     2.0   -50.4     1.6
2008.4240   -52.2     3.0    55.1     2.0   -49.6     1.7
2008.4263   -55.8     3.0    55.0     2.0   -49.5     1.7
2008.4291   -55.9     3.0    55.1     2.0   -50.3     1.6
2008.4320   -58.8     3.1    56.5     2.0   -49.8     1.7
2008.4350   -59.8     3.3    55.8     2.2   -50.4     1.8
2008.4373   -57.7     3.1    55.2     2.0   -50.3     1.7
2008.4400   -57.7     3.1    55.5     2.0   -51.8     1.7
2008.4430   -57.5     2.9    55.2     2.0   -50.3     1.6
2008.4460   -63.4     3.0    54.7     2.0   -50.9     1.6
2008.4482   -58.1     3.0    53.7     2.0   -50.9     1.7
2008.4510   -53.4     2.9    53.1     1.9   -50.1     1.6
2008.4540   -46.3     3.1    53.7     2.0   -53.7     1.7
2008.4570   -44.7     3.3    53.1     2.1   -51.1     1.7
2008.4593   -53.8     3.1    53.7     2.0   -50.4     1.7
2008.4620   -56.0     3.1    52.5     2.1   -51.3     1.6
2008.4650   -51.9     3.0    52.0     2.0   -50.4     1.7
2008.4680   -52.1     3.0    52.1     2.0   -52.7     1.7
2008.4702   -56.1     3.1    51.0     2.0   -52.3     1.7
2008.4730   -59.3     3.0    51.6     2.0   -51.2     1.6
2008.4760   -61.7     3.0    52.2     2.0   -53.0     1.7
2008.4783   -57.6     3.0    53.4     2.0   -50.6     1.7
2008.4812   -56.7     3.0    52.3     2.0   -50.9     1.7
2008.4840   -55.9     3.2    52.0     2.1   -53.3     1.7
2008.4870   -56.0     3.0    52.5     2.0   -50.8     1.7
2008.4893   -57.3     3.0    52.6     2.0   -50.4     1.7
2008.4920   -51.0     3.0    53.0     2.0   -50.9     1.7
2008.4950   -50.5     3.0    51.8     2.0   -48.9     1.7
2008.4980   -54.3     3.0    50.9     2.0   -50.4     1.7
2008.5002   -52.8     3.0    52.5     2.0   -49.7     1.7
2008.5030   -54.1     2.9    50.5     2.0   -50.0     1.6
2008.5060   -58.1     2.9    51.8     1.9   -51.1     1.6
2008.5090   -58.2     3.0    52.5     2.0   -51.1     1.6
2008.5113   -57.4     3.0    52.1     2.0   -51.0     1.7
2008.5140   -52.3     3.0    50.3     2.0   -50.3     1.7
2008.5170   -57.0     3.0    53.6     2.0   -51.0     1.7
2008.5200   -52.0     2.9    52.1     2.0   -50.7     1.6
2008.5222   -50.6     3.0    53.0     2.0   -50.4     1.6
2008.5250   -52.0     3.1    53.5     2.0   -48.1     1.7
2008.5280   -51.2     3.1    52.8     2.0   -52.4     1.7
2008.5310   -51.6     3.3    51.8     2.1   -51.6     1.7
2008.5332   -47.7     3.2    50.0     2.1   -49.9     1.7
2008.5360   -49.5     3.0    53.4     2.0   -50.2     1.7
2008.5390   -50.2     3.1    51.6     2.0   -50.5     1.7
2008.5413   -52.8     3.0    52.1     2.0   -50.8     1.7
2008.5440   -47.7     3.0    51.4     2.0   -48.0     1.7
2008.5470   -54.5     3.0    51.1     2.0   -49.2     1.7
2008.5500   -53.7     3.0    51.0     2.0   -49.3     1.7
2008.5523   -52.4     3.0    52.7     2.0   -50.5     1.7
2008.5550   -54.1     3.1    53.2     2.0   -51.2     1.7
2008.5580   -46.4     3.1    53.6     2.0   -50.8     1.7
2008.5610   -47.7     3.1    50.4     2.1   -50.0     1.6
2008.5633   -51.5     3.0    51.7     2.0   -50.2     1.7
2008.5660   -53.6     3.0    51.2     2.0   -49.7     1.6
2008.5690   -50.2     3.0    52.6     2.0   -49.3     1.7
2008.5720   -46.9     3.0    51.5     2.0   -48.7     1.7
2008.5743   -48.8     3.0    50.8     2.0   -50.1     1.7
2008.5770   -48.7     3.0    51.0     2.0   -49.5     1.7
2008.5800   -49.2     3.0    49.8     2.0   -47.8     1.7
2008.5830   -50.4     3.0    49.8     2.0   -49.4     1.7
2008.5852   -55.7     3.0    51.1     2.0   -49.2     1.7
2008.5880   -51.7     3.0    50.4     2.0   -50.1     1.7
2008.5910   -48.1     3.0    49.3     2.0   -49.9     1.7
2008.5933   -48.0     3.0    49.2     2.0   -49.9     1.7
2008.5961   -48.3     3.0    51.0     2.0   -51.2     1.7
2008.5990   -49.2     3.0    52.3     2.0   -50.3     1.7
2008.6020   -40.5     3.1    51.1     2.0   -50.7     1.7
2008.6043   -44.6     3.0    50.7     2.0   -51.1     1.7
2008.6070   -39.9     3.1    50.7     2.0   -49.0     1.7
2008.6100   -45.2     3.2    50.8     2.0   -50.8     1.7
2008.6130   -44.6     3.1    51.0     2.0   -52.2     1.7
2008.6153   -49.0     3.0    51.0     2.0   -51.6     1.7
2008.6180   -42.6     3.1    51.1     2.0   -50.5     1.7
2008.6210   -44.4     3.1    51.1     2.0   -50.7     1.7
2008.6240   -42.0     3.0    49.8     2.0   -51.5     1.7
2008.6263   -45.6     3.0    50.6     2.0   -51.9     1.7
2008.6290   -48.8     3.1    49.5     2.0   -53.5     1.7
2008.6320   -42.8     3.2    53.8     2.0   -50.7     1.7
2008.6350   -46.9     3.1    52.5     2.0   -51.6     1.7
2008.6372   -43.8     3.1    50.4     2.0   -49.8     1.7
2008.6400   -42.7     3.0    51.5     2.0   -51.6     1.7
2008.6430   -42.7     3.0    51.0     2.0   -50.6     1.7
2008.6453   -43.7     3.0    52.8     2.0   -51.0     1.7
2008.6481   -39.7     3.1    52.0     2.0   -51.7     1.7
2008.6510   -45.5     3.0    52.1     2.0   -51.6     1.7
2008.6540   -37.3     3.0    50.2     2.0   -50.7     1.7
2008.6563   -43.1     3.0    49.9     2.0   -48.1     1.7
2008.6590   -48.1     3.0    51.2     2.0   -50.0     1.7
2008.6620   -45.6     3.0    49.9     2.0   -50.8     1.7
