% site name: HJOR
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6160   -27.3     4.1    56.8     2.8   -57.7     2.4
2007.6190   -36.3     2.9    57.3     2.1   -58.3     1.8
2007.6214   -31.1     2.9    58.0     2.1   -59.6     1.9
2007.6241   -26.1     2.9    59.6     2.2   -59.3     1.8
2007.6270   -25.8     2.9    59.6     2.1   -59.4     1.8
2007.6300   -31.5     2.9    60.3     2.1   -59.5     1.8
2007.6324   -28.4     2.9    58.9     2.1   -59.6     1.8
2007.6352   -30.1     2.9    59.7     2.1   -60.6     1.8
2007.6380   -31.3     2.8    58.8     2.1   -59.6     1.7
2007.6410   -32.6     2.8    60.8     2.1   -58.9     1.7
2007.6434   -32.1     2.8    61.8     2.1   -58.2     1.7
2007.6461   -27.9     2.9    58.7     2.1   -60.8     1.8
2007.6490   -28.1     2.9    59.3     2.1   -59.2     1.8
2007.6520   -27.9     3.0    59.9     2.1   -58.1     1.7
2007.6542   -26.8     3.1    59.3     2.2   -59.0     1.9
2007.6571   -30.4     2.9    60.6     2.1   -60.1     1.8
2007.6600   -36.0     2.9    59.0     2.1   -59.8     1.8
2007.6630   -30.9     2.9    59.9     2.1   -60.5     1.8
2007.6652   -27.4     2.9    60.1     2.1   -58.9     1.8
2007.6680   -26.7     2.9    59.7     2.1   -59.8     1.8
2007.6710   -25.5     2.9    59.8     2.2   -60.6     1.8
2007.6734   -21.5     2.9    61.3     2.1   -61.4     1.8
2007.6761   -23.8     2.9    61.0     2.1   -59.9     1.8
2007.6790   -23.0     2.9    59.9     2.1   -60.8     1.8
2007.6820   -28.5     3.0    60.0     2.1   -59.6     1.7
2007.6844   -23.3     2.9    59.5     2.1   -57.5     1.8
2007.6872   -23.3     2.9    59.7     2.1   -59.2     1.8
2007.6900   -29.9     2.9    58.8     2.1   -57.8     1.8
2007.6930   -24.2     2.9    59.1     2.1   -59.3     1.8
2007.6954   -26.2     2.9    60.0     2.1   -59.3     1.8
2007.6982   -24.6     2.9    58.6     2.1   -58.5     1.8
2007.7010   -23.6     2.9    59.3     2.1   -58.0     1.8
2007.7040   -26.0     2.9    58.7     2.1   -59.4     1.8
2007.7064   -20.9     2.9    58.6     2.1   -60.1     1.8
2007.7091   -23.3     2.9    60.3     2.1   -57.9     1.8
2007.7120   -28.5     2.8    58.1     2.1   -60.5     1.7
2007.7150   -23.2     2.9    59.3     2.1   -60.0     1.8
2007.7172   -27.6     2.8    59.9     2.1   -58.9     1.7
2007.7200   -26.9     2.8    60.3     2.1   -57.8     1.7
2007.7230   -29.7     2.8    58.5     2.1   -59.1     1.7
2007.7254   -26.0     2.8    59.1     2.1   -57.7     1.7
2007.7282   -25.9     2.9    58.3     2.1   -58.1     1.8
2007.7310   -22.8     2.9    58.6     2.1   -57.9     1.8
2007.7340   -24.2     2.8    59.2     2.1   -58.1     1.7
2007.7364   -31.6     2.8    58.0     2.1   -58.8     1.7
2007.7392   -22.6     2.9    56.5     2.1   -60.1     1.8
2007.7420   -24.4     2.9    59.9     2.1   -56.8     1.8
2007.7450   -23.1     3.0    58.4     2.2   -57.3     1.8
2007.7474   -26.9     2.8    59.8     2.1   -58.9     1.7
2007.7502   -28.4     2.9    61.1     2.1   -60.0     1.8
2007.7530   -25.5     2.9    59.6     2.1   -59.6     1.8
2007.7560   -23.3     2.8    60.6     2.1   -58.4     1.7
2007.7584   -27.3     2.9    61.1     2.1   -55.8     1.8
2007.7611   -29.9     2.8    59.9     2.1   -57.3     1.7
2007.7640   -27.8     2.8    58.2     2.1   -57.9     1.7
2007.7670   -27.2     2.8    59.8     2.1   -57.0     1.7
2007.7692   -23.5     2.9    58.6     2.1   -57.8     1.8
2007.7720   -29.7     2.9    58.7     2.1   -57.5     1.8
2007.7750   -27.7     2.9    58.1     2.1   -55.4     1.8
2007.7774   -25.6     2.7    58.4     2.0   -58.1     1.8
2007.7802   -28.4     2.8    58.1     2.1   -58.0     1.7
2007.7830   -24.1     2.8    59.1     2.1   -58.0     1.7
2007.7860   -26.4     2.8    60.6     2.1   -58.5     1.7
2007.7884   -20.9     2.8    58.5     2.1   -58.2     1.7
2007.7912   -27.7     2.8    59.3     2.1   -58.0     1.7
2007.7940   -24.7     2.8    58.5     2.1   -57.9     1.7
2007.7970   -24.8     2.9    58.0     2.1   -58.4     1.8
2007.8000   -25.5     2.9    59.0     2.1   -58.4     1.8
2007.8022   -28.7     2.8    58.6     2.1   -55.8     1.7
2007.8050   -21.1     2.8    59.7     2.1   -56.5     1.7
2007.8080   -27.5     2.8    60.1     2.1   -57.5     1.7
2007.8104   -28.8     2.8    60.4     2.1   -56.2     1.7
2007.8131   -27.5     2.8    59.1     2.1   -57.3     1.7
2007.8160   -24.0     3.0    59.8     2.1   -56.6     1.7
2007.8190   -25.9     2.9    60.2     2.1   -57.1     1.8
2007.8214   -26.1     2.9    59.6     2.1   -56.2     1.8
2007.8240   -25.0     2.9    58.9     2.1   -56.1     1.8
2007.8270   -25.2     2.9    58.3     2.1   -55.4     1.8
2007.8300   -21.9     2.9    57.7     2.1   -56.1     1.8
2007.8322   -24.0     2.8    56.3     2.1   -56.4     1.7
2007.8350   -23.5     2.8    57.6     2.1   -56.6     1.7
2007.8380   -22.4     2.8    57.0     2.1   -56.8     1.7
2007.8404   -29.2     2.7    57.4     2.0   -56.3     1.8
