% site name: HMBG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6150    -8.1     5.7    38.7     2.3   -56.9     1.8
2009.6174   -12.0     3.6    39.8     1.7   -57.0     1.4
2009.6201   -12.6     3.6    38.6     1.8   -57.3     1.4
2009.6230   -12.1     3.6    39.1     1.7   -56.4     1.4
2009.6260   -12.7     3.6    38.8     1.7   -57.5     1.4
2009.6282   -10.1     3.6    38.5     1.7   -57.0     1.4
2009.6311    -6.5     3.5    38.6     1.7   -56.5     1.4
2009.6340   -13.9     3.5    39.1     1.7   -57.8     1.4
2009.6370   -18.1     3.7    38.6     1.8   -57.1     1.4
2009.6392   -10.7     3.7    36.5     1.9   -58.4     1.4
2009.6420   -13.4     3.7    38.1     1.8   -56.1     1.4
2009.6450    -7.2     3.6    38.4     1.7   -56.9     1.4
2009.6474   -18.4     3.5    38.6     1.7   -57.7     1.4
2009.6501   -12.1     3.6    37.7     1.7   -56.3     1.4
2009.6530   -17.6     3.7    37.0     1.7   -57.8     1.5
2009.6560   -11.2     3.8    36.4     1.9   -56.5     1.5
2009.6584    -9.5     3.6    37.0     1.7   -56.8     1.4
2009.6612   -11.7     3.5    37.3     1.7   -55.9     1.4
2009.6640   -15.8     3.6    37.2     1.7   -58.3     1.4
2009.6670   -12.3     3.7    37.4     1.9   -57.7     1.4
2009.6694    -5.5     3.5    37.1     1.7   -55.7     1.4
2009.6721   -10.7     3.6    38.0     1.7   -55.9     1.4
2009.6750    -9.4     3.6    37.8     1.7   -57.3     1.4
2009.6780    -9.3     3.6    38.0     1.7   -57.8     1.4
2009.6804   -12.2     3.6    38.6     1.7   -57.7     1.4
2009.6831    -9.1     3.6    39.4     1.7   -57.0     1.4
2009.6860   -11.9     3.5    39.0     1.7   -57.2     1.4
2009.6890   -12.7     3.5    38.5     1.7   -57.6     1.4
2009.6912    -6.3     3.6    37.2     1.7   -56.9     1.4
2009.6940   -12.3     3.6    38.5     1.7   -58.3     1.4
2009.6970    -9.9     3.6    37.1     1.7   -57.2     1.4
