% site name: HRDG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5250   -19.4     6.2    63.1     2.4   -49.5     1.7
2008.5280   -30.4     4.0    64.2     1.8   -48.7     1.4
2008.5310   -29.5     3.9    63.0     1.7   -47.7     1.4
2008.5332   -30.3     3.9    61.9     1.7   -48.5     1.4
2008.5360   -27.6     3.9    64.0     1.7   -46.0     1.4
2008.5390   -26.0     4.0    63.4     1.7   -46.8     1.4
2008.5413   -27.8     3.9    63.4     1.7   -48.1     1.4
2008.5440   -27.2     4.0    63.6     1.7   -47.6     1.4
2008.5470   -29.7     4.0    63.8     1.7   -46.8     1.4
2008.5500   -30.7     4.0    63.7     1.7   -48.8     1.4
2008.5523   -27.1     3.9    64.4     1.7   -46.5     1.4
2008.5550   -25.0     3.9    63.9     1.7   -48.7     1.4
2008.5580   -24.8     3.9    63.7     1.7   -47.2     1.4
2008.5610   -17.5     4.0    62.8     1.7   -46.0     1.4
2008.5633   -18.2     3.9    63.3     1.7   -45.8     1.4
2008.5660   -25.6     4.0    62.8     1.7   -46.4     1.4
2008.5690   -21.9     3.9    61.9     1.7   -47.7     1.4
2008.5720   -25.0     3.9    61.1     1.7   -46.9     1.4
2008.5743   -23.2     4.0    61.7     1.7   -49.9     1.4
2008.5770   -22.1     4.0    62.9     1.7   -48.2     1.4
2008.5800   -19.8     4.0    61.9     1.7   -46.3     1.4
2008.5830   -23.1     4.1    61.5     1.8   -47.5     1.4
2008.5852   -17.9     3.9    61.6     1.7   -44.9     1.4
2008.5880   -18.2     3.9    61.1     1.7   -47.0     1.4
2008.5910   -16.3     4.0    62.2     1.8   -47.5     1.5
2008.5933   -24.8     3.9    60.9     1.7   -49.1     1.4
2008.5961   -28.8     3.9    62.2     1.8   -49.0     1.5
2008.5990   -28.0     4.0    61.7     1.7   -48.5     1.4
2008.6020   -16.2     4.0    61.2     1.8   -49.3     1.5
2008.6043   -18.4     4.0    61.2     1.8   -48.4     1.5
2008.6070   -25.8     4.3    63.3     1.8   -49.1     1.5
2008.6100   -23.2     4.0    61.9     1.7   -47.2     1.4
2008.6130   -32.5     4.0    61.5     1.7   -48.8     1.4
2008.6153   -31.5     4.0    60.8     1.7   -48.1     1.4
2008.6180   -17.9     4.0    61.9     1.7   -48.1     1.4
2008.6210   -17.6     4.0    61.7     1.7   -48.3     1.4
2008.6240   -27.1     3.9    61.7     1.7   -48.3     1.4
2008.6263   -21.1     4.4    61.7     1.8   -47.9     1.5
2008.6290   -26.7     3.9    59.8     1.7   -48.2     1.4
2008.6320   -19.7     4.0    62.5     1.7   -47.0     1.4
2008.6350   -21.8     4.0    62.0     1.7   -45.7     1.4
2008.6372   -15.9     4.0    60.5     1.7   -46.0     1.4
2008.6400   -18.0     4.0    60.6     1.7   -47.3     1.4
2008.6430   -19.2     4.0    60.1     1.7   -46.7     1.4
2008.6453   -21.8     4.0    61.6     1.8   -46.8     1.3
2008.6481   -19.4     4.1    61.2     1.7   -48.8     1.4
2008.6510   -22.1     4.0    61.5     1.7   -48.3     1.4
2008.6540   -16.8     4.0    60.7     1.7   -48.5     1.4
2008.6563   -17.7     3.9    60.5     1.7   -46.0     1.4
2008.6590   -18.4     4.0    61.9     1.7   -47.5     1.4
2008.6620   -22.8     4.0    60.5     1.7   -48.1     1.4
2008.6650   -19.0     3.9    60.6     1.7   -47.9     1.4
2008.6673   -22.5     4.0    60.1     1.7   -45.7     1.4
2008.6700   -22.5     3.9    60.9     1.7   -47.1     1.4
