% site name: ILUL
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2006.0882   -52.9     5.5    98.3     3.0   -61.6     3.0
2006.0910   -50.0     3.6    97.9     2.1   -56.9     2.1
2006.0940   -47.1     3.5    97.1     2.1   -57.2     2.1
2006.0970   -51.8     3.5    98.4     2.0   -57.7     2.1
2006.0992   -48.9     3.5    97.9     2.0   -58.2     2.1
2006.1020   -54.5     3.9    97.9     2.2   -59.0     2.3
2006.1050   -48.5     3.5    96.7     2.0   -56.5     2.1
2006.1080   -42.0     3.6    97.8     2.1   -55.4     2.1
2006.1102   -43.5     3.4    95.4     2.0   -57.6     2.1
2006.1130   -48.6     3.7    96.1     2.1   -57.2     2.1
2006.1160   -48.7     3.5    95.1     2.0   -56.9     2.1
2006.1184   -49.8     3.5    95.7     2.0   -57.1     2.1
2006.1210   -47.2     3.5    94.1     2.0   -55.0     2.1
2006.1240   -46.3     3.4    93.1     2.0   -55.6     2.1
2006.1270   -44.0     3.6    92.2     2.1   -55.3     2.1
2006.1293   -54.5     3.6    92.2     2.2   -57.3     2.2
2006.1320   -54.6     3.5    92.6     2.0   -56.5     2.1
2006.1350   -48.8     3.5    92.9     2.0   -56.3     2.1
2006.1380   -46.9     3.6    93.4     2.1   -53.9     2.1
2006.1402   -41.0     3.9    92.1     2.2   -53.9     2.3
2006.1430   -47.7     4.0    91.6     2.3   -57.4     2.4
2006.1460   -54.9     3.8    93.9     2.2   -54.7     2.3
2006.1490   -55.1     3.6    91.9     2.1   -56.2     2.1
2006.1512   -66.1     3.5    90.9     2.2   -57.9     2.2
2006.1540   -57.0     3.5    91.9     2.0   -52.9     2.1
2006.1570   -62.1     3.6    91.8     2.1   -54.5     2.1
2006.1600   -55.8     3.5    92.7     2.0   -54.9     2.1
2006.1622   -57.7     3.6    93.7     2.0   -56.9     2.2
2006.1650   -53.9     3.5    91.4     2.2   -58.8     2.2
2006.1680   -56.5     3.5    91.4     2.0   -56.1     2.1
2006.1704   -52.2     3.5    92.1     2.1   -56.9     2.1
2006.1732   -48.2     3.4    91.7     2.0   -56.8     2.1
2006.1760   -49.2     3.4    92.4     2.0   -56.6     2.1
2006.1790   -48.1     3.6    92.6     2.1   -57.1     2.1
2006.1813   -45.7     3.6    92.1     2.1   -57.0     2.1
2006.1840   -46.2     3.4    92.1     2.0   -55.6     2.1
2006.1870   -49.6     3.5    92.8     2.0   -54.9     2.1
2006.1900   -50.9     3.5    94.5     2.2   -53.8     2.2
2006.1922   -53.7     3.6    91.9     2.2   -54.0     2.2
2006.1950   -48.3     3.4    91.2     2.0   -55.4     2.1
2006.1980   -50.3     3.4    91.7     2.0   -55.0     2.1
2006.2004   -52.3     3.5    91.9     2.0   -53.9     2.1
2006.2032   -50.2     3.5    93.2     2.2   -54.7     2.2
2006.2060   -52.4     3.6    92.0     2.2   -54.5     2.2
2006.2090   -55.0     3.6    91.9     2.1   -55.7     2.1
2006.2120   -57.7     3.7    91.4     2.3   -55.7     2.3
2006.2142   -49.8     4.4    92.4     2.5   -56.7     2.5
2006.2170   -58.9     3.9    93.6     2.3   -56.4     2.4
2006.2200   -54.4     3.9    92.8     2.2   -55.2     2.3
2006.2230   -51.1     3.7    91.5     2.2   -56.0     2.2
2006.2252   -50.7     3.7    91.1     2.1   -53.9     2.1
2006.2280   -50.4     3.6    91.2     2.2   -54.0     2.2
2006.2310   -56.0     3.6    91.2     2.2   -56.3     2.2
2006.2333   -56.8     3.7    90.2     2.2   -55.5     2.2
2006.2360   -53.1     3.6    89.8     2.2   -54.8     2.2
2006.2390   -52.0     3.5    90.7     2.0   -55.6     2.1
2006.2420   -53.6     3.5    91.9     2.0   -56.2     2.1
2006.2443   -53.7     3.6    91.7     2.0   -56.5     2.2
2006.2470   -48.6     3.6    91.3     2.0   -56.2     2.2
2006.2500   -53.5     3.4    92.0     2.0   -56.4     2.1
2006.2530   -48.2     3.4    92.8     2.0   -55.8     2.1
2006.2552   -50.8     3.4    91.4     2.0   -56.8     2.1
2006.2580   -51.9     3.6    92.1     2.0   -55.4     2.2
2006.2610   -55.0     3.7    90.4     2.2   -56.0     2.2
2006.2640   -50.0     3.5    90.4     2.2   -54.9     2.2
2006.2663   -53.6     3.5    91.2     2.2   -55.9     2.2
2006.2690   -50.5     3.5    90.8     2.0   -55.3     2.1
2006.2720   -46.9     3.8    90.5     2.3   -55.7     2.3
2006.2750   -45.0     3.7    91.1     2.3   -54.8     2.3
2006.2772   -50.1     3.5    90.4     2.2   -55.0     2.2
2006.2800   -49.1     3.5    90.7     2.0   -55.4     2.1
2006.2830   -46.3     3.5    90.0     2.2   -56.1     2.2
2006.2854   -45.7     3.9    90.9     2.2   -53.5     2.3
2006.2882   -52.7     4.1    90.6     2.3   -55.8     2.4
2006.2910   -50.9     3.7    91.9     2.3   -54.7     2.3
2006.2940   -50.8     3.5    91.5     2.1   -54.0     2.1
2006.2963   -47.8     3.5    90.1     2.0   -53.1     2.1
2006.2990   -45.8     3.5    90.3     2.0   -53.2     2.1
2006.3020   -47.4     3.5    91.2     2.0   -52.9     2.1
2006.3050   -51.3     3.5    90.3     2.0   -54.9     2.1
2006.3072   -45.5     3.6    87.2     2.2   -56.5     2.2
2006.3100   -44.6     3.5    87.7     2.0   -54.5     2.1
2006.3130   -46.5     3.6    88.4     2.0   -54.3     2.2
2006.3160   -51.9     3.5    89.2     2.0   -54.6     2.1
2006.3183   -50.7     3.5    89.8     2.0   -54.9     2.1
2006.3210   -49.1     3.5    88.9     2.0   -54.9     2.1
2006.3240   -55.1     3.5    90.6     2.2   -55.2     2.1
2006.3270   -48.4     3.4    89.7     2.0   -54.9     2.1
2006.3292   -47.0     3.4    91.2     2.0   -53.5     2.1
2006.3320   -49.1     3.4    90.7     2.0   -54.2     2.1
2006.3350   -50.7     3.4    90.1     2.0   -53.3     2.1
2006.3374   -47.8     3.4    90.1     2.0   -52.0     2.1
2006.3402   -47.4     3.5    89.6     2.2   -51.4     2.2
2006.3430   -53.7     3.5    90.0     2.0   -52.0     2.1
2006.3460   -49.1     3.7    89.9     2.2   -52.3     2.2
2006.3483   -56.5     3.7    90.9     2.2   -53.5     2.2
2006.3510   -53.0     3.5    90.4     2.0   -54.3     2.1
2006.3540   -56.5     3.5    90.4     2.0   -53.2     2.1
2006.3570   -54.9     3.4    90.3     2.0   -52.6     2.1
2006.3592   -57.4     3.7    90.6     2.2   -53.2     2.2
2006.3620   -52.0     3.7    90.8     2.3   -53.6     2.3
2006.3650   -54.5     3.6    89.7     2.2   -53.1     2.2
2006.3680   -58.7     3.6    91.7     2.2   -53.0     2.2
2006.3702   -52.5     3.5    90.4     2.0   -54.1     2.1
2006.3730   -52.4     3.5    90.2     2.0   -51.8     2.1
2006.3760   -50.7     3.5    91.1     2.2   -53.3     2.2
2006.3790   -51.7     3.5    88.9     2.2   -52.9     2.2
2006.3812   -56.1     3.6    88.4     2.2   -53.2     2.2
2006.3840   -52.5     3.6    90.5     2.2   -52.9     2.2
2006.3870   -64.1     3.7    92.6     2.2   -52.7     2.2
2006.3900   -56.5     3.8    90.1     2.2   -53.0     2.3
2006.3922   -56.0     4.5    91.9     2.5   -54.5     2.5
2006.4140   -42.5     5.4    85.4     2.8   -49.9     3.0
2006.4170   -50.3     3.7    88.3     2.2   -52.4     2.2
2006.4200   -50.5     3.6    87.3     2.2   -52.2     2.2
2006.4222   -51.8     3.6    88.4     2.1   -53.0     2.1
2006.4250   -54.1     3.6    87.2     2.0   -53.1     2.2
2006.4280   -51.7     3.6    87.7     2.1   -52.3     2.1
2006.4310   -53.4     3.7    88.4     2.2   -53.4     2.2
2006.4333   -49.7     4.0    87.4     2.3   -53.0     2.4
2006.4360   -46.8     3.9    90.6     2.3   -53.0     2.3
2006.4390   -53.1     3.8    88.7     2.2   -52.3     2.3
2006.4420   -52.6     3.7    88.9     2.2   -51.4     2.2
2006.4442   -55.8     3.6    87.5     2.2   -52.5     2.2
2006.4470   -49.0     3.5    86.6     2.0   -51.4     2.1
2006.4500   -43.2     3.6    86.0     2.0   -51.7     2.2
2006.4523   -53.8     3.5    85.7     2.2   -51.0     2.2
2006.4552   -52.7     3.9    85.9     2.3   -52.0     2.4
2006.4580   -59.1     3.6    87.9     2.2   -51.5     2.2
2006.4610   -52.0     3.7    86.3     2.2   -51.8     2.2
2006.4633   -54.2     3.6    88.1     2.2   -51.4     2.2
2006.4660   -51.7     3.6    86.3     2.1   -52.9     2.1
