% site name: JGBL
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5250   -16.4     8.6    47.9     2.8   -62.2     1.5
2008.5280   -10.7     4.1    50.4     1.7   -65.4     1.3
2008.5310    -9.3     4.0    48.5     1.7   -62.4     1.2
2008.5332   -13.3     4.0    48.6     1.7   -63.2     1.2
2008.5360   -19.3     4.0    49.9     1.7   -61.5     1.2
2008.5390   -19.7     3.9    48.4     1.7   -62.7     1.2
2008.5413   -15.8     3.9    48.3     1.7   -62.3     1.2
2008.5440   -16.2     3.9    49.4     1.7   -61.6     1.2
2008.5470   -11.7     4.0    48.7     1.7   -61.5     1.2
2008.5500   -22.3     4.1    49.4     1.7   -62.4     1.2
2008.5523   -24.1     3.9    50.7     1.7   -62.1     1.2
2008.5550   -22.0     4.0    49.1     1.7   -62.7     1.2
2008.5580   -13.8     3.9    48.6     1.7   -60.9     1.2
2008.5610   -13.4     4.2    48.2     1.7   -61.6     1.2
2008.5633   -17.8     3.9    49.3     1.7   -61.0     1.2
2008.5660   -26.8     3.9    48.8     1.7   -61.9     1.2
2008.5690   -23.8     3.9    47.8     1.7   -61.7     1.2
2008.5720   -17.7     4.0    47.3     1.7   -59.4     1.2
2008.5743   -16.2     4.0    47.5     1.7   -63.0     1.2
2008.5770   -14.7     4.0    49.3     1.7   -62.9     1.2
2008.5800   -17.8     4.0    48.1     1.7   -61.9     1.2
2008.5830   -12.8     4.0    48.2     1.7   -62.3     1.2
2008.5852   -18.4     3.9    46.6     1.7   -61.2     1.2
2008.5880   -18.4     3.9    45.8     1.7   -60.2     1.2
2008.5910   -12.2     4.0    47.7     1.7   -60.2     1.2
2008.5933   -16.8     4.0    48.0     1.7   -63.1     1.2
2008.5961    -9.0     3.9    49.1     1.7   -64.6     1.2
2008.5990   -23.6     4.0    47.9     1.7   -62.4     1.2
2008.6020   -15.4     4.1    48.2     1.7   -63.7     1.2
2008.6043   -15.4     4.1    50.3     1.7   -64.5     1.2
2008.6070   -14.5     4.1    49.7     1.7   -61.5     1.2
2008.6100   -10.8     4.1    48.9     1.7   -61.3     1.2
2008.6130   -15.8     4.0    49.1     1.7   -63.5     1.2
2008.6153   -16.3     4.0    46.9     1.7   -61.2     1.2
2008.6180   -11.2     4.0    48.4     1.7   -61.5     1.2
2008.6210   -22.1     3.9    47.9     1.7   -61.0     1.2
2008.6240   -13.2     4.0    47.9     1.7   -60.1     1.2
2008.6263   -10.0     4.0    46.2     1.7   -61.3     1.2
2008.6290   -19.7     4.0    46.4     1.7   -62.3     1.2
2008.6320   -14.6     4.0    48.4     1.7   -60.4     1.2
2008.6350   -20.6     3.9    48.1     1.7   -60.2     1.2
2008.6372   -12.1     4.0    46.6     1.7   -59.8     1.2
2008.6400   -10.0     4.0    47.4     1.7   -60.9     1.2
2008.6430   -12.6     3.9    47.2     1.7   -60.3     1.1
2008.6453   -14.5     4.0    47.9     1.7   -61.0     1.2
2008.6481   -19.2     4.0    47.1     1.7   -61.6     1.2
2008.6510   -21.1     4.0    46.2     1.7   -61.2     1.2
2008.6540   -12.4     4.0    46.9     1.7   -60.8     1.2
2008.6563    -8.8     4.0    46.5     1.7   -59.5     1.2
2008.6590   -12.0     4.0    47.9     1.7   -61.0     1.2
2008.6620   -18.8     4.1    46.0     1.7   -61.4     1.2
2008.6650   -19.0     3.9    46.5     1.7   -60.9     1.2
2008.6673   -15.2     3.9    45.9     1.7   -59.1     1.2
2008.6700   -10.8     4.0    47.4     1.7   -60.4     1.2
2008.6730   -10.8     3.9    46.8     1.7   -59.5     1.2
2008.6760   -15.2     4.1    46.8     1.7   -58.6     1.2
2008.6783   -14.0     4.0    44.8     1.7   -59.8     1.2
2008.6810   -15.3     4.0    45.6     1.7   -58.5     1.2
2008.6840   -11.8     3.9    45.8     1.7   -59.2     1.2
2008.6870   -12.2     4.0    45.7     1.7   -60.0     1.2
2008.6893   -16.8     3.9    44.8     1.7   -59.4     1.2
2008.6920   -20.6     4.0    47.3     1.7   -60.2     1.2
2008.6950   -20.7     4.0    45.8     1.7   -59.9     1.2
2008.6980   -18.4     3.9    45.6     1.7   -60.1     1.2
2008.7001   -15.1     4.0    46.7     1.7   -59.9     1.2
2008.7030   -15.2     3.9    45.7     1.7   -59.3     1.2
2008.7060   -16.2     4.0    47.1     1.7   -60.9     1.2
2008.7083   -17.8     4.0    47.7     1.7   -60.6     1.2
2008.7111   -17.3     4.0    47.7     1.7   -58.7     1.2
2008.7140   -14.4     4.1    46.2     1.7   -59.7     1.2
2008.7170   -15.9     4.2    46.8     1.8   -59.3     1.2
2008.7193   -16.6     4.0    46.9     1.7   -59.6     1.2
