% site name: JWLF
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5413   -23.9     6.3    56.6     2.3   -48.2     1.6
2008.5440   -13.5     4.1    57.0     1.7   -47.0     1.4
2008.5470   -11.3     4.3    56.4     1.8   -46.7     1.3
2008.5500    -8.6     4.2    56.2     1.7   -46.4     1.4
2008.5523   -19.0     4.2    57.7     1.7   -46.1     1.4
2008.5550   -20.7     4.1    58.4     1.7   -47.5     1.4
2008.5580   -15.1     4.0    57.8     1.7   -46.9     1.4
2008.5610    -9.7     4.2    56.2     1.7   -46.9     1.4
2008.5633   -18.0     4.1    57.0     1.7   -47.3     1.4
2008.5660   -20.6     4.0    56.4     1.7   -45.9     1.4
2008.5690   -14.4     4.1    56.0     1.7   -47.2     1.4
2008.5720   -13.5     4.1    55.8     1.7   -45.4     1.4
2008.5743   -12.9     4.2    55.9     1.7   -48.8     1.4
2008.5770    -8.0     4.2    57.1     1.7   -47.3     1.4
2008.5800   -15.3     4.2    56.2     1.7   -46.8     1.4
2008.5830    -7.5     4.1    55.7     1.7   -47.4     1.4
2008.5852    -8.3     4.1    55.5     1.7   -46.5     1.4
2008.5880   -18.6     4.1    53.0     1.7   -48.3     1.4
2008.5910    -3.2     4.2    54.6     1.7   -46.5     1.4
2008.5933   -14.9     4.6    55.4     1.8   -46.5     1.4
2008.5961   -15.7     4.0    55.5     1.7   -46.8     1.4
2008.5990   -16.6     4.1    56.1     1.7   -46.1     1.4
2008.6020   -18.4     4.2    55.4     1.8   -48.1     1.5
2008.6043   -17.3     4.5    55.4     1.8   -47.7     1.4
2008.6070   -16.4     4.2    56.6     1.7   -45.9     1.4
2008.6100   -16.6     4.2    56.2     1.7   -45.9     1.4
2008.6130   -26.4     4.2    55.4     1.7   -47.2     1.4
2008.6153   -18.8     4.1    54.7     1.7   -46.6     1.4
2008.6180   -17.1     4.2    55.7     1.7   -47.7     1.4
2008.6210    -9.0     4.2    55.3     1.7   -45.5     1.4
2008.6240   -15.9     4.2    55.7     1.7   -45.6     1.4
2008.6263   -20.0     4.1    55.2     1.7   -46.6     1.4
2008.6290   -18.5     4.2    54.4     1.7   -46.2     1.4
2008.6320   -17.8     4.2    56.3     1.7   -45.6     1.4
2008.6350   -17.7     4.1    55.7     1.7   -44.4     1.4
2008.6372   -11.9     4.2    54.9     1.7   -44.9     1.4
2008.6400   -12.4     4.1    55.5     1.7   -44.7     1.4
2008.6430   -12.3     4.2    54.7     1.7   -44.0     1.4
2008.6453   -18.5     4.1    55.2     1.7   -45.2     1.4
2008.6481   -16.3     4.2    55.1     1.7   -46.3     1.4
2008.6510   -12.6     4.1    54.7     1.7   -45.5     1.4
2008.6540    -7.2     4.1    54.8     1.7   -45.2     1.4
2008.6563   -12.7     4.0    54.7     1.7   -44.5     1.4
2008.6590   -16.6     4.2    56.4     1.7   -46.1     1.4
2008.6620   -20.2     4.0    54.2     1.7   -47.6     1.4
2008.6650   -10.4     4.0    54.9     1.7   -45.8     1.4
2008.6673    -9.7     4.0    53.8     1.7   -43.8     1.4
2008.6700   -15.3     4.0    55.2     1.7   -45.2     1.4
2008.6730   -10.5     4.0    54.7     1.7   -45.5     1.4
2008.6760   -10.8     4.3    54.0     1.7   -44.4     1.4
2008.6783   -16.4     4.0    52.9     1.7   -45.4     1.4
