% site name: KAGA
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2006.3950  -108.3    14.4   111.8     6.8   -60.0     6.7
2006.3980  -115.8     5.1   110.4     2.9   -60.6     2.8
2006.4003  -114.2     5.1   109.4     2.9   -61.6     2.8
2006.4030  -118.3     5.1   110.5     2.8   -61.3     2.7
2006.4060  -122.9     5.0   109.8     2.9   -61.5     2.8
2006.4090  -122.1     5.0   109.1     2.9   -61.4     2.8
2006.4113  -114.2     5.0   109.7     2.9   -60.8     2.8
2006.4140  -118.1     5.1   109.4     2.9   -60.9     2.8
2006.4170  -122.4     5.2   109.0     3.0   -61.2     2.8
2006.4200  -121.5     5.2   108.4     2.9   -63.1     2.8
2006.4222  -121.3     5.2   109.0     2.9   -62.7     2.8
2006.4250  -121.0     5.1   109.1     2.9   -61.9     2.8
2006.4280  -118.3     5.1   108.4     2.9   -60.8     2.8
2006.4310  -115.9     5.2   109.2     2.9   -62.1     2.8
2006.4333  -116.0     5.8   108.6     3.3   -61.9     3.0
2006.4360  -117.0     5.4   109.7     3.0   -63.0     2.9
2006.4390  -121.4     5.4   110.3     3.0   -60.3     2.9
2006.4420  -126.9     5.2   109.2     2.9   -60.7     2.8
2006.4442  -117.8     5.3   108.1     3.0   -61.4     2.9
2006.4470  -112.7     5.0   108.0     2.9   -61.2     2.8
2006.4500  -111.8     5.1   107.5     2.8   -61.0     2.7
2006.4523  -117.4     5.1   106.6     2.9   -59.4     2.8
2006.4552  -136.6     5.5   106.8     3.0   -62.4     3.0
2006.4990  -122.8     4.9   107.5     2.9   -60.0     2.7
2006.5020  -128.7     4.9   107.8     2.9   -59.2     2.7
2006.5043  -114.6     4.8   107.4     2.8   -59.8     2.7
2006.5072  -119.4     4.9   106.8     2.9   -61.0     2.7
2006.5100  -112.9     5.2   107.3     3.0   -61.3     2.8
2006.5130  -118.8     5.0   107.4     2.9   -61.0     2.8
2006.5153  -114.7     5.0   107.9     2.9   -61.3     2.8
2006.5180  -110.8     5.0   107.0     2.9   -59.7     2.8
2006.5210  -112.1     5.0   107.4     2.9   -60.3     2.8
2006.5240  -114.5     5.0   105.8     2.8   -60.5     2.7
2006.5263  -117.8     5.0   105.9     2.9   -62.5     2.8
2006.5290  -126.0     5.2   106.5     2.9   -59.0     2.8
2006.5320  -115.4     4.9   105.4     2.9   -61.0     2.7
2006.5350  -112.6     5.1   106.3     2.9   -61.1     2.8
2006.5373  -117.8     5.1   105.6     2.9   -62.8     2.8
2006.5400  -115.4     4.8   106.5     2.9   -60.7     2.7
2006.5430  -118.6     5.1   106.4     2.9   -61.6     2.8
2006.5460  -122.8     5.1   108.5     2.9   -62.1     2.8
2006.5483  -115.9     5.0   106.2     2.8   -61.6     2.7
2006.5510  -110.0     5.1   106.9     2.9   -58.6     2.8
2006.5540  -112.9     5.0   104.7     2.8   -61.6     2.7
2006.5570  -116.6     4.8   104.9     2.8   -60.9     2.7
2006.5592  -114.8     4.8   104.4     2.8   -60.6     2.8
2006.5620  -118.5     4.9   105.4     2.9   -60.2     2.7
2006.5650  -114.1     5.0   104.0     2.9   -60.3     2.8
2006.5673  -116.9     5.0   104.6     2.8   -60.4     2.7
2006.5701  -120.1     5.0   105.7     2.9   -59.3     2.8
2006.5730  -116.3     5.1   105.1     3.0   -60.6     2.9
2006.5760  -115.2     4.8   105.8     2.8   -60.6     2.7
2006.5783  -121.3     4.8   107.1     2.8   -61.6     2.7
2006.5810  -118.0     4.9   104.3     2.9   -60.7     2.7
2006.5840  -119.8     5.1   106.9     2.9   -60.7     2.8
2006.5870  -118.8     5.3   105.3     3.0   -60.2     2.8
2006.5893  -113.3     5.0   105.2     2.9   -59.9     2.8
2006.5920  -109.7     5.1   104.0     2.9   -61.3     2.8
2006.5950  -116.1     5.0   103.8     2.9   -59.3     2.8
2006.5980  -111.2     4.9   104.0     2.9   -58.4     2.7
2006.6003  -112.4     5.6   105.3     3.2   -60.8     3.0
2006.6030  -111.5     5.2   103.7     3.0   -59.1     2.9
2006.6060  -114.0     5.1   102.4     3.0   -60.1     2.9
2006.6090  -116.3     4.9   104.0     2.9   -60.2     2.7
2006.6112  -114.0     4.9   103.4     2.9   -60.7     2.7
2006.6140  -113.2     5.0   103.7     2.9   -60.6     2.8
2006.6170  -111.5     4.8   105.6     2.8   -60.0     2.7
2006.6193  -110.3     4.9   106.8     2.8   -60.3     2.6
2006.6221  -111.5     5.5   107.2     3.0   -62.9     3.0
2006.6250  -112.1     5.0   104.6     2.9   -61.6     2.8
2006.6280  -109.9     5.0   103.4     2.9   -61.0     2.8
2006.6303  -105.1     5.0   104.3     2.9   -60.0     2.8
2006.6330  -107.4     4.9   103.9     2.9   -59.1     2.7
2006.6360  -105.3     5.4   103.6     3.0   -59.1     2.9
2006.6390  -109.2     5.9   103.1     3.3   -60.4     3.1
2006.6413  -111.6     5.0   102.0     2.9   -60.2     2.8
2006.6440  -112.8     4.8   103.8     2.9   -60.8     2.7
2006.6470  -107.6     5.0   103.5     2.9   -60.2     2.8
2006.6500  -112.2     4.9   103.9     2.9   -60.9     2.7
2006.6523  -107.9     5.0   103.6     2.9   -60.7     2.8
2006.6550  -105.1     5.1   103.9     3.0   -62.9     2.8
2006.6580  -107.0     5.3   103.2     3.0   -61.3     2.9
2006.6610  -104.9     5.2   103.2     3.0   -60.3     2.9
2006.6632   -81.7    36.0    93.9    53.4   -58.0    19.8
2006.6720   -87.4    55.3   111.1    53.9   -47.4    23.6
2006.6823  -109.4    83.9   119.2    78.5   -53.3    24.2
2006.6850  -143.6    47.6    90.0    53.0   -41.4    22.2
2006.6880  -133.2    41.7   101.5    52.4   -59.9    22.1
2006.6910  -111.6    61.6   105.9    52.5   -60.0    16.2
2006.6933  -108.2    53.2   100.9    53.0   -71.3    17.0
2006.6990  -115.9    42.6   119.5    42.4   -75.0    19.0
2006.7100  -108.2    46.5   118.7    41.9   -73.6    21.4
2006.7130   -88.8    46.2   110.5    43.7   -70.1    19.5
2006.7240   -99.6    37.9   110.7    42.8   -70.5    17.8
2006.7261  -107.7    38.8   107.7    45.4   -71.2    18.4
2006.7290  -105.7    35.7   105.1    60.5   -50.7    19.0
2006.7343   -84.8    36.5   108.8    62.5   -73.1    17.7
2006.7400  -126.1    35.6    86.8    47.0   -61.6    20.2
2006.7430  -129.4    37.7    86.7    50.6   -60.0    19.8
2006.7480  -126.5    38.5   106.5    47.1   -54.4    21.0
2006.7563  -114.9    43.8    82.8    46.9   -59.2    24.5
2006.7620  -117.4    46.2    90.6    46.2   -57.4    21.9
2006.7730  -111.4    40.7    81.4    47.2   -64.3    16.0
2006.7760   -97.8    39.3    84.6    49.5   -71.8    15.5
2006.7781   -88.1    40.2    84.8    50.7   -72.9    14.6
2006.7810   -99.7    40.8    96.5    48.8   -69.8    13.0
2006.7863  -124.7    35.0    89.7    48.1   -65.0    12.4
2006.7891   -90.8    35.2   107.8    48.9   -66.3    10.9
2006.7920   -99.3    33.8    90.0    51.9   -69.0     5.8
2006.7973   -88.0    45.8   113.7    51.7   -68.3    17.4
2006.8000   -94.9    43.2   116.2    53.8   -74.9     8.9
2006.8030   -72.8    34.2   109.0    70.4   -73.0     9.5
2006.8111  -112.8    40.5   106.7    53.2   -67.0    10.8
2006.8140  -139.3    63.1    97.6    52.4   -55.1    23.5
2006.8220   -98.0    49.9    92.1    51.7   -45.2    19.0
2006.8250   -76.2    66.5    94.4    51.3   -41.5    16.6
2006.8360  -114.9    80.3    99.3    54.7   -44.1    17.1
2006.8390   -85.2    64.5   119.3    55.3   -64.5    25.1
2006.8411  -106.5    80.1   102.7    51.4   -60.7    26.6
2006.8440   -95.0    86.1    91.7    52.2   -60.7    39.6
2006.8470  -113.1    67.6    88.9    52.8   -66.1    46.4
2006.8493  -114.7    70.8    87.7    51.6   -59.4    22.7
2006.8521  -103.1    63.8   102.3    89.3   -58.9    34.3
2006.8580   -96.7    79.4    92.1    54.7   -63.0    38.1
2006.8660  -120.4    42.0    96.3    49.8   -61.8    16.9
2006.8690  -121.8    37.5    92.5    50.0   -66.8    14.5
2006.8713  -118.0    34.5   111.4    50.7   -62.0    13.8
2006.8741   -94.6    40.8    96.8    51.1   -72.2    16.2
2006.8770   -83.8    32.1   109.2    53.2   -58.8    13.2
2006.8800  -109.2    34.2    92.8   130.8   -60.0    16.9
