% site name: KAGZ
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6600   -43.9     6.4   106.4     2.3   -30.9     2.5
2007.6630   -52.8     3.5   104.3     1.7   -30.9     1.7
2007.6652   -55.0     3.6   106.1     1.7   -30.7     1.8
2007.6680   -49.4     3.5   105.0     1.7   -30.0     1.7
2007.6710   -46.3     3.5   106.2     1.7   -30.0     1.7
2007.6734   -47.5     3.5   105.9     1.7   -30.8     1.7
2007.6761   -48.0     3.5   106.4     1.7   -29.6     1.7
2007.6790   -45.4     3.5   106.7     1.7   -30.8     1.7
2007.6820   -47.2     3.5   106.2     1.7   -29.7     1.7
2007.6844   -51.4     3.5   104.1     1.7   -29.3     1.7
2007.6872   -47.1     3.6   106.0     1.7   -29.6     1.8
2007.6900   -49.6     3.6   104.5     1.7   -29.0     1.8
2007.6930   -51.7     3.5   104.8     1.7   -30.0     1.7
2007.6954   -47.3     3.5   105.3     1.7   -30.2     1.7
2007.6982   -47.3     3.5   104.2     1.7   -29.9     1.7
2007.7010   -50.4     3.5   105.2     1.7   -30.2     1.7
2007.7040   -47.9     3.5   104.3     1.7   -29.6     1.7
2007.7064   -44.5     3.6   105.3     1.7   -30.7     1.8
2007.7091   -47.7     3.6   104.6     1.7   -28.8     1.8
2007.7120   -51.2     3.5   103.9     1.7   -30.3     1.7
2007.7150   -49.7     3.5   103.2     1.7   -30.0     1.7
2007.7172   -40.9     3.5   103.9     1.7   -28.9     1.7
2007.7200   -42.6     3.5   104.0     1.7   -27.9     1.7
2007.7230   -47.5     4.2   104.7     1.8   -30.5     2.0
2007.7254   -46.0     3.6   103.8     1.7   -28.6     1.8
2007.7310   -49.1     3.9   104.2     1.7   -29.3     1.9
2007.7340   -49.3     5.3   103.3     2.1   -29.4     2.3
2007.7364   -47.4     3.5   102.6     1.7   -27.4     1.7
2007.7392   -52.1     3.5   103.1     1.7   -28.9     1.7
2007.7420   -50.1     3.5   103.2     1.7   -27.6     1.7
2007.7450   -45.2     3.5   103.2     1.7   -29.8     1.7
2007.7474   -43.0     3.5   104.6     1.7   -27.9     1.7
2007.7502   -44.3     3.5   104.9     1.7   -27.5     1.7
2007.7530   -48.2     3.6   105.0     1.7   -29.2     1.8
2007.7560   -48.6     3.5   104.5     1.7   -27.6     1.7
2007.7584   -51.0     3.5   104.5     1.7   -27.3     1.7
2007.7611   -51.3     3.5   104.7     1.7   -27.0     1.7
2007.7640   -50.3     3.6   103.7     1.7   -28.4     1.8
2007.7670   -46.9     3.5   105.2     1.7   -27.5     1.7
2007.7692   -51.4     3.7   103.8     1.7   -28.0     1.9
2007.7720   -46.5     3.7   103.4     1.7   -28.2     1.9
2007.7750   -53.0     3.6   102.5     1.7   -27.2     1.8
2007.7774   -49.3     3.5   102.3     1.7   -27.6     1.7
2007.7802   -49.0     3.5   102.6     1.7   -27.5     1.7
2007.7830   -49.9     3.5   104.1     1.7   -28.2     1.7
2007.7860   -48.7     3.5   103.9     1.7   -27.6     1.7
2007.7884   -49.4     3.5   103.2     1.7   -29.2     1.7
2007.7912   -51.5     3.5   103.5     1.7   -28.7     1.7
2007.7940   -49.4     3.6   103.7     1.7   -27.4     1.8
2007.7970   -47.6     3.6   103.2     1.7   -27.8     1.8
2007.8000   -46.0     3.5   103.0     1.7   -26.8     1.7
2007.8022   -51.5     3.5   101.7     1.7   -26.0     1.7
