% site name: KAPI
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.4694   -12.5     2.8    65.9     2.0   -38.7     1.9
2009.4722   -10.2     2.8    64.9     2.0   -37.9     1.9
2009.4750   -14.4     2.8    65.2     2.0   -37.4     1.9
2009.4780   -18.0     2.8    65.3     2.0   -39.3     1.9
2009.4804   -17.2     2.9    65.6     2.0   -39.9     2.1
2009.4831   -14.6     2.8    65.4     2.0   -39.5     2.1
2009.4860   -20.8     2.8    66.6     2.0   -39.5     2.1
2009.4890   -16.1     2.8    65.9     2.0   -37.8     1.9
2009.4914   -16.3     2.9    65.8     2.0   -36.3     2.1
2009.4941   -16.3     2.7    64.5     2.0   -39.1     2.0
2009.4970   -18.1     2.8    65.2     2.0   -36.1     2.1
2009.5000   -16.3     2.8    64.4     2.0   -37.8     1.9
2009.5024   -18.7     2.7    64.6     1.9   -38.5     2.0
2009.5051   -14.4     2.8    65.6     2.0   -39.3     1.9
2009.5080   -19.6     2.8    65.4     2.0   -37.3     1.9
2009.5110   -14.9     2.8    63.2     2.0   -37.6     1.9
2009.5133   -13.1     2.8    64.5     2.0   -37.4     1.9
2009.5161   -15.7     2.8    63.9     2.0   -38.1     1.9
2009.5190    -9.6     2.8    61.1     2.0   -37.8     1.9
2009.5220   -10.5     2.8    64.4     2.0   -39.8     1.9
2009.5242   -11.3     3.6    62.7     2.5   -39.5     2.5
2009.5270   -13.1     2.8    64.1     2.0   -38.4     1.9
2009.5300   -15.1     2.8    62.8     2.0   -38.2     1.9
2009.5324   -16.4     2.8    64.1     2.0   -37.2     1.9
2009.5351   -15.6     2.7    64.8     2.0   -39.5     2.0
2009.5380   -17.8     2.8    64.1     2.0   -37.3     1.9
2009.5410   -20.3     2.7    64.1     2.0   -36.7     2.0
2009.5434   -10.6     2.7    63.7     2.0   -36.8     1.9
2009.5461   -18.3     2.8    64.0     2.0   -39.5     1.9
2009.5490   -14.9     2.8    64.9     2.0   -38.1     1.9
2009.5520   -12.2     2.8    64.3     2.0   -38.5     1.9
2009.5544   -16.3     2.8    64.5     2.0   -37.1     1.9
2009.5572   -14.6     3.0    63.0     2.2   -38.4     2.2
2009.5600   -14.4     2.7    63.7     2.0   -38.6     2.0
2009.5630   -11.6     2.7    63.3     2.0   -40.7     2.0
2009.5654   -11.7     2.8    62.2     2.0   -38.9     1.9
2009.5681   -13.3     2.8    63.8     2.0   -38.6     1.9
2009.5710   -12.2     2.8    63.9     2.0   -39.5     1.9
2009.5740   -12.0     2.8    66.8     2.0   -38.5     1.9
2009.5762    -6.9     2.8    64.8     2.0   -40.8     1.9
2009.5791     2.6     2.8    65.3     2.0   -37.7     1.9
2009.5820    -9.3     2.8    63.5     2.0   -40.3     1.9
2009.5844   -13.4     2.8    62.9     2.0   -39.1     1.9
2009.5872   -13.2     2.8    63.8     2.0   -38.6     1.9
2009.5900   -10.9     2.8    64.7     2.0   -39.9     2.1
2009.5930   -10.9     2.8    63.9     2.0   -38.9     1.9
2009.5954   -16.6     2.7    62.8     2.0   -38.9     2.0
2009.5981   -13.1     2.8    63.6     2.0   -38.4     2.1
2009.6010   -10.8     2.8    61.7     2.0   -41.2     2.1
2009.6040    -6.7     2.8    63.6     2.0   -39.7     1.9
2009.6064    -7.8     2.8    62.5     2.0   -38.0     1.9
2009.6092   -12.2     2.8    62.9     2.0   -38.0     1.9
2009.6120    -6.6     2.8    62.3     2.0   -37.8     1.9
2009.6150   -10.8     2.8    62.4     2.0   -39.6     2.1
2009.6174   -11.2     2.8    62.8     2.0   -38.3     1.9
2009.6201    -8.5     2.7    62.6     2.0   -37.6     2.0
2009.6230    -8.8     2.8    62.2     2.0   -38.1     1.9
2009.6260   -13.0     2.8    62.4     2.0   -39.0     1.9
2009.6282   -11.5     2.8    61.8     2.0   -38.3     1.9
2009.6311    -6.5     2.7    62.4     2.0   -38.1     2.0
2009.6340    -6.5     2.8    63.2     2.0   -38.1     1.9
2009.6370   -12.0     2.7    61.6     2.0   -38.1     2.0
2009.6392   -10.0     2.8    59.5     2.0   -38.8     2.1
2009.6420    -7.8     2.8    61.3     2.0   -36.5     2.1
2009.6450   -11.3     2.8    61.6     2.0   -38.4     2.1
2009.6474   -11.4     2.7    61.9     2.0   -39.4     2.0
2009.6560    -4.4     2.8    60.6     2.0   -36.5     2.1
2009.6584   -12.2     2.8    61.0     2.0   -38.1     1.9
2009.6612    -9.9     2.8    61.0     2.0   -37.3     1.9
2009.6640    -4.2     2.8    60.5     2.0   -37.0     2.1
2009.6670    -8.5     2.8    61.3     2.0   -36.7     1.9
2009.6694   -11.6     2.8    60.3     2.0   -38.4     1.9
2009.6721   -10.2     2.7    61.2     2.0   -37.5     2.0
2009.6750    -6.1     2.8    60.9     2.0   -38.6     1.9
2009.6780    -2.9     2.8    60.7     2.0   -38.7     1.9
2009.6804    -5.0     2.8    61.7     2.0   -38.0     1.9
2009.6831    -5.6     2.8    62.5     2.0   -37.8     1.9
2009.6860    -7.7     2.8    60.9     2.0   -40.0     1.9
2009.6890    -8.9     2.8    61.2     2.0   -37.9     1.9
2009.6912    -9.4     2.7    61.2     2.0   -39.9     2.0
2009.6940    -5.2     2.7    62.5     2.0   -39.4     2.0
2009.6970    -4.3     2.7    60.3     2.0   -37.3     2.0
2009.6994   -10.0     2.8    61.5     2.0   -38.0     1.9
2009.7022    -9.7     2.8    60.1     2.0   -38.3     2.1
2009.7050   -14.2     2.8    61.6     2.0   -37.9     2.1
2009.7080   -11.2     2.7    60.2     2.0   -36.8     2.0
2009.7104    -7.1     2.7    61.3     2.0   -37.8     2.0
2009.7132    -8.6     2.8    59.7     2.0   -39.4     2.1
2009.7160    -7.4     2.7    60.0     2.0   -39.1     2.0
2009.7190    -4.1     2.8    59.9     2.0   -38.1     1.9
2009.7214    -5.5     2.7    59.5     2.0   -37.6     2.0
2009.7242    -3.8     2.7    59.8     2.0   -37.3     2.0
2009.7270   -12.6     2.7    59.3     2.0   -38.4     2.0
2009.7300    -9.3     2.8    60.1     2.0   -38.8     1.9
2009.7324    -8.1     2.7    60.5     2.0   -38.1     2.0
2009.7351    -5.5     2.8    58.6     2.0   -39.4     1.9
2009.7380     2.5     2.7    59.1     2.0   -37.5     2.0
2009.7410    -7.0     2.7    60.0     2.0   -37.2     2.0
2009.7432   -15.8     2.8    59.9     2.0   -37.0     2.1
2009.7460   -13.8     2.7    59.1     2.0   -36.7     2.0
2009.7490   -22.3     2.7    58.5     2.0   -37.5     2.0
2009.7514   -12.9     2.8    59.8     2.0   -36.2     2.1
2009.7542    -7.6     2.7    59.0     2.0   -36.6     2.0
2009.7570    -9.3     2.8    58.7     2.0   -36.8     1.9
2009.7600    -5.6     2.7    58.8     2.0   -36.6     2.0
2009.7624    -5.7     2.8    58.7     2.0   -36.5     2.1
2009.7652    -8.0     2.8    58.8     2.0   -34.7     1.9
2009.7680   -11.7     2.8    58.8     2.0   -35.9     1.9
2009.7710   -11.7     2.8    59.6     2.0   -36.5     2.1
2009.7734   -10.0     2.8    58.4     2.0   -37.3     1.9
2009.7762   -10.0     2.7    57.9     2.0   -36.0     2.0
2009.7790   -10.7     2.8    58.0     2.0   -37.6     1.9
2009.7820    -0.7     2.8    57.3     2.0   -34.2     1.9
2009.7844   -10.4     2.7    57.8     2.0   -35.9     2.0
2009.7871   -16.6     2.8    58.9     2.0   -38.2     1.9
2009.7900    -9.3     2.7    58.3     2.0   -37.6     2.0
2009.7930    -9.0     2.8    57.2     2.0   -37.9     2.1
2009.7952    -9.1     2.7    57.5     2.0   -37.3     2.0
2009.7980    -6.8     2.7    58.6     2.0   -36.1     2.0
2009.8010    -1.5     2.7    59.4     2.0   -36.9     2.0
2009.8040    -9.0     2.8    57.8     2.0   -36.5     2.1
2009.8062    -7.2     2.8    57.7     2.0   -36.8     2.1
2009.8090   -11.4     3.1    59.0     2.3   -36.8     2.3
2009.8120    -7.9     2.8    58.2     2.0   -34.0     2.1
2009.8144   -12.9     3.0    58.6     2.1   -36.1     2.2
2009.8172   -11.1     2.8    58.5     2.0   -36.3     2.1
2009.8200   -10.0     2.8    57.8     2.0   -36.3     2.1
2009.8230   -15.4     2.8    56.6     2.0   -35.5     2.1
2009.8254   -11.5     2.7    56.6     2.0   -36.4     2.0
2009.8282   -12.5     2.8    56.0     2.0   -35.9     2.1
2009.8310    -7.9     2.9    56.0     2.0   -37.7     2.1
2009.8340    -6.2     2.7    56.6     2.0   -37.6     2.0
2009.8364    -4.0     2.8    56.9     2.0   -36.9     2.1
2009.8392    -6.7     2.7    54.6     2.0   -37.9     2.0
2009.8420    -9.4     2.8    57.3     2.0   -36.8     2.1
2009.8450    -9.1     2.7    56.1     2.0   -36.9     2.0
2009.8474    -7.1     2.8    55.4     2.0   -37.6     2.1
2009.8500    -6.0     2.7    57.1     2.0   -37.7     2.0
2009.8530    -4.7     2.7    58.1     2.0   -34.9     2.0
2009.8560    -8.1     2.8    57.2     2.0   -35.8     2.1
2009.8582   -10.0     2.7    57.4     2.0   -36.1     2.0
2009.8610    -9.2     2.8    56.7     2.0   -35.7     2.1
2009.8640    -8.9     2.8    56.6     2.0   -35.6     2.1
2009.8664     0.8     2.8    57.5     2.0   -34.8     2.1
2009.8692    -5.9     2.7    58.5     2.0   -36.0     2.0
2009.8720   -10.1     2.8    56.8     2.0   -36.9     2.1
2009.8750    -4.8     2.8    56.3     2.0   -36.3     2.1
2009.8774    -9.8     2.7    57.7     2.0   -36.0     2.0
2009.8802    -4.2     2.8    57.0     2.0   -36.5     2.1
2009.8830    -2.1     2.8    56.7     2.0   -36.7     2.1
2009.8860    -6.4     2.8    56.9     2.0   -33.9     2.1
2009.8884    -9.8     2.7    56.3     2.0   -36.3     2.0
2009.8912   -11.6     2.7    57.0     2.0   -37.0     2.0
2009.8940    -9.8     2.7    56.3     2.0   -36.9     2.0
2009.8970    -5.6     2.8    57.2     2.0   -35.0     1.9
2009.8994    -8.2     2.7    56.8     2.0   -35.5     2.0
2009.9020    -8.6     2.7    58.2     2.0   -34.4     2.0
2009.9050   -10.4     2.7    57.2     2.0   -35.9     2.0
2009.9080    -8.2     2.7    56.8     2.0   -36.0     2.0
2009.9102    -2.3     2.8    56.7     2.0   -34.7     1.9
2009.9130    -3.3     2.8    57.2     2.0   -34.5     1.9
2009.9160     0.2     2.7    58.0     2.0   -35.1     2.0
2009.9184    -5.1     2.7    57.4     2.0   -35.9     2.0
2009.9212    -8.7     2.8    56.0     2.0   -34.6     1.9
2009.9240   -11.1     2.8    56.1     2.0   -33.7     1.9
2009.9270    -5.3     2.8    55.6     2.0   -34.1     1.9
2009.9294    -5.9     2.7    55.0     2.0   -32.3     2.0
2009.9322    -8.5     2.7    55.7     2.0   -35.8     2.0
2009.9350    -1.2     2.7    55.6     2.0   -35.7     2.0
2009.9380   -11.3     2.7    56.5     2.0   -35.4     2.0
2009.9410    -9.2     2.7    56.1     2.0   -35.2     2.0
2009.9432    -7.0     2.8    56.2     2.0   -34.4     1.9
2009.9460    -5.2     2.7    55.8     2.0   -35.1     2.0
2009.9490   -11.1     2.8    57.1     2.0   -35.4     2.1
2009.9514   -11.1     2.7    55.1     2.0   -35.9     2.0
