% site name: KBUG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6571   -66.1     3.1    67.7    21.2   -62.6     1.8
2007.6600   -62.7     3.1    67.4     2.1   -61.7     1.8
2007.6630   -63.2     3.1    67.1     2.1   -61.4     1.8
2007.6652   -63.3     3.1    67.3     2.1   -62.3     1.8
2007.6680   -73.3     3.2    64.7     2.1   -59.0     1.8
2007.6710   -63.5     3.1    67.8     2.1   -62.5     1.8
2007.6734   -68.8     3.1    66.1     2.2   -63.7     1.8
2007.6761   -59.2     3.0    65.2     2.1   -62.1     1.8
2007.6790   -57.7     3.1    68.3     2.1   -62.9     1.7
2007.6820   -64.9     3.2    68.3     2.1   -61.0     1.9
2007.6844   -58.2     3.1    68.2     2.2   -60.3     1.8
2007.6872   -61.8     3.1    65.9     2.1   -60.5     1.8
2007.6900   -65.8     3.1    65.2     2.1   -58.2     1.8
2007.6930   -54.7     3.1    64.6     2.1   -60.8     1.8
2007.6954   -63.0     3.0    67.2     2.1   -58.8     1.8
2007.6982   -66.5     3.0    66.7     2.1   -60.2     1.8
2007.7010   -59.0     3.1    67.3     2.1   -59.5     1.8
2007.7040   -59.5     3.1    66.6     2.1   -59.3     1.8
2007.7064   -53.1     3.1    66.5     2.1   -61.4     1.8
2007.7091   -56.4     3.1    68.3     2.1   -59.5     1.8
2007.7120   -59.3     3.0    65.9     2.1   -62.2     1.8
2007.7150   -65.3     3.1    63.8     2.1   -60.2     1.8
2007.7172   -58.8     3.0    67.7     2.1   -58.5     1.8
2007.7200   -55.8     3.1    67.1     2.1   -59.1     1.8
2007.7230   -57.3     3.0    66.6     2.1   -59.2     1.8
2007.7254   -58.6     3.1    67.1     2.1   -58.9     1.8
2007.7282   -61.4     3.0    66.4     2.1   -58.9     1.8
2007.7310   -59.8     3.1    65.6     2.1   -58.5     1.8
2007.7340   -60.3     3.0    66.8     2.1   -61.6     1.8
2007.7364   -61.1     2.9    66.0     2.1   -60.1     1.7
2007.7392   -60.3     3.0    66.9     2.1   -60.4     1.8
2007.7420   -61.6     3.0    66.4     2.1   -57.9     1.9
2007.7450   -61.8     3.3    65.3     2.1   -58.5     1.8
2007.7474   -56.4     3.0    67.7     2.3   -57.6     1.8
2007.7502   -58.3     3.1    67.5     2.1   -62.3     1.7
2007.7530   -53.7     3.1    68.5     2.1   -60.4     1.8
2007.7560   -56.3     3.1    66.8     2.1   -60.6     1.8
2007.7584   -58.7     3.0    68.5     2.2   -57.8     1.8
2007.7611   -61.6     3.0    67.8     2.1   -56.9     1.8
2007.7640   -62.1     3.1    66.1     2.1   -58.3     1.8
