% site name: KELY
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
1995.6734   -14.6     3.4   191.9     2.3  -124.0     2.2
1995.6761   -12.0     3.3   190.7     2.3  -125.2     2.2
1995.6790    -7.1     3.7   190.4     2.4  -125.6     2.3
1995.6820   -14.8     3.9   188.5     2.6  -126.1     2.5
1995.6844    -9.8     4.1   189.6     2.8  -123.5     2.6
1995.6872    -9.9     4.6   185.9     3.0  -124.4     2.8
1995.6900   -12.3     3.6   189.2     2.5  -129.4     2.3
1995.6930   -18.9     3.7   189.3     2.5  -123.4     2.4
1995.6954    -6.6     5.1   191.3     3.2  -126.1     3.1
1995.6982   -14.0     3.9   196.0     2.7  -126.4     2.6
1995.7010   -14.7     4.2   191.2     2.8  -125.9     2.7
1995.7040    -7.5     4.3   188.8     2.8  -125.4     2.8
1995.7064   -20.6     4.7   189.9     3.0  -126.5     3.0
1995.7091    -8.2     3.5   188.2     2.5  -125.4     2.3
1995.7120   -11.8     3.9   190.4     2.5  -123.6     2.4
1995.7150   -12.4     3.6   187.9     2.5  -123.3     2.3
1995.7172   -16.9     3.4   186.6     2.4  -124.5     2.2
1995.7200    -8.0     3.4   184.9     2.3  -124.3     2.2
1995.7230   -12.1     3.5   187.2     2.5  -125.7     2.3
1995.7254    -7.6     3.8   187.9     2.6  -122.7     2.4
1995.7282   -10.0     3.7   189.8     2.5  -123.2     2.4
1995.7310    -1.5     3.7   190.3     2.5  -125.9     2.4
1995.7340   -12.1     3.7   188.0     2.5  -125.8     2.4
1995.7364    -5.6     3.5   191.1     2.3  -124.5     2.3
1995.7392   -17.6     5.8   187.6     3.4  -122.2     3.5
1995.7420   -15.2     5.7   185.0     4.2  -130.0     3.4
1995.7450    -8.8     3.6   188.0     2.4  -122.3     2.3
1995.7474    -9.4     3.9   186.6     2.5  -123.3     2.4
1995.7502   -27.7     3.9   184.2     2.7  -121.2     2.6
1995.7530    -6.9     4.0   184.2     2.7  -125.9     2.6
1995.7560   -10.2     4.3   184.0     2.8  -123.1     2.7
1995.7584   -24.6     4.2   187.5     2.7  -124.3     2.7
1995.7611   -27.9     5.6   186.3     3.2  -123.6     3.4
1995.7640   -12.9     6.3   187.3     3.9  -124.7     3.8
1995.7670   -17.9     4.6   189.3     3.0  -126.5     2.8
1995.7692   -24.0     5.1   187.5     3.2  -123.4     3.1
1995.7720    -8.9    10.5   183.4     6.1  -120.8     5.5
1995.7750   -15.1     3.8   190.7     2.5  -121.9     2.4
1995.7774   -21.1     4.7   189.8     3.0  -123.5     2.8
1995.7802   -19.9     6.4   191.7     4.0  -123.0     3.4
1995.7830   -16.7     9.8   187.1     9.9  -128.0     6.7
1995.7860   -11.7     6.4   192.6     4.0  -122.0     3.6
1995.7884    -8.9     5.7   189.3     3.8  -121.6     3.1
1995.7940    -9.7     4.4   185.9     3.0  -122.5     2.7
1995.7970    -4.2     4.6   187.6     2.9  -122.4     2.8
1995.8022   -13.8     8.3   184.6     5.4  -120.5     4.5
1995.8050    -6.5     6.7   187.3     4.1  -122.1     3.6
1995.8080   -22.4    18.0   189.9     9.0  -125.2    10.1
1995.8300   -16.0     8.1   185.7     4.3  -118.4     4.1
1995.8322   -13.1     4.0   183.3     2.8  -122.5     2.6
1995.8350   -19.1     4.5   187.4     3.0  -124.5     2.7
1995.8380   -32.6     6.6   185.5     4.3  -126.9     3.8
1995.8432   -15.6     8.1   184.0     4.3  -125.9     4.7
1995.8460   -11.0     3.7   185.7     2.5  -122.2     2.4
1995.8490    -9.4     3.8   185.1     2.5  -125.2     2.4
1995.8514   -19.8     3.5   185.8     2.3  -124.6     2.3
1995.8542   -22.2     4.2   183.8     2.9  -127.4     2.7
1995.8570    -9.9     3.7   188.2     2.5  -128.2     2.4
1995.8600    -8.1     3.6   183.2     2.5  -116.0     2.3
1995.8624   -17.4     5.0   183.3     3.2  -123.2     3.0
1995.8680   -20.3     3.9   185.5     2.6  -126.7     2.5
1995.8710   -26.2     3.5   182.8     2.3  -123.8     2.3
1995.8734   -25.0     3.4   184.4     2.3  -124.1     2.2
1995.8760   -25.2     4.7   185.4     3.0  -124.1     2.9
1995.8790   -14.3     5.2   183.8     3.3  -127.4     3.0
1995.8820    -8.9     4.1   182.2     2.7  -127.9     2.5
1995.8842   -13.4     4.3   185.9     2.9  -126.3     2.7
1995.8952   -37.3     5.9   187.0     4.1  -130.2     3.7
1995.8980   -26.7     3.6   184.8     2.5  -129.0     2.3
1995.9010   -23.5     3.7   188.2     2.5  -125.9     2.3
1995.9034   -15.9    11.4   190.6     8.2  -123.3     7.3
1995.9062   -41.9    25.9   184.0    11.9  -137.6    14.0
1995.9090   -24.0     4.3   189.8     2.9  -124.1     2.7
1995.9120    -9.8     7.7   178.3     4.6  -122.7     4.4
1995.9172   -39.7     7.5   182.6     4.5  -127.5     4.6
1995.9472    -2.3     6.3   192.1     4.0  -122.1     3.8
1995.9500   -15.7     4.3   181.6     2.8  -124.6     2.6
1996.0020   -41.2     8.5   182.2     4.6  -122.3     4.9
1996.0380   -12.8     4.9   187.5     3.2  -125.1     3.1
1996.0404   -11.6     7.2   183.1     4.0  -120.3     4.1
1996.0710   -24.5     4.6   182.1     3.0  -123.6     2.8
1996.0790   -24.3     4.5   176.5     3.0  -122.5     2.9
1996.0820   -40.5     5.7   179.4     3.5  -126.2     3.3
1996.0900   -13.0     7.8   173.9     2.8  -116.7     2.7
1996.0924    -2.8     4.4   176.5     4.0  -117.4     3.6
1996.1230   -23.9     6.1   177.9   340.9  -117.4   210.7
1996.1252   -21.6   307.8   182.1     4.0  -118.9     4.0
1996.1280   -35.3     6.8   179.8     4.2  -125.4     3.9
1996.1310   -31.7     7.1   185.1     4.9  -123.6     4.8
1996.1640   -16.7     8.7   171.7     7.1  -123.3     7.6
1996.1662   -10.4    16.6   182.2     4.1  -117.6     4.0
1996.1690   -11.1    13.3   181.1     2.6  -114.1     2.4
1996.1720   -13.9     6.7   185.7     3.1  -123.7     2.9
1996.1772   -15.2     3.8   181.4     5.6  -120.9     5.0
1996.1800   -16.1     4.9   181.0     3.6  -125.5     3.5
1996.2050   -19.5     9.1   182.0     5.3  -123.7     4.9
1996.2073   -27.2     5.6   184.4     6.3  -122.2     3.6
1996.2130   -10.8     6.3   169.4     3.9  -122.4    11.0
1996.2160   -23.5     4.2   184.4    29.1  -118.8     4.1
1996.2402   -17.8    28.2   178.3     5.2  -112.0     3.7
1996.2430   -10.3     9.0   179.7     3.6  -116.1     3.5
1996.2460   -14.2     4.7   176.1     3.5  -116.5     3.2
1996.2490   -20.1     6.1   175.2     3.4  -113.8     2.7
1996.2512   -75.3     5.6   179.7     2.9  -120.5     3.4
1996.2620   -17.3     5.2   177.8    12.8  -117.8     7.5
1996.2650   -15.8     4.2   179.4     6.5  -117.5     2.8
1996.2680   -18.8     5.8   179.3     3.0  -123.4     3.3
1996.2703   -20.3    20.3   177.4     3.4  -119.7     2.6
1996.2730   -26.1    14.4   179.7     2.7  -120.0     2.3
1996.2760   -17.9     4.3   177.6     2.5  -119.3     2.8
1996.2790   -24.7     5.0   178.2     3.2  -119.2     2.3
1996.2812   -20.1     3.9   180.8     2.5  -122.6     2.5
1996.2840   -20.4     3.5   180.7     2.9  -116.8     2.4
1996.2870   -14.7     4.4   179.0     2.6  -115.9     2.5
1996.2900   -20.8     3.4   178.7     2.7  -119.2     3.2
1996.2923   -19.5     3.9   185.2     3.7  -120.8     2.5
1996.2950   -42.8     3.6   172.3     2.8  -113.2     2.9
1996.2980    -3.2     3.7   186.1     3.2  -120.6     2.4
1996.3010   -18.8     5.2   177.6     2.8  -120.1     3.4
1996.3032   -15.5     3.8   177.8     6.3  -119.3     5.2
1996.3060   -13.1     4.1   176.4     5.5  -120.9     5.8
1996.3090   -21.7     3.8   175.7     9.9  -116.9     2.6
1996.3114   -24.6     5.8   174.8     3.0  -117.7     2.6
1996.3142   -26.6     9.2   180.0     3.0  -115.7     2.6
1996.3170   -18.1     8.6   180.5     3.0  -116.0     2.4
1996.3200   -24.8     3.8   178.0     2.6  -121.4     2.5
1996.3223   -28.3     3.9   176.5     2.9  -116.4     2.5
1996.3250   -23.4     4.0   175.7     3.0  -116.1     2.6
1996.3280   -17.1     3.6   176.0     2.8  -118.1     2.5
1996.3310   -18.7     3.8   178.2     2.9  -118.6     2.2
1996.3332    -6.7     3.8   176.2     2.5  -119.6     2.3
1996.3360   -22.4     3.8   176.6     2.6  -119.2     2.2
1996.3390   -18.3     3.9   174.4     2.5  -119.8     2.5
1996.3420   -25.7     3.5   177.0     2.8  -118.7     2.3
1996.3443   -22.8     3.5   174.3     2.7  -118.7     2.2
1996.3470   -19.8     3.5   176.2     2.5  -116.2     2.3
1996.3500   -11.8     3.7   173.4     2.7  -116.2     2.4
