% site name: KMJP
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5390   -14.9     6.4    50.6     2.2   -63.5     1.3
2008.5413   -11.5     4.3    50.0     1.7   -63.6     1.1
2008.5440   -15.0     4.1    50.3     1.7   -63.0     1.2
2008.5470   -17.4     4.1    49.8     1.7   -63.0     1.1
2008.5500   -18.6     4.1    50.2     1.7   -62.2     1.1
2008.5523   -20.2     4.0    51.9     1.7   -62.0     1.2
2008.5550   -16.9     4.1    52.0     1.7   -63.4     1.2
2008.5580   -19.3     4.1    50.4     1.7   -62.8     1.2
2008.5610   -13.0     4.1    49.4     1.7   -62.2     1.2
2008.5633   -24.8     4.1    50.9     1.7   -62.4     1.2
2008.5660   -24.1     4.1    49.9     1.7   -61.0     1.2
2008.5690   -24.0     4.2    51.2     1.7   -62.9     1.1
2008.5720   -11.9     4.3    50.0     1.8   -60.2     1.2
2008.5743   -10.0     4.1    49.1     1.7   -62.5     1.2
2008.5770   -21.6     4.1    51.1     1.7   -62.8     1.2
2008.5800   -18.3     4.2    49.4     1.7   -62.6     1.2
2008.5830   -23.1     4.0    48.3     1.7   -62.4     1.2
2008.5852   -10.5     4.1    49.2     1.7   -61.7     1.2
2008.5880   -12.9     4.2    48.2     1.7   -62.2     1.2
2008.5910   -11.5     4.1    49.1     1.7   -60.6     1.2
2008.5933   -17.7     4.0    47.9     1.7   -61.4     1.2
2008.5961   -23.9     4.1    48.6     1.7   -62.1     1.2
2008.5990   -18.1     4.1    49.7     1.7   -60.1     1.2
2008.6020   -12.1     4.2    48.4     1.7   -62.0     1.1
2008.6043   -18.6     4.2    48.2     1.7   -61.2     1.2
2008.6070   -27.7     4.6    49.5     1.8   -63.0     1.2
2008.6100   -16.0     4.1    49.6     1.7   -61.5     1.2
2008.6130   -15.8     4.1    49.4     1.7   -62.3     1.2
2008.6153   -18.0     4.2    49.3     1.7   -61.6     1.2
2008.6180    -9.9     4.2    49.9     1.7   -61.1     1.2
2008.6210   -12.8     4.2    48.9     1.7   -61.3     1.2
2008.6240   -15.6     4.1    48.9     1.7   -60.5     1.2
2008.6263   -19.5     4.1    48.5     1.7   -61.7     1.2
2008.6290   -16.2     4.1    48.1     1.7   -61.7     1.2
2008.6320   -12.3     4.1    51.2     1.7   -60.3     1.2
2008.6350   -16.0     4.1    50.1     1.7   -58.6     1.2
2008.6372   -15.6     4.1    48.6     1.7   -59.8     1.2
2008.6400   -18.4     4.3    50.1     1.7   -61.0     1.1
2008.6430   -14.7     4.2    50.0     1.7   -59.0     1.1
2008.6453   -11.5     4.1    49.9     1.7   -60.0     1.1
2008.6481   -11.9     4.2    48.9     1.7   -60.6     1.2
2008.6510   -11.0     4.3    48.6     1.7   -60.4     1.1
2008.6540   -14.0     4.1    48.2     1.7   -60.9     1.2
2008.6563   -13.2     4.3    49.1     1.8   -59.0     1.2
2008.6590   -11.2     4.1    49.5     1.7   -61.6     1.2
2008.6620   -10.6     4.0    47.9     1.7   -61.5     1.2
2008.6650    -8.9     4.0    48.1     1.7   -61.2     1.2
2008.6673   -15.0     4.1    48.7     1.7   -58.3     1.2
2008.6700   -16.5     4.1    49.6     1.7   -60.5     1.2
2008.6730    -6.9     4.0    48.5     1.7   -59.7     1.2
2008.6760   -21.9     4.3    48.6     1.7   -59.0     1.1
2008.6783   -14.4     4.1    46.7     1.7   -58.7     1.2
2008.6810   -12.3     4.1    47.5     1.7   -57.5     1.2
2008.6840   -16.5     4.1    47.9     1.7   -59.0     1.2
2008.6870   -16.4     4.1    48.3     1.7   -59.3     1.2
2008.6893   -12.5     4.1    46.5     1.7   -59.3     1.2
2008.6920   -17.9     4.0    48.6     1.7   -59.7     1.2
2008.6950   -16.9     4.1    47.0     1.7   -59.4     1.2
2008.6980   -21.6     4.0    47.6     1.7   -59.7     1.2
2008.7001   -16.5     4.1    49.2     1.7   -58.2     1.2
2008.7030   -20.2     4.0    47.2     1.7   -58.8     1.2
2008.7060   -17.2     4.1    48.9     1.7   -60.6     1.2
2008.7083   -16.4     4.1    48.4     1.7   -60.0     1.2
2008.7111   -19.9     4.2    49.2     1.7   -60.1     1.1
2008.7140   -13.3     4.3    47.9     1.7   -61.2     1.1
2008.7170   -11.8     4.1    48.2     1.7   -61.1     1.2
2008.7193   -13.2     4.1    47.9     1.7   -62.8     1.2
2008.7220   -16.0     4.1    48.3     1.7   -61.7     1.2
2008.7250   -16.5     4.1    46.7     1.7   -61.4     1.2
2008.7280   -19.9     4.1    46.7     1.7   -60.1     1.2
2008.7303   -23.0     4.0    48.2     1.7   -59.9     1.2
2008.7331   -12.8     4.0    48.3     1.7   -61.3     1.2
