% site name: KMOR
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6734   -33.7     6.0    85.6     2.2   -33.8     2.2
2007.6761   -32.9     3.7    85.7     1.7   -30.8     1.6
2007.6790   -29.8     3.7    85.6     1.7   -31.0     1.6
2007.6820   -34.7     3.7    85.9     1.7   -29.8     1.6
2007.6844   -33.5     3.7    84.1     1.7   -29.2     1.6
2007.6872   -26.7     3.7    85.6     1.7   -30.6     1.6
2007.6900   -32.5     3.7    84.8     1.7   -29.4     1.6
2007.6930   -36.3     3.6    85.2     1.7   -30.1     1.6
2007.6954   -33.5     3.8    85.2     1.7   -29.5     1.7
2007.6982   -37.4     3.7    84.8     1.7   -30.4     1.6
2007.7010   -32.2     3.6    84.3     1.7   -30.5     1.6
2007.7040   -28.7     3.6    83.3     1.7   -31.2     1.6
2007.7064   -36.1     3.8    84.5     1.7   -32.4     1.7
2007.7091   -30.7     3.8    84.3     1.7   -29.2     1.7
2007.7120   -35.6     3.7    84.3     1.7   -29.7     1.6
2007.7150   -32.7     3.7    83.4     1.7   -30.5     1.6
2007.7172   -33.8     3.6    84.8     1.7   -30.8     1.6
2007.7200   -27.1     3.7    83.9     1.7   -28.9     1.6
2007.7230   -31.2     3.7    83.8     1.7   -31.3     1.6
2007.7254   -29.4     3.6    83.8     1.7   -28.6     1.6
2007.7282   -39.5     3.7    83.9     1.7   -30.4     1.6
2007.7310   -31.5     3.6    84.5     1.7   -30.7     1.6
2007.7340   -31.4     3.6    83.6     1.7   -28.9     1.6
2007.7364   -31.7     3.6    82.3     1.7   -28.2     1.6
2007.7392   -35.5     3.7    82.9     1.7   -29.2     1.6
2007.7420   -35.0     3.7    83.2     1.7   -27.1     1.6
2007.7450   -33.4     3.7    83.0     1.7   -30.2     1.6
2007.7474   -31.0     3.7    84.4     1.7   -28.9     1.6
2007.7502   -31.2     3.7    85.0     1.7   -28.1     1.6
2007.7530   -36.7     3.8    84.2     1.7   -30.7     1.7
2007.7560   -25.4     3.8    83.5     1.7   -27.7     1.7
2007.7584   -34.4     3.6    84.7     1.7   -27.1     1.6
2007.7611   -33.9     3.6    85.4     1.7   -28.3     1.6
2007.7640   -31.3     3.6    83.4     1.7   -29.0     1.6
2007.7670   -37.0     3.6    84.8     1.7   -28.3     1.6
2007.7692   -33.9     3.9    82.8     1.7   -28.3     1.7
2007.7720   -37.1     3.9    84.4     1.7   -28.0     1.8
2007.7750   -39.6     3.8    83.1     1.7   -28.8     1.7
2007.7774   -29.4     3.7    82.7     1.7   -30.0     1.6
2007.7802   -37.3     3.7    82.6     1.7   -30.2     1.6
2007.7830   -34.9     3.7    83.9     1.7   -30.8     1.6
