% site name: KSNB
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6352   -53.3     4.1    60.1     2.5   -77.0     1.9
2007.6380   -54.4     3.1    57.4     2.0   -76.4     1.6
2007.6410   -55.4     3.0    58.3     2.0   -75.0     1.5
2007.6434   -54.3     3.1    58.7     2.0   -75.0     1.6
2007.6461   -51.9     3.0    57.0     2.0   -76.4     1.5
2007.6490   -55.4     3.1    57.8     2.0   -75.0     1.6
2007.6520   -55.3     3.2    57.5     2.1   -74.5     1.6
2007.6542   -56.3     3.4    57.3     2.2   -76.4     1.7
2007.6571   -49.3     3.1    57.8     2.0   -77.6     1.6
2007.6600   -57.4     3.1    56.1     2.0   -74.0     1.6
2007.6630   -51.6     3.1    56.6     2.0   -75.6     1.6
2007.6652   -48.3     3.1    58.0     2.0   -75.5     1.6
2007.6680   -53.5     3.2    57.6     2.1   -75.6     1.6
2007.6710   -50.1     3.5    57.6     2.2   -75.6     1.7
2007.6734   -46.9     3.1    57.6     2.0   -76.5     1.6
2007.6761   -50.1     3.1    57.3     2.0   -75.7     1.6
2007.6790   -48.2     3.1    57.3     2.0   -76.7     1.6
2007.6820   -49.6     3.4    56.9     2.2   -74.5     1.7
2007.6844   -49.2     3.1    57.3     2.0   -72.9     1.6
2007.6872   -43.2     3.1    57.3     2.0   -74.6     1.6
2007.6900   -48.8     3.1    57.2     2.0   -73.1     1.6
2007.6930   -52.0     3.1    57.9     2.0   -75.4     1.6
2007.6954   -47.0     3.1    57.6     2.0   -74.4     1.6
2007.6982   -50.9     3.1    56.9     2.0   -72.4     1.6
2007.7010   -44.5     3.1    57.2     2.0   -73.4     1.6
2007.7040   -46.7     3.2    57.1     2.0   -73.4     1.7
2007.7064   -46.8     3.1    57.4     2.0   -75.3     1.6
2007.7091   -45.0     3.1    57.5     2.0   -71.2     1.6
2007.7120   -46.1     3.0    56.5     2.0   -73.6     1.5
2007.7150   -44.6     3.0    57.7     2.0   -74.1     1.5
2007.7172   -44.1     3.0    59.0     2.0   -72.8     1.5
2007.7200   -43.8     3.1    58.3     2.0   -72.5     1.6
2007.7230   -47.2     3.1    57.1     2.0   -72.5     1.6
2007.7254   -48.8     3.1    58.2     2.0   -70.9     1.6
2007.7282   -50.9     3.1    56.9     2.0   -72.0     1.6
2007.7310   -44.0     3.1    58.4     2.0   -72.1     1.6
2007.7340   -42.3     3.0    57.2     2.0   -71.2     1.5
2007.7364   -48.9     3.0    59.1     2.0   -71.7     1.5
2007.7392   -51.0     3.1    58.0     2.0   -71.9     1.6
2007.7420   -46.9     3.1    58.8     2.0   -71.3     1.6
2007.7450   -49.5     3.4    57.2     2.2   -71.8     1.7
2007.7474   -46.6     3.1    59.0     2.0   -71.3     1.6
2007.7502   -48.4     3.2    59.6     2.1   -72.5     1.6
2007.7530   -44.8     3.0    58.7     2.0   -73.3     1.6
2007.7560   -45.2     3.2    58.7     2.1   -70.4     1.6
2007.7584   -48.3     3.0    59.6     2.0   -70.4     1.5
2007.7611   -46.3     3.1    59.2     2.0   -69.5     1.6
2007.7640   -51.2     3.1    57.7     2.0   -70.6     1.6
2007.7670   -50.2     3.0    59.0     2.0   -69.8     1.5
2007.7692   -50.0     3.2    57.8     2.0   -71.3     1.7
2007.7720   -48.5     3.2    57.9     2.0   -68.6     1.7
2007.7750   -50.2     3.1    57.5     2.0   -68.4     1.6
2007.7774   -49.0     3.0    56.8     1.9   -70.2     1.6
2007.7802   -44.5     3.0    58.1     2.0   -70.0     1.5
2007.7830   -47.5     3.0    58.4     2.0   -71.0     1.5
2007.7860   -44.0     3.0    58.6     2.0   -71.7     1.5
2007.7884   -41.9     3.0    57.2     2.0   -71.0     1.5
2007.7912   -44.2     3.0    58.0     2.0   -70.4     1.5
2007.7940   -43.8     3.0    57.9     2.0   -70.2     1.5
2007.7970   -49.6     3.2    58.7     2.1   -70.7     1.6
2007.8000   -43.5     3.3    59.1     2.1   -69.5     1.6
2007.8022   -49.7     3.1    60.8     2.0   -69.5     1.6
2007.8050   -48.6     3.0    60.2     2.0   -69.1     1.5
2007.8080   -45.8     3.0    60.9     2.0   -71.0     1.6
2007.8104   -37.0     3.1    60.3     2.0   -70.0     1.6
2007.8131   -44.8     3.0    59.7     2.0   -70.5     1.5
2007.8160   -43.1     3.2    59.7     2.1   -69.0     1.6
2007.8190   -48.0     3.3    59.3     2.2   -69.1     1.6
2007.8214   -44.2     3.2    59.4     2.1   -69.7     1.6
2007.8240   -43.9     3.0    57.6     2.0   -68.8     1.6
2007.8270   -44.3     3.2    58.0     2.1   -69.0     1.6
2007.8300   -41.5     3.1    57.8     2.0   -68.7     1.6
2007.8322   -44.4     3.0    56.0     2.0   -70.4     1.6
2007.8350   -47.2     3.0    57.2     2.0   -69.8     1.5
2007.8380   -45.1     2.9    57.2     1.9   -70.2     1.6
2007.8404   -43.5     3.0    57.4     2.0   -69.4     1.5
2007.8432   -47.1     3.0    53.6     2.0   -68.6     1.5
2007.8460   -45.9     2.9    55.7     1.9   -68.0     1.6
2007.8490   -46.6     3.0    55.0     1.9   -66.9     1.6
2007.8514   -49.4     3.0    54.6     2.0   -68.2     1.5
2007.8542   -43.0     3.1    55.7     2.0   -67.2     1.6
2007.8570   -43.5     3.1    55.9     2.0   -68.3     1.6
2007.8600   -44.1     3.0    56.2     2.0   -67.5     1.5
2007.8624   -45.6     3.1    56.8     2.0   -69.0     1.6
2007.8652   -46.0     2.9    56.9     1.9   -69.4     1.6
2007.8680   -44.8     3.0    56.2     2.0   -68.8     1.6
2007.8710   -42.1     3.1    56.4     2.0   -67.3     1.6
2007.8734   -42.2     3.1    55.1     2.0   -69.2     1.6
2007.8760   -43.6     3.0    56.0     2.0   -69.3     1.5
2007.8790   -43.1     3.0    56.7     2.0   -68.2     1.5
2007.8820   -42.1     3.0    56.0     2.0   -67.7     1.5
2007.8842   -43.7     3.0    55.0     2.0   -70.5     1.5
2007.8870   -42.1     3.4    53.4     2.2   -70.2     1.7
2007.8900   -45.1     3.1    54.6     2.0   -69.0     1.6
2007.8924   -35.3     3.3    55.5     2.1   -68.4     1.6
2007.8952   -41.9     3.1    54.7     2.0   -68.8     1.6
2007.8980   -43.3     3.2    55.2     2.1   -68.9     1.6
2007.9010   -38.8     3.1    56.8     2.0   -68.5     1.6
2007.9034   -44.8     3.1    56.9     2.0   -71.0     1.6
2007.9062   -45.5     3.0    55.1     2.0   -70.8     1.5
2007.9090   -43.0     3.1    58.0     2.0   -69.9     1.6
2007.9120   -40.3     3.0    56.3     2.0   -69.2     1.5
2007.9144   -41.7     3.0    54.9     2.0   -69.4     1.5
2007.9172   -48.2     3.0    55.7     2.0   -69.4     1.6
2007.9200   -45.1     3.0    53.5     1.9   -66.9     1.6
2007.9230   -43.6     3.0    54.2     2.0   -68.3     1.5
2007.9254   -38.6     3.0    56.5     2.0   -69.4     1.5
2007.9281   -38.4     3.1    55.3     2.0   -69.5     1.6
2007.9310   -40.3     3.0    54.9     2.0   -67.9     1.5
2007.9340   -43.5     3.1    54.4     2.0   -67.5     1.6
2007.9362   -45.7     3.0    55.3     2.0   -66.7     1.5
2007.9390   -46.2     3.1    54.8     2.0   -67.2     1.6
2007.9420   -44.3     3.0    55.0     2.0   -68.6     1.6
2007.9450   -42.5     3.2    56.3     2.1   -68.6     1.6
2007.9472   -43.7     3.2    55.3     2.1   -68.1     1.6
2007.9500   -43.6     3.0    54.9     2.0   -69.9     1.6
2007.9530   -42.3     3.0    56.8     2.0   -67.2     1.5
2007.9554   -45.1     3.0    57.1     2.0   -69.6     1.5
2007.9582   -47.0     3.0    56.1     2.0   -66.6     1.6
2007.9610   -50.0     3.1    57.3     2.0   -68.2     1.6
2007.9640   -49.7     3.2    56.0     2.1   -66.7     1.6
2007.9670   -52.1     3.1    56.2     2.0   -65.2     1.6
2007.9692   -48.2     3.0    54.9     2.0   -68.1     1.6
2007.9720   -45.4     3.0    55.2     2.0   -68.8     1.5
2007.9750   -46.5     3.1    55.3     2.0   -67.4     1.6
2007.9774   -47.5     3.0    54.0     2.0   -68.5     1.5
2007.9802   -44.5     3.0    55.5     2.0   -66.9     1.5
2007.9830   -43.8     3.0    55.1     2.0   -67.4     1.5
2007.9860   -48.3     3.0    55.3     2.0   -67.4     1.6
2007.9884   -44.4     3.1    55.8     2.0   -66.1     1.6
2007.9910   -46.7     3.0    53.8     2.0   -67.1     1.6
2007.9940   -50.6     3.0    54.2     2.0   -65.2     1.6
2007.9970   -39.4     3.0    54.0     2.0   -67.7     1.6
2007.9992   -44.2     3.1    55.0     2.0   -67.2     1.6
2008.0020   -46.2     3.0    54.6     2.0   -66.7     1.6
2008.0050   -41.6     3.0    54.8     2.0   -66.3     1.5
2008.0074   -48.5     3.0    54.0     2.0   -66.8     1.5
2008.0102   -43.3     2.9    53.2     1.9   -67.5     1.6
2008.0130   -47.0     3.3    56.3     2.1   -66.4     1.6
2008.0160   -41.1     3.2    53.9     2.1   -66.9     1.6
2008.0190   -51.3     3.1    54.4     2.0   -66.9     1.6
2008.0212   -49.9     3.3    54.1     2.1   -66.7     1.6
2008.0240   -48.9     3.0    53.5     2.0   -65.6     1.6
2008.0270   -51.8     3.0    54.2     2.0   -66.7     1.5
2008.0294   -48.0     3.0    54.3     2.0   -66.2     1.5
2008.0322   -51.6     3.0    54.3     2.0   -64.8     1.6
2008.0350   -52.4     3.1    52.9     2.0   -64.1     1.6
2008.0380   -47.6     3.3    53.3     2.2   -67.1     1.7
2008.0404   -50.4     3.1    55.7     2.0   -67.2     1.6
2008.0430   -43.4     3.2    53.9     2.1   -67.0     1.6
2008.0460   -45.2     3.2    54.5     2.0   -66.5     1.7
2008.0490   -49.5     3.2    53.7     2.1   -66.4     1.6
2008.0512   -46.9     3.1    53.9     2.0   -65.2     1.6
2008.0540   -46.8     3.0    51.6     2.0   -66.1     1.6
2008.0570   -49.3     3.0    53.8     2.0   -65.3     1.5
2008.0594   -39.4     3.0    53.7     2.0   -67.9     1.5
2008.0622   -43.9     3.0    53.6     2.0   -66.6     1.5
2008.0650   -44.3     3.0    53.5     2.0   -65.5     1.5
2008.0680   -50.4     3.1    55.5     2.0   -65.6     1.6
2008.0710   -50.3     3.0    53.3     2.0   -65.7     1.5
