% site name: KUAQ
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.5981   -58.4     6.6    50.0     3.3   -52.4     2.3
2009.6010   -62.3     3.2    48.6     1.9   -51.3     1.5
2009.6040   -57.1     3.0    49.1     1.9   -51.3     1.5
2009.6064   -50.9     3.1    49.2     1.9   -51.3     1.6
2009.6092   -55.8     3.0    49.5     1.9   -49.1     1.5
2009.6120   -58.4     3.0    48.9     1.9   -50.0     1.5
2009.6150   -57.2     3.0    49.3     1.9   -50.5     1.5
2009.6174   -55.9     3.0    50.0     1.9   -49.6     1.5
2009.6201   -55.5     3.0    48.7     1.9   -48.8     1.5
2009.6230   -54.8     3.0    48.5     1.9   -48.7     1.5
2009.6260   -56.1     3.0    49.0     1.9   -49.5     1.5
2009.6282   -56.1     3.0    48.0     1.9   -49.5     1.5
2009.6311   -49.6     3.0    49.2     1.9   -49.8     1.5
2009.6340   -59.4     3.0    48.9     1.9   -48.9     1.5
2009.6370   -54.5     3.0    49.4     1.9   -48.2     1.5
2009.6392   -57.8     3.0    46.7     1.9   -49.2     1.5
2009.6420   -55.6     3.0    49.2     1.9   -48.8     1.5
2009.6450   -50.4     3.0    49.5     1.9   -49.4     1.5
2009.6474   -55.2     3.0    48.8     1.9   -49.0     1.5
2009.6501   -49.2     3.0    48.2     1.9   -48.5     1.5
2009.6530   -49.7     3.2    46.5     1.9   -49.5     1.5
2009.6560   -51.4     3.2    47.9     2.0   -47.8     1.6
2009.6584   -52.8     3.0    47.8     1.9   -48.8     1.5
2009.6612   -53.6     3.0    46.9     1.9   -47.5     1.5
2009.6640   -52.0     3.2    47.7     1.9   -49.2     1.5
2009.6670   -52.5     3.0    47.9     1.9   -49.0     1.5
2009.6694   -47.2     3.0    47.7     1.9   -48.1     1.5
2009.6721   -50.3     3.0    48.3     1.9   -48.1     1.5
2009.6750   -50.1     3.0    48.9     1.9   -49.3     1.5
2009.6780   -51.7     3.0    48.5     1.9   -49.3     1.5
2009.6804   -48.6     3.0    49.0     1.9   -49.6     1.5
2009.6831   -50.0     3.0    50.3     1.9   -48.6     1.5
2009.6860   -49.7     3.0    49.6     1.9   -48.6     1.5
2009.6890   -50.8     3.0    49.5     1.9   -48.3     1.5
2009.6912   -51.3     3.0    48.4     1.9   -49.6     1.5
2009.6940   -52.2     3.0    49.0     1.9   -49.6     1.5
2009.6970   -49.0     3.0    48.7     1.9   -49.3     1.5
2009.6994   -45.3     3.0    47.9     1.9   -47.7     1.5
2009.7022   -51.7     3.0    49.0     1.9   -48.7     1.5
2009.7050   -56.1     3.2    49.4     1.9   -47.9     1.5
2009.7080   -54.7     3.0    48.3     1.9   -48.9     1.5
2009.7104   -52.0     3.0    49.5     1.9   -48.5     1.5
2009.7132   -52.3     3.0    48.1     1.9   -48.7     1.5
2009.7160   -49.6     3.0    47.0     1.9   -48.6     1.5
2009.7190   -50.2     3.0    47.9     1.9   -48.1     1.5
2009.7214   -51.3     3.0    48.0     1.9   -48.2     1.5
2009.7242   -53.3     3.0    47.8     1.9   -46.2     1.5
2009.7270   -46.2     3.0    47.9     1.9   -47.4     1.5
2009.7300   -47.6     3.0    48.4     1.9   -46.9     1.5
2009.7324   -47.2     3.0    48.6     1.9   -44.5     1.5
2009.7351   -51.5     3.0    47.2     1.9   -47.1     1.5
2009.7380   -47.8     3.0    47.6     1.9   -47.6     1.5
2009.7410   -51.1     3.2    47.6     1.9   -46.0     1.5
2009.7432   -50.9     3.1    46.4     1.9   -47.4     1.6
2009.7460   -57.8     3.0    45.7     1.9   -46.0     1.5
2009.7490   -53.5     3.0    47.9     1.9   -46.2     1.5
2009.7514   -52.7     3.0    46.9     1.9   -47.3     1.5
2009.7542   -56.5     3.0    45.6     1.9   -44.4     1.5
2009.7570   -51.7     3.0    46.9     1.9   -45.1     1.5
2009.7600   -49.0     3.0    46.1     1.9   -46.5     1.5
2009.7624   -50.4     3.0    46.9     1.9   -47.2     1.5
2009.7652   -50.3     3.0    46.9     1.9   -45.8     1.5
2009.7680   -51.4     3.0    46.8     1.9   -47.0     1.5
2009.7710   -50.8     3.0    48.3     1.9   -47.0     1.5
2009.7734   -50.6     3.0    46.4     1.9   -46.8     1.5
2009.7762   -49.7     3.0    45.9     1.9   -46.0     1.5
2009.7790   -53.1     3.0    47.0     1.9   -45.8     1.5
2009.7820   -49.7     3.0    46.9     1.9   -44.2     1.5
2009.7844   -44.3     3.0    47.1     1.9   -46.0     1.5
2009.7871   -51.5     3.0    47.6     1.9   -47.0     1.5
2009.7900   -51.6     3.2    48.2     1.9   -46.5     1.5
2009.7930   -49.6     3.0    45.5     1.9   -47.0     1.5
2009.7952   -50.0     3.0    45.8     1.9   -47.6     1.5
