% site name: KULL
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6190   -37.6    12.5    69.2     4.4   -31.6     5.1
2007.6214   -34.4    15.9    70.7     7.6   -30.7     7.1
2007.6241   -44.2     3.4    70.2     1.7   -31.5     1.9
2007.6270   -28.0     3.3    70.9     1.7   -30.1     1.9
2007.6300   -35.4     3.3    72.3     1.7   -31.0     1.9
2007.6324   -31.6     3.3    70.7     1.7   -30.7     1.9
2007.6352   -37.0     3.3    73.2     1.7   -30.7     1.9
2007.6380   -37.0     3.3    70.5     1.7   -31.8     1.9
2007.6410   -39.2     3.3    70.7     1.7   -30.2     1.9
2007.6434   -34.6     3.3    72.0     1.7   -28.8     1.9
2007.6461   -33.8     3.2    70.4     1.7   -30.6     1.8
2007.6490   -32.3     3.3    71.7     1.7   -29.7     1.9
2007.6520   -32.5     3.3    71.5     1.7   -30.3     1.9
2007.6542   -38.0     3.3    71.5     1.7   -30.3     1.9
2007.6571   -34.7     3.5    72.4     1.8   -30.2     1.9
2007.6600   -32.6     3.3    70.2     1.7   -29.9     1.9
2007.6630   -31.6     3.3    69.0     1.7   -30.8     1.9
2007.6652   -36.2     3.3    70.9     1.7   -30.6     1.9
2007.6680   -32.6     3.3    71.0     1.7   -30.0     1.9
2007.6710   -30.9     3.3    71.4     1.7   -29.8     1.9
2007.6734   -31.5     3.3    70.9     1.7   -30.6     1.9
2007.6761   -31.0     3.3    70.9     1.7   -28.9     1.9
2007.6790   -30.6     3.3    71.1     1.7   -31.8     1.9
2007.6820   -31.4     3.3    72.3     1.7   -30.3     1.9
2007.6844   -35.0     3.3    69.9     1.7   -29.1     1.9
2007.6872   -35.4     3.3    70.8     1.7   -30.5     1.9
2007.6900   -34.7     3.3    70.4     1.7   -30.0     1.9
2007.6930   -30.2     3.3    70.5     1.7   -30.0     1.9
2007.6954   -25.0     3.3    70.4     1.7   -30.3     1.9
2007.6982   -46.3     3.3    70.2     1.7   -33.1     1.9
2007.7010   -31.7     3.3    71.0     1.7   -29.0     1.9
2007.7040   -32.5     3.3    69.0     1.7   -29.5     1.9
2007.7064   -29.6     3.3    70.4     1.7   -30.6     1.9
2007.7091   -30.7     3.3    71.2     1.7   -28.7     1.9
2007.7120   -31.0     3.3    68.9     1.7   -30.3     1.9
2007.7150   -32.8     3.3    68.5     1.7   -30.6     1.9
2007.7172   -26.8     3.3    69.8     1.7   -28.9     1.9
2007.7200   -32.6     3.3    70.3     1.7   -29.5     1.9
2007.7230   -27.9     3.3    70.3     1.7   -29.4     1.9
2007.7254   -29.9     3.3    69.5     1.7   -29.0     1.9
2007.7282   -32.1     3.3    69.3     1.7   -29.9     1.9
2007.7310   -29.8     3.3    70.5     1.7   -29.7     1.9
2007.7340   -30.7     3.3    69.8     1.7   -28.1     1.9
2007.7364   -36.9     3.3    68.7     1.7   -28.3     1.9
2007.7392   -34.8     3.3    69.1     1.7   -29.4     1.9
2007.7420   -28.2     3.3    68.9     1.7   -26.4     1.9
2007.7450   -27.1     3.3    68.4     1.7   -29.0     1.9
2007.7474   -27.1     3.3    70.7     1.7   -28.6     1.9
2007.7502   -31.9     3.3    71.1     1.7   -28.7     1.9
2007.7530   -31.0     3.3    69.7     1.7   -29.2     1.9
2007.7560   -28.6     3.3    70.4     1.7   -27.2     1.9
2007.7584   -31.7     3.3    71.0     1.7   -27.5     1.9
2007.7611   -40.2     3.3    70.3     1.7   -28.2     1.9
2007.7640   -36.5     3.3    69.6     1.7   -29.5     1.9
2007.7670   -32.6     3.3    71.5     1.7   -27.8     1.9
2007.7692   -34.8     3.3    69.8     1.7   -27.7     1.9
2007.7720   -32.5     3.4    70.1     1.7   -27.3     1.9
2007.7750   -36.8     3.4    67.7     1.7   -26.5     1.9
2007.7774   -30.7     3.3    68.4     1.7   -28.1     1.9
2007.7802   -37.4     3.3    68.3     1.7   -28.1     1.9
2007.7830   -31.4     3.3    70.7     1.7   -28.3     1.9
2007.7860   -30.5     3.3    69.1     1.7   -28.5     1.9
2007.7884   -31.8     3.3    68.2     1.7   -29.2     1.9
2007.7912   -31.9     3.3    68.5     1.7   -29.2     1.9
2007.7940   -31.2     3.3    69.2     1.7   -28.1     1.9
2007.7970   -37.0     3.3    68.2     1.7   -28.4     1.9
2007.8000   -29.3     3.4    68.7     1.7   -27.2     1.9
2007.8022   -33.6     3.3    68.3     1.7   -26.9     1.9
2007.8050   -31.0     3.3    68.6     1.7   -27.6     1.9
2007.8080   -33.2     3.3    68.8     1.7   -27.3     1.9
2007.8104   -29.1     3.3    69.8     1.7   -25.8     1.9
2007.8131   -33.4     3.3    69.2     1.7   -27.6     1.9
2007.8160   -29.1     3.3    69.1     1.7   -27.3     1.9
2007.8190   -29.6     3.3    68.5     1.7   -26.2     1.9
2007.8214   -25.1     3.3    68.9     1.7   -28.1     1.9
2007.8240   -30.1     3.3    68.2     1.7   -26.9     1.9
2007.8270   -33.0     3.3    68.0     1.7   -27.9     1.9
2007.8300   -33.1     3.3    68.8     1.7   -27.5     1.9
2007.8322   -25.5     3.3    67.0     1.7   -28.2     1.9
2007.8350   -32.9     3.3    69.1     1.7   -28.0     1.9
2007.8380   -33.1     3.3    68.7     1.7   -29.3     1.9
2007.8404   -36.2     3.3    68.4     1.7   -28.8     1.9
2007.8432   -35.7     3.3    67.5     1.7   -28.6     1.9
2007.8460   -36.0     3.3    67.2     1.7   -28.1     1.9
2007.8490   -37.9     3.3    66.8     1.7   -28.6     1.9
2007.8514   -38.3     3.3    66.4     1.7   -29.9     1.9
2007.8542   -36.6     3.3    67.8     1.7   -26.3     1.9
2007.8570   -33.5     3.3    68.9     1.7   -28.8     1.9
2007.8600   -31.8     3.3    69.6     1.7   -28.0     1.9
2007.8624   -28.8     3.3    69.2     1.7   -28.2     1.9
2007.8652   -28.0     3.3    69.1     1.7   -27.6     1.9
2007.8680   -30.0     3.3    68.1     1.7   -26.8     1.9
2007.8710   -28.5     3.3    68.2     1.7   -27.9     1.9
2007.8734   -31.2     3.3    67.4     1.7   -28.7     1.9
2007.8760   -29.9     3.3    67.6     1.7   -28.2     1.9
2007.8790   -28.1     3.3    68.0     1.7   -27.3     1.9
2007.8820   -34.6     3.3    67.0     1.7   -30.0     1.9
2007.8842   -42.4     3.3    69.0     1.7   -30.6     1.9
2007.8870   -37.9     3.2    66.7     1.7   -30.3     1.8
2007.8900   -35.0     3.3    66.6     1.7   -31.1     1.9
2007.8924   -32.1     3.3    66.5     1.7   -29.2     1.9
2007.8952   -29.7     3.3    66.1     1.7   -30.3     1.9
2007.8980   -28.2     3.3    67.5     1.7   -29.1     1.9
2007.9010   -27.1     3.3    68.3     1.7   -28.5     1.9
2007.9034   -27.6     3.3    67.2     1.7   -30.2     1.9
2007.9062   -31.1     3.3    66.5     1.7   -29.6     1.9
2007.9090   -25.4     3.3    68.1     1.7   -28.6     1.9
2007.9120   -29.0     3.3    67.5     1.7   -27.8     1.9
2007.9144   -25.9     3.3    66.1     1.7   -28.9     1.9
2007.9172   -33.2     3.3    67.6     1.7   -27.7     1.9
2007.9200   -32.0     3.3    65.5     1.7   -27.4     1.9
2007.9230   -25.2     3.3    65.7     1.7   -28.1     1.9
2007.9254   -23.3     3.3    66.3     1.7   -28.4     1.9
2007.9281   -24.5     3.3    65.2     1.7   -28.4     1.9
2007.9310   -25.2     3.3    65.0     1.7   -28.0     1.9
2007.9340   -29.7     3.3    65.0     1.7   -27.7     1.9
2007.9362   -30.4     3.3    65.7     1.7   -26.8     1.9
2007.9390   -31.5     3.3    64.8     1.7   -28.3     1.9
2007.9420   -29.1     3.3    64.9     1.7   -29.0     1.9
2007.9450   -28.6     3.3    65.0     1.7   -27.5     1.9
2007.9472   -31.1     3.3    64.5     1.7   -28.9     1.9
2007.9500   -32.4     3.3    65.6     1.7   -28.7     1.9
2007.9530   -29.2     3.3    66.6     1.7   -27.8     1.9
2007.9554   -29.3     3.3    64.8     1.7   -27.8     1.9
