% site name: KULU
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
1996.5660   -50.6     3.5   163.9     2.2  -161.2     1.9
1996.5690   -56.3     3.9   163.9     2.5  -162.7     2.0
1996.5720   -46.1     5.0   162.7     3.1  -165.3     2.3
1996.5743   -51.7     3.9   164.6     2.5  -164.4     1.9
1996.5770   -50.7     3.9   166.3     2.4  -164.6     1.9
1996.5800   -46.8     3.7   164.3     2.4  -163.2     1.9
1996.5830   -50.6     3.9   165.4     2.4  -164.3     1.9
1996.5852   -60.3     4.4   166.2     2.7  -164.2     2.0
1996.5880   -54.8     3.9   168.8     2.4  -162.5     1.9
1996.5910   -61.7     4.0   162.8     2.5  -165.1     2.0
1996.5933   -56.5     3.9   164.6     2.4  -165.3     1.9
1996.5961   -56.6     3.9   165.5     2.4  -164.0     1.9
1996.5990   -50.2     4.3   166.0     2.7  -165.0     2.1
1996.6020   -62.4     4.1   164.7     2.5  -163.4     2.0
1996.6043   -49.2     3.9   163.9     2.4  -164.2     1.9
1996.6070   -47.6     3.8   166.1     2.4  -166.7     1.9
1996.6100   -64.0     3.8   162.5     2.4  -163.5     1.9
1996.6130   -65.4     3.8   164.1     2.4  -164.9     1.9
1996.6153   -58.7     3.9   163.6     2.4  -164.7     1.9
1996.6180   -59.6     3.8   163.8     2.4  -162.9     1.9
1996.6210   -52.2     4.2   165.5     2.7  -164.2     2.0
1996.6240   -55.0     6.1   166.8     3.6  -164.7     2.8
1996.6263   -58.6     3.8   164.1     2.4  -162.2     1.9
1996.6290   -49.4     3.7   165.0     2.4  -163.8     1.9
1996.6320   -51.8     3.7   164.8     2.4  -164.7     1.9
1996.6350   -57.3     3.8   164.1     2.4  -164.9     1.9
1996.6372   -56.5     3.8   163.5     2.4  -165.6     1.9
1996.6400   -55.6     4.0   163.8     2.5  -163.2     2.0
1996.6430   -54.9     3.9   163.5     2.4  -161.0     1.9
1996.6453   -51.0     3.9   165.9     2.4  -164.0     1.9
1996.6481   -50.6     3.9   162.1     2.4  -162.1     1.9
1996.6510   -67.0     3.8   162.5     2.4  -164.3     1.8
1996.6540   -64.0     3.9   162.6     2.5  -164.8     1.9
1996.6563   -58.9     3.9   159.6     2.4  -162.4     1.9
1996.6590   -63.2     3.9   163.8     2.4  -163.9     1.9
1996.6620   -54.9     4.4   162.5     2.7  -163.2     2.0
1996.6650   -61.4     4.1   164.6     2.5  -163.9     2.0
1996.6673   -51.0     4.2   163.7     2.6  -163.4     2.0
1996.6700   -60.4     3.7   164.5     2.4  -162.9     1.8
1996.6730   -48.4     4.4   162.7     2.7  -163.4     2.1
1996.6760   -57.3     3.9   166.2     2.4  -161.4     1.9
1996.6783   -56.9     3.9   167.5     2.4  -161.9     1.9
1996.6810   -57.8     3.7   161.5     2.4  -162.1     1.9
1996.6840   -52.3     3.9   159.9     2.4  -162.1     1.9
1996.6870   -48.3     4.0   159.9     2.4  -160.9     2.0
1996.6893   -61.9     3.7   161.6     2.3  -162.0     1.9
1996.6920   -52.6     4.0   161.0     2.4  -160.7     2.0
1996.6950   -59.6     4.3   159.2     2.6  -159.0     2.0
1996.6980   -62.8     4.3   159.1     2.7  -162.8     2.1
1996.7001   -43.7     4.3   163.5     2.7  -160.2     2.0
1996.7030   -61.7     3.8   162.9     2.5  -163.1     2.0
1996.7060   -55.1     3.7   164.1     2.4  -163.2     1.9
1996.7083   -57.3     3.9   165.0     2.4  -167.6     1.9
1996.7111   -46.2     4.2   163.8     2.7  -161.9     2.0
1996.7140   -60.8     3.8   164.6     2.4  -163.2     1.9
1996.7170   -57.5     3.8   161.2     2.5  -161.4     1.9
1996.7193   -47.5     4.0   159.0     2.5  -158.8     2.0
1996.7220   -52.2     5.2   156.6     3.4  -163.0     2.4
1996.7250   -61.1     4.3   161.3     2.7  -158.5     2.0
1996.7280   -53.1     4.0   160.5     2.6  -161.0     1.9
1996.7303   -47.0     4.6   158.0     2.9  -158.0     2.0
1996.7331   -48.2     3.8   160.0     2.4  -161.0     1.8
1996.7360   -69.4     3.7   161.6     2.4  -157.9     1.9
1996.7390   -63.1     4.0   162.8     2.6  -161.1     1.9
1996.7413   -59.0     3.9   162.8     2.5  -161.8     1.9
1996.7440   -47.5     3.9   165.0     2.5  -161.4     1.9
1996.7470   -46.5     3.6   162.0     2.3  -160.5     1.9
1996.7500   -52.2     3.6   162.2     2.3  -160.5     1.9
1996.7521   -62.6     5.8   161.2     3.5  -159.8     2.5
1996.7550   -46.4     3.6   166.0     2.4  -160.0     1.8
1996.7580   -46.1     3.9   162.5     2.5  -159.7     1.9
1996.7603   -50.1     3.8   162.2     2.4  -162.2     1.9
1996.7631   -43.5     3.7   160.0     2.4  -161.1     1.9
1996.7660   -43.0     3.6   160.8     2.3  -159.4     1.9
1996.7690   -46.0     3.6   161.6     2.3  -160.7     1.9
1996.7713   -37.7     4.0   159.7     2.5  -157.2     2.0
1996.7740   -43.8     4.3   161.7     2.7  -162.2     2.1
1996.7770   -45.4     3.7   162.8     2.4  -161.4     1.9
1996.7800   -49.1     3.7   161.7     2.4  -159.5     1.9
1996.7823   -43.1     3.9   161.4     2.5  -159.2     1.9
1996.7851   -47.0     4.3   163.3     2.6  -164.9     2.0
1996.7880   -46.2     3.9   162.5     2.4  -160.7     1.9
1996.7910   -76.9     3.8   161.5     2.4  -159.4     1.9
1996.7933   -74.2     3.9   162.4     2.5  -159.3     1.9
1996.7960   -51.9     3.7   160.5     2.4  -159.7     1.9
1996.7990   -60.9     4.3   163.6     2.7  -160.2     2.1
1996.8020   -47.8     4.3   160.6     2.7  -160.7     2.0
1996.8041   -50.1     3.8   161.0     2.4  -159.4     1.9
1996.8070   -48.6     3.8   161.3     2.4  -160.5     1.9
1996.8100   -54.7     4.2   160.8     2.6  -160.2     1.9
1996.8130   -44.9     4.1   164.0     2.6  -157.7     1.9
1996.8151   -68.1     3.9   162.5     2.4  -161.3     1.9
1996.8180   -58.3     3.7   163.2     2.4  -159.6     1.9
1996.8210   -49.0     3.6   159.6     2.4  -161.4     1.8
1996.8233   -51.2     3.7   163.3     2.4  -162.0     1.9
1996.8260   -54.7     4.0   163.0     2.5  -158.7     2.0
1996.8290   -54.3     3.9   161.4     2.5  -159.6     1.9
1996.8320   -53.2     4.2   161.2     2.6  -158.4     2.0
1996.8343   -50.4     3.9   161.8     2.5  -158.5     1.9
1996.8371   -48.2     3.6   161.1     2.2  -158.6     1.8
1996.8400   -52.2     3.5   161.2     2.2  -160.4     1.8
1996.8430   -47.3     3.8   159.8     2.4  -158.6     1.9
1996.8453   -53.7     4.0   159.9     2.5  -160.6     2.0
1996.8480   -40.8     4.0   162.8     2.5  -159.0     2.0
1996.8510   -44.3     4.0   160.1     2.5  -158.6     2.0
1996.8540   -49.0     3.6   162.0     2.3  -158.8     1.9
1996.8563   -49.7     3.7   162.4     2.4  -160.4     1.9
1996.8590   -42.1     4.0   160.8     2.5  -160.2     2.0
1996.8620   -49.5     3.9   161.0     2.4  -159.3     1.9
1996.8650   -52.5     3.7   160.2     2.4  -160.0     1.9
1996.8671   -53.9     3.9   159.1     2.4  -161.0     1.9
1996.8700   -40.1     4.2   160.5     2.7  -157.9     2.0
1997.6010   -46.5     4.4   148.8     2.6  -146.8     2.1
1997.6040   -52.9     3.2   150.6     2.1  -145.6     1.7
1997.6064   -54.4     3.3   148.4     2.2  -147.3     1.8
1997.6092   -42.9     3.3   148.2     2.2  -147.0     1.8
1997.6120   -41.3     3.3   150.5     2.2  -145.2     1.8
1997.6150   -44.1     3.4   147.7     2.2  -147.0     1.8
1997.6174   -49.8     3.4   147.6     2.2  -146.0     1.8
1997.6201   -38.1     3.5   149.2     2.2  -146.3     1.8
1997.6230   -51.6     3.3   147.0     2.2  -144.0     1.8
1997.6260   -43.4     3.2   147.4     2.2  -145.6     1.7
1997.6282   -52.9     3.3   148.4     2.2  -145.4     1.8
1997.6311   -41.5     3.3   150.6     2.2  -148.3     1.8
1997.6340   -53.0     3.3   149.9     2.1  -146.5     1.7
1997.6370   -50.5     3.2   149.5     2.1  -147.2     1.7
1997.6392   -49.9     3.4   149.3     2.2  -147.7     1.8
1997.6420   -44.6     3.5   147.4     2.3  -146.8     1.8
1997.6450   -49.1     3.2   147.3     2.1  -147.1     1.7
1997.6474   -50.7     3.3   150.3     2.2  -147.9     1.8
1997.6501   -54.2     3.3   148.7     2.1  -146.5     1.7
1997.6530   -54.9     3.3   149.1     2.1  -146.5     1.7
1997.6560   -49.3     3.2   149.4     2.0  -144.4     1.8
1997.6584   -54.3     3.7   148.4     2.4  -147.2     1.9
1997.6612   -61.4     3.6   148.6     2.2  -145.5     1.8
1997.6640   -52.4     3.3   149.5     2.2  -145.9     1.8
1997.6670   -55.9     3.2   151.3     2.0  -145.0     1.8
1997.6694   -60.6     3.2   148.7     2.1  -144.2     1.7
1997.6721   -51.6     3.2   147.4     2.1  -144.1     1.7
1997.6750   -52.8     3.6   147.9     2.2  -145.3     1.8
1997.6780   -59.8     3.5   148.3     2.2  -145.0     1.8
1997.6804   -58.8     3.2   148.9     2.0  -144.2     1.8
1997.6831   -65.3     3.3   145.8     2.2  -143.7     1.8
1997.6860   -51.5     3.2   146.3     2.0  -145.0     1.8
1997.6890   -51.2     3.3   145.6     2.2  -141.7     1.8
1997.6912   -51.8     3.8   148.1     2.5  -148.0     1.9
1997.6940   -49.8     3.7   146.1     2.4  -143.8     1.9
1997.6970   -46.5     3.3   146.3     2.2  -144.5     1.8
1997.6994   -55.3     3.6   145.6     2.4  -143.9     1.8
1997.7022   -40.5     3.5   145.9     2.3  -143.3     1.8
1997.7050   -48.9     3.5   149.1     2.2  -145.3     1.8
1997.7080   -47.3     3.7   146.0     2.4  -144.7     1.9
1997.7104   -54.5     3.4   146.9     2.2  -145.0     1.8
