% site name: LBIB
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6201    -6.1     5.4    35.7     2.2   -55.7     1.4
2009.6230   -12.2     3.5    36.6     1.7   -54.6     1.3
2009.6260   -14.1     3.5    36.8     1.7   -55.5     1.3
2009.6282    -9.6     3.5    35.7     1.7   -54.6     1.3
2009.6311    -7.2     3.4    36.6     1.7   -54.8     1.2
2009.6340   -14.6     3.5    36.3     1.7   -55.3     1.3
2009.6370   -11.6     3.6    37.3     1.7   -53.4     1.3
2009.6392   -12.5     3.6    34.3     1.7   -54.8     1.3
2009.6420   -12.2     3.6    36.2     1.7   -53.3     1.3
2009.6450   -12.8     3.6    36.3     1.7   -54.7     1.3
2009.6474   -13.5     3.5    36.9     1.7   -54.5     1.3
2009.6501    -6.1     3.6    36.1     1.7   -53.7     1.3
2009.6530   -11.3     3.6    35.6     1.7   -54.9     1.3
2009.6560    -8.7     3.7    34.9     1.7   -53.3     1.3
2009.6584   -12.2     3.5    35.7     1.7   -54.5     1.3
2009.6612   -11.7     3.5    35.7     1.7   -53.9     1.3
2009.6640    -7.5     3.6    35.2     1.7   -54.7     1.3
2009.6670    -5.6     3.5    36.5     1.7   -54.4     1.3
2009.6694    -6.3     3.5    35.7     1.7   -53.7     1.3
2009.6721    -9.5     3.6    37.0     1.7   -54.0     1.3
2009.6750   -10.4     3.6    36.7     1.7   -53.9     1.3
2009.6780    -9.6     3.7    36.8     1.7   -54.5     1.3
2009.6804   -10.2     3.5    37.0     1.7   -55.1     1.3
2009.6831   -10.0     3.5    38.1     1.7   -54.0     1.3
2009.6860   -12.7     3.5    38.0     1.7   -55.0     1.3
2009.6890   -10.6     3.5    37.8     1.7   -54.7     1.3
2009.6912    -9.6     3.5    36.2     1.7   -55.0     1.3
2009.6940    -9.6     3.5    37.3     1.7   -54.8     1.3
2009.6970    -5.8     3.6    37.1     1.7   -54.3     1.3
2009.6994   -14.1     3.5    37.1     1.7   -55.3     1.3
2009.7022   -12.7     3.7    36.6     1.7   -53.5     1.3
2009.7050   -12.1     3.5    36.6     1.7   -53.0     1.3
2009.7080   -12.4     3.6    36.0     1.7   -53.7     1.3
2009.7104   -12.8     3.5    36.6     1.7   -54.0     1.3
2009.7132    -8.0     3.5    36.0     1.7   -53.7     1.3
2009.7160   -11.4     3.6    36.3     1.7   -53.6     1.3
2009.7190    -7.1     3.5    35.7     1.7   -52.5     1.3
2009.7214   -10.6     3.4    36.6     1.7   -52.4     1.2
2009.7242   -11.6     3.5    34.8     1.7   -51.6     1.3
2009.7270    -8.5     3.6    35.7     1.7   -53.2     1.2
2009.7300   -11.1     3.5    35.9     1.7   -53.6     1.3
2009.7324    -9.5     3.5    37.1     1.7   -53.2     1.3
2009.7351   -11.8     3.5    35.3     1.7   -52.1     1.3
2009.7380   -10.0     3.5    35.8     1.7   -51.4     1.3
2009.7410   -15.6     3.8    36.4     1.7   -50.0     1.3
2009.7432   -14.2     3.7    35.3     1.7   -51.5     1.3
