% site name: LEFN
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5060   -30.6     6.8    45.8     2.4   -69.1     1.4
2008.5090   -24.6     4.0    47.0     1.7   -70.6     1.2
2008.5113   -27.9     4.1    47.1     1.7   -69.5     1.2
2008.5140   -25.0     4.2    45.3     1.8   -68.2     1.3
2008.5170   -20.0     4.4    47.2     1.8   -68.8     1.3
2008.5200   -21.9     4.0    47.0     1.7   -68.9     1.2
2008.5222   -20.5     4.0    49.6     1.7   -70.1     1.2
2008.5250   -26.7     4.2    49.3     1.8   -66.1     1.3
2008.5280   -24.3     4.2    47.5     1.8   -69.2     1.3
2008.5310   -26.5     4.2    46.3     1.7   -65.8     1.2
2008.5332   -13.6     4.2    45.6     1.7   -67.3     1.2
2008.5360   -19.4     4.2    48.3     1.7   -67.8     1.2
2008.5390   -20.2     4.1    47.0     1.8   -70.0     1.2
2008.5413   -18.1     4.1    47.3     1.8   -69.4     1.2
2008.5440   -22.3     4.2    46.6     1.8   -67.2     1.3
2008.5470   -19.6     4.2    46.9     1.8   -68.5     1.3
2008.5500   -20.2     4.2    47.0     1.8   -67.4     1.3
2008.5523   -22.3     4.1    48.3     1.7   -68.7     1.2
2008.5550   -22.7     4.1    48.2     1.7   -68.4     1.2
2008.5580   -15.1     4.3    47.0     1.8   -67.2     1.3
2008.5610   -20.8     4.5    46.7     1.8   -68.5     1.3
2008.5633   -15.6     4.9    48.3     1.8   -67.9     1.3
2008.5660   -27.7     4.4    46.7     1.8   -67.9     1.3
2008.5690   -20.4     4.0    46.0     1.7   -67.6     1.2
2008.5720   -18.0     4.2    46.2     1.8   -65.6     1.3
2008.5743   -21.1     4.2    45.2     1.7   -68.4     1.2
2008.5770   -14.0     4.1    47.2     1.7   -68.3     1.2
2008.5800   -21.8     4.1    46.2     1.7   -68.0     1.2
2008.5830   -18.2     4.1    46.1     1.8   -68.8     1.2
2008.5852   -24.6     4.0    46.3     1.7   -68.3     1.2
2008.5880   -19.7     4.0    45.0     1.7   -67.2     1.2
2008.5910   -18.2     4.1    45.4     1.7   -67.2     1.2
2008.5933   -17.9     4.6    45.8     1.8   -67.2     1.3
2008.5961   -29.2     5.7    45.1     2.1   -69.1     1.3
2008.5990   -21.5     4.1    45.5     1.7   -67.4     1.2
2008.6020   -16.5     4.3    43.8     1.8   -68.4     1.3
2008.6043   -19.8     4.2    45.6     1.7   -69.1     1.2
2008.6070   -22.7     4.3    47.0     1.8   -68.4     1.3
2008.6100   -18.7     4.3    46.7     1.8   -66.4     1.3
2008.6130   -20.3     4.2    45.0     1.8   -68.0     1.3
2008.6153   -15.9     4.2    44.9     1.8   -67.0     1.3
2008.6180   -16.7     4.2    45.3     1.7   -65.6     1.2
2008.6210    -8.7     4.2    45.9     1.7   -66.5     1.2
2008.6240   -18.2     4.1    45.5     1.7   -66.7     1.2
2008.6263   -14.7     4.1    44.6     1.7   -66.9     1.2
2008.6290   -10.6     4.1    43.8     1.7   -67.1     1.2
2008.6320   -13.7     4.2    46.8     1.7   -66.2     1.2
2008.6350   -11.2     4.2    46.5     1.7   -64.9     1.2
2008.6372   -15.9     4.1    45.1     1.7   -66.0     1.2
2008.6400   -14.9     4.1    45.2     1.7   -66.4     1.2
2008.6430   -16.0     4.2    45.6     1.7   -65.3     1.2
2008.6453   -14.4     4.1    46.1     1.7   -65.4     1.2
2008.6481   -12.8     4.2    44.9     1.7   -66.9     1.2
2008.6510   -18.7     4.2    44.6     1.7   -66.3     1.2
2008.6540   -15.7     4.0    44.8     1.7   -66.9     1.2
2008.6563   -14.1     4.1    43.9     1.7   -64.9     1.2
2008.6590   -18.0     4.2    45.2     1.7   -66.3     1.2
2008.6620   -11.8     4.4    44.0     1.8   -65.8     1.2
2008.6650   -18.5     4.1    44.6     1.7   -67.0     1.2
2008.6673   -19.9     4.0    44.3     1.7   -64.4     1.2
2008.6700   -18.8     4.4    44.7     1.8   -66.3     1.3
2008.6730   -21.3     4.1    45.1     1.7   -65.6     1.2
2008.6760   -19.9     4.2    44.4     1.7   -64.9     1.2
2008.6783   -14.6     4.1    43.5     1.7   -63.6     1.2
2008.6810   -14.6     4.3    43.7     1.8   -64.2     1.3
2008.6840   -16.5     4.3    44.1     1.8   -64.9     1.3
2008.6870   -16.7     4.2    44.0     1.7   -66.4     1.2
2008.6893   -18.6     4.1    42.1     1.7   -65.0     1.2
2008.6920   -18.9     4.1    43.6     1.7   -64.8     1.2
2008.6950   -21.1     4.0    43.6     1.7   -65.6     1.2
2008.6980   -18.0     4.0    43.8     1.7   -65.6     1.2
2008.7001   -19.5     4.1    45.0     1.7   -65.6     1.2
2008.7030   -17.0     4.1    43.8     1.7   -64.6     1.2
2008.7060   -18.0     4.0    43.6     1.7   -66.4     1.2
2008.7083   -15.2     4.0    45.5     1.7   -66.2     1.2
2008.7111   -16.4     4.1    45.9     1.8   -64.5     1.2
2008.7140   -15.5     4.2    44.7     1.8   -64.3     1.3
2008.7170   -18.2     4.0    46.1     1.7   -63.9     1.2
2008.7193   -18.8     4.1    44.1     1.7   -65.5     1.2
2008.7220   -18.5     4.1    44.9     1.7   -64.2     1.2
2008.7250   -18.2     4.3    43.5     1.8   -64.2     1.2
2008.7280   -30.0     7.6    42.7     2.0   -63.7     1.6
2008.7303   -26.0     4.1    44.8     1.7   -63.2     1.2
2008.7331   -21.0     4.1    44.2     1.7   -65.4     1.2
2008.7360   -21.3     4.1    44.5     1.7   -65.0     1.2
2008.7390   -22.1     4.1    45.1     1.7   -64.4     1.2
2008.7413   -22.0     4.0    44.2     1.7   -63.5     1.2
2008.7440   -16.1     4.0    43.4     1.7   -63.5     1.2
2008.7470   -13.2     4.2    43.3     1.7   -62.0     1.2
2008.7500   -20.1     4.2    42.5     1.7   -64.6     1.2
2008.7521   -19.9     4.2    43.5     1.8   -64.1     1.3
2008.7550   -18.8     4.2    44.3     1.7   -63.9     1.2
2008.7580   -21.1     4.1    42.8     1.7   -63.1     1.2
2008.7603   -13.0     4.1    43.7     1.7   -62.7     1.2
2008.7631   -16.1     4.2    43.3     1.7   -63.2     1.2
2008.7660   -13.6     4.1    44.4     1.7   -63.0     1.2
2008.7690   -15.5     4.2    45.5     1.7   -62.3     1.2
2008.7713   -23.0     4.1    45.0     1.7   -61.0     1.2
2008.7740   -18.8     4.0    45.2     1.7   -62.4     1.2
2008.7770   -16.0     4.0    42.5     1.7   -63.2     1.2
2008.7800   -18.9     4.4    42.2     1.8   -64.5     1.3
2008.7823   -12.3     4.1    44.6     1.7   -63.7     1.2
2008.7851   -18.2     4.0    43.9     1.7   -62.1     1.2
2008.7880   -19.0     4.3    43.8     1.7   -62.0     1.2
2008.7910   -23.7     4.1    43.9     1.7   -62.7     1.2
2008.7933   -15.5     4.1    43.0     1.7   -62.6     1.2
2008.7960   -22.1     4.1    42.9     1.7   -64.1     1.2
2008.7990   -15.7     4.1    42.9     1.7   -62.1     1.2
2008.8020   -16.3     4.2    43.3     1.7   -63.1     1.2
2008.8041   -13.2     4.1    41.9     1.7   -63.6     1.2
2008.8070   -19.1     4.1    42.6     1.7   -62.2     1.2
2008.8100   -23.3     4.2    43.5     1.7   -63.3     1.2
2008.8124   -16.3     4.0    44.6     1.7   -61.6     1.2
2008.8151   -24.6     4.1    42.7     1.7   -62.7     1.2
2008.8180   -10.3     4.0    43.4     1.7   -61.7     1.2
2008.8210   -24.3     4.2    42.3     1.8   -62.4     1.3
2008.8233   -23.5     4.1    43.5     1.7   -63.1     1.2
2008.8260   -17.6     4.2    44.0     1.8   -62.2     1.3
2008.8290   -20.2     4.3    43.7     1.8   -61.7     1.3
2008.8320   -17.5     4.2    43.3     1.7   -61.7     1.2
2008.8343   -18.6     4.2    41.3     1.7   -60.2     1.2
2008.8371   -20.4     4.2    41.2     1.8   -61.5     1.3
2008.8400   -21.1     4.1    42.8     1.7   -61.4     1.2
2008.8430   -21.5     4.0    42.3     1.7   -60.5     1.2
2008.8453   -19.2     4.1    41.1     1.7   -62.1     1.2
2008.8480   -17.2     4.1    41.6     1.7   -60.1     1.2
2008.8510   -27.7     4.6    41.5     1.8   -61.8     1.2
2008.8540   -18.7     4.9    40.3     1.9   -61.5     1.3
2008.8563   -15.8     4.0    41.1     1.7   -61.8     1.2
2008.8590   -11.5     4.2    41.4     1.7   -60.5     1.2
2008.8620   -18.5     4.2    41.7     1.7   -60.4     1.2
2008.8650   -16.5     4.1    42.4     1.7   -60.1     1.2
2008.8671   -10.5     4.2    40.9     1.7   -62.0     1.2
2008.8700   -15.0     4.1    41.9     1.7   -61.2     1.2
2008.8730   -13.8     4.1    41.8     1.7   -61.3     1.2
2008.8753   -17.1     4.2    42.1     1.7   -60.4     1.2
2008.8781   -16.0     4.2    42.2     1.7   -60.8     1.2
2008.8810   -22.1     4.2    41.9     1.7   -59.3     1.2
2008.8840   -18.4     4.1    40.4     1.7   -61.1     1.2
2008.8863   -13.8     4.1    39.7     1.7   -60.5     1.2
2008.8891   -19.4     4.1    40.6     1.7   -60.5     1.2
2008.8920   -22.8     4.1    39.8     1.7   -59.3     1.2
2008.8950   -12.4     4.2    41.9     1.7   -60.1     1.2
2008.8973   -17.9     4.2    39.3     1.7   -59.9     1.2
2008.9001   -20.0     4.2    40.7     1.7   -59.9     1.2
2008.9030   -14.6     4.2    40.2     1.8   -60.1     1.3
2008.9060   -20.0     4.1    38.7     1.7   -60.5     1.2
2008.9083   -14.1     4.1    39.8     1.7   -60.1     1.2
2008.9110   -17.1     4.1    41.0     1.7   -61.8     1.2
2008.9140   -13.1     4.0    39.9     1.7   -60.4     1.2
2008.9170   -13.4     4.0    40.9     1.7   -60.1     1.2
2008.9191   -12.9     4.1    41.3     1.7   -59.2     1.2
2008.9220   -11.5     4.4    41.7     1.8   -57.2     1.3
2008.9250   -12.5     4.1    42.6     1.7   -58.6     1.2
2008.9273   -17.4     4.2    40.6     1.7   -58.9     1.2
2008.9301   -10.4     4.0    40.3     1.7   -59.3     1.2
2008.9330   -14.0     4.2    41.6     1.7   -60.1     1.2
2008.9360    -8.9     4.1    38.9     1.7   -58.2     1.2
2008.9383   -16.4     4.1    39.7     1.7   -59.6     1.2
2008.9410   -12.5     4.0    41.2     1.7   -60.9     1.2
2008.9440   -10.1     4.1    40.7     1.7   -61.0     1.2
2008.9470   -15.7     4.1    41.5     1.7   -60.4     1.2
2008.9493   -15.3     4.1    40.9     1.7   -57.9     1.2
2008.9521   -18.0     4.1    41.1     1.7   -58.5     1.2
2008.9550   -17.1     4.0    40.1     1.7   -60.0     1.2
2008.9580    -9.8     4.1    41.4     1.7   -59.4     1.2
2008.9603   -13.7     4.0    41.9     1.7   -59.6     1.2
2008.9630   -11.5     4.1    40.6     1.7   -59.5     1.2
2008.9660   -15.5     3.9    41.5     1.7   -58.2     1.2
2008.9690   -10.5     4.1    39.8     1.7   -57.7     1.2
2008.9713   -17.1     4.0    39.8     1.7   -59.5     1.2
2008.9740   -18.6     4.1    40.7     1.7   -58.5     1.2
2008.9770   -20.4     4.0    39.7     1.7   -59.8     1.2
2008.9794   -14.2     4.0    41.7     1.7   -58.5     1.2
2008.9821   -14.9     4.0    42.8     1.7   -58.1     1.2
2008.9850   -13.2     4.1    42.0     1.7   -57.6     1.2
2008.9880   -21.0     4.0    41.9     1.7   -58.2     1.2
2008.9903   -23.6     4.0    42.3     1.7   -59.2     1.2
2008.9931   -21.7     4.0    41.1     1.7   -58.3     1.2
