% site name: LYNS
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6600   -40.1     5.5    58.4     3.5   -66.9     2.8
2007.6630   -33.2     2.9    61.9     2.1   -65.2     1.7
2007.6652   -36.3     3.0    62.1     2.1   -65.1     1.8
2007.6680   -38.5     3.1    61.8     2.2   -64.8     1.8
2007.6710   -31.1     3.1    62.0     2.2   -64.7     1.8
2007.6734   -32.3     2.9    58.8     2.1   -64.0     1.7
2007.6761   -31.7     2.9    62.2     2.1   -64.1     1.7
2007.6790   -25.4     3.0    63.0     2.1   -67.6     1.8
2007.6820   -28.1     3.1    61.4     2.2   -64.1     1.8
2007.6844   -25.4     3.0    60.8     2.1   -63.5     1.8
2007.6872   -29.9     3.0    61.6     2.1   -64.3     1.8
2007.6900   -26.7     2.9    59.6     2.1   -60.9     1.7
2007.6930   -33.5     2.9    61.0     2.1   -62.6     1.7
2007.6954   -40.6     2.9    60.6     2.1   -61.0     1.7
2007.6982   -30.7     2.9    60.9     2.1   -62.3     1.7
2007.7010   -30.0     2.9    60.8     2.1   -62.7     1.7
2007.7040   -27.2     2.9    59.3     2.1   -64.2     1.7
2007.7064   -27.7     3.0    61.3     2.1   -65.1     1.8
2007.7091   -27.0     2.9    61.6     2.1   -61.6     1.7
2007.7120   -30.4     2.9    59.9     2.1   -61.4     1.7
2007.7150   -30.7     2.9    60.6     2.1   -61.7     1.7
2007.7172   -35.0     2.8    61.2     2.1   -61.4     1.7
2007.7200   -27.7     2.9    60.8     2.1   -63.0     1.7
2007.7230   -30.1     2.9    61.1     2.1   -63.3     1.7
2007.7254   -30.5     2.9    60.4     2.1   -61.4     1.7
2007.7282   -29.6     2.9    59.8     2.1   -61.4     1.7
2007.7310   -30.4     2.9    60.5     2.1   -62.6     1.7
2007.7340   -30.0     2.8    60.5     2.1   -62.4     1.7
2007.7364   -31.4     2.8    61.1     2.1   -63.2     1.7
2007.7392   -31.0     3.0    60.7     2.1   -63.5     1.8
2007.7420   -31.0     3.0    61.5     2.1   -59.5     1.8
2007.7450   -33.1     3.2    59.6     2.3   -63.4     1.8
2007.7474   -30.4     2.9    60.9     2.1   -62.1     1.7
2007.7502   -29.4     2.9    61.9     2.1   -64.6     1.7
2007.7530   -27.8     3.0    60.4     2.1   -63.5     1.8
2007.7560   -39.8     2.9    60.6     2.1   -60.3     1.7
2007.7584   -37.8     2.9    59.8     2.1   -60.7     1.7
2007.7611   -31.9     2.9    61.9     2.1   -61.6     1.7
2007.7640   -32.3     2.8    59.9     2.1   -62.4     1.7
2007.7670   -28.2     2.8    61.8     1.9   -61.2     1.7
2007.7692   -31.7     3.0    60.4     2.1   -62.8     1.8
2007.7720   -35.9     3.0    60.0     2.1   -60.5     1.8
2007.7750   -36.5     2.9    60.2     2.1   -60.0     1.7
2007.7774   -30.8     2.8    60.0     2.0   -61.6     1.7
2007.7802   -34.4     2.9    60.5     2.1   -59.9     1.7
2007.7830   -35.1     2.8    62.3     2.0   -61.7     1.7
2007.7860   -34.5     2.9    61.8     2.1   -61.8     1.7
2007.7884   -33.1     2.8    59.0     2.1   -59.6     1.7
2007.7912   -34.9     2.8    59.8     2.1   -61.4     1.7
2007.7940   -25.8     2.9    60.2     2.1   -62.6     1.7
2007.7970   -29.0     3.1    59.5     2.1   -62.3     1.7
2007.8000   -26.0     3.0    59.8     2.1   -63.5     1.8
2007.8022   -28.3     2.9    61.5     2.1   -62.0     1.7
2007.8050   -32.5     2.8    63.0     2.0   -60.8     1.7
2007.8080   -33.6     2.8    62.5     2.1   -60.4     1.7
2007.8104   -30.5     2.9    62.2     2.1   -59.1     1.7
2007.8131   -32.9     2.9    62.6     2.1   -59.6     1.7
2007.8160   -34.6     3.0    61.4     2.1   -60.3     1.8
2007.8190   -37.9     3.0    61.0     2.1   -61.0     1.7
2007.8214   -37.0     2.9    61.9     2.1   -60.2     1.7
2007.8240   -36.1     2.9    59.0     2.1   -56.8     1.7
2007.8270   -36.4     3.0    60.2     2.1   -57.0     1.8
2007.8300   -30.4     2.9    61.2     2.1   -59.0     1.7
2007.8322   -30.0     2.9    58.6     2.1   -61.6     1.7
2007.8350   -30.3     2.8    59.9     2.1   -61.1     1.7
2007.8380   -29.7     2.8    59.8     1.9   -60.7     1.7
2007.8404   -32.5     2.8    60.2     1.9   -61.7     1.7
2007.8432   -42.2     2.8    56.9     2.1   -58.7     1.7
2007.8460   -32.3     2.8    58.9     1.9   -60.4     1.7
2007.8490   -33.2     2.8    56.7     1.9   -60.5     1.7
2007.8514   -38.7     2.8    56.9     2.1   -57.4     1.7
2007.8542   -29.0     2.9    59.2     2.1   -58.8     1.7
2007.8570   -31.5     2.9    59.4     2.1   -59.4     1.7
2007.8600   -30.4     2.8    58.9     2.0   -58.7     1.7
2007.8624   -30.4     2.8    59.3     2.1   -59.2     1.7
2007.8652   -32.6     2.8    60.2     2.0   -59.3     1.7
2007.8680   -30.0     2.9    59.0     2.1   -59.0     1.7
