% site name: MARG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6630   -46.3     5.8    83.5     2.2   -29.5     2.6
2007.6652   -40.4     3.6    85.6     1.7   -26.7     1.9
2007.6680   -38.5     3.5    84.2     1.7   -26.8     1.9
2007.6710   -36.7     3.6    85.6     1.7   -27.2     1.9
2007.6734   -35.4     3.5    84.6     1.7   -28.9     1.9
2007.6761   -36.2     3.6    85.1     1.7   -27.4     1.9
2007.6790   -27.5     3.6    85.6     1.7   -26.6     1.9
2007.6820   -31.3     3.6    85.4     1.7   -25.7     1.9
2007.6844   -37.4     3.5    84.0     1.7   -26.5     1.9
2007.6872   -35.9     3.6    84.8     1.7   -27.2     1.9
2007.6900   -34.6     3.5    83.6     1.7   -26.0     1.9
2007.6930   -40.1     3.5    84.2     1.7   -27.0     1.9
2007.6954   -36.7     3.5    85.2     1.7   -27.0     1.9
2007.6982   -28.1     3.6    83.1     1.7   -26.2     1.9
2007.7010   -37.7     3.5    84.6     1.7   -27.3     1.9
2007.7040   -37.9     3.5    83.4     1.7   -26.0     1.9
2007.7064   -35.6     3.6    84.2     1.7   -27.3     1.9
2007.7091   -33.4     3.5    83.7     1.7   -24.9     1.9
2007.7120   -36.0     3.5    83.5     1.7   -26.9     1.9
2007.7150   -34.8     3.5    83.1     1.7   -28.5     1.9
2007.7172   -30.1     3.5    83.8     1.7   -26.1     1.9
2007.7200   -33.0     3.5    83.9     1.7   -24.8     1.9
2007.7230   -35.1     3.5    83.4     1.7   -26.0     1.9
2007.7254   -37.9     3.6    83.5     1.7   -25.3     1.9
2007.7282   -35.8     3.5    82.9     1.7   -27.4     1.9
2007.7310   -36.6     3.5    84.0     1.7   -26.9     1.9
2007.7340   -31.8     3.7    83.6     1.7   -25.4     2.0
2007.7364   -38.4     3.5    82.7     1.7   -25.2     1.9
2007.7392   -34.9     3.5    82.8     1.7   -25.7     1.9
2007.7420   -37.1     3.5    82.2     1.7   -24.3     1.9
2007.7450   -32.1     3.5    82.6     1.7   -27.0     1.9
2007.7474   -30.2     3.5    83.9     1.7   -25.8     1.9
2007.7502   -34.3     3.6    84.2     1.7   -25.1     1.9
2007.7530   -32.6     3.6    83.9     1.7   -26.6     1.9
2007.7560   -35.1     3.5    84.0     1.7   -24.3     1.9
2007.7584   -36.3     3.5    84.0     1.7   -24.3     1.9
2007.7611   -39.5     3.5    84.7     1.7   -26.2     1.9
2007.7640   -32.0     3.5    83.2     1.7   -25.2     1.9
2007.7670   -33.0     3.5    84.8     1.7   -23.2     1.9
2007.7692   -38.2     3.6    82.9     1.7   -24.5     1.9
2007.7720   -39.4     3.7    82.7     1.7   -23.8     2.0
2007.7750   -39.6     3.6    81.9     1.7   -24.8     1.9
2007.7774   -37.7     3.5    82.0     1.7   -26.1     1.9
2007.7802   -38.9     3.5    82.3     1.7   -25.6     1.9
2007.7830   -35.1     3.5    83.3     1.7   -24.9     1.9
2007.7860   -38.0     3.4    83.5     1.7   -26.1     1.9
2007.7884   -37.4     3.5    81.3     1.7   -26.9     1.9
2007.7912   -39.5     3.5    82.3     1.7   -26.7     1.9
2007.7940   -37.0     3.5    82.0     1.7   -25.5     1.9
2007.7970   -37.5     3.6    81.9     1.7   -26.3     1.9
2007.8000   -31.8     3.5    82.3     1.7   -24.6     1.9
2007.8022   -38.9     3.5    81.9     1.7   -23.5     1.9
2007.8050   -38.2     3.5    82.3     1.7   -25.6     1.9
2007.8080   -38.7     3.6    82.7     1.7   -24.8     1.9
2007.8104   -32.2     3.5    83.0     1.7   -22.5     1.9
2007.8131   -35.3     3.5    82.3     1.7   -24.4     1.9
2007.8160   -31.9     3.5    81.7     1.7   -24.4     1.9
2007.8190   -34.4     3.5    81.7     1.7   -24.3     1.9
2007.8214   -33.0     3.5    82.1     1.7   -26.2     1.9
2007.8240   -34.9     3.5    80.9     1.7   -24.8     1.9
2007.8270   -32.2     3.5    81.2     1.7   -24.0     1.9
2007.8300   -32.5     3.5    82.6     1.7   -24.9     1.9
2007.8322   -33.4     3.5    80.9     1.7   -26.4     1.9
2007.8350   -42.5     3.5    82.0     1.7   -27.0     1.9
2007.8380   -37.2     3.5    81.8     1.7   -26.8     1.9
2007.8404   -40.0     3.5    81.7     1.7   -25.8     1.9
2007.8432   -36.6     3.5    80.1     1.7   -25.4     1.9
2007.8460   -39.0     3.4    79.8     1.7   -25.9     1.9
2007.8490   -45.2     3.5    80.4     1.7   -26.5     1.8
2007.8514   -43.1     3.5    79.5     1.7   -27.5     1.9
2007.8542   -39.3     3.5    80.1     1.7   -26.2     1.9
2007.8570   -33.7     3.5    81.4     1.7   -26.4     1.9
2007.8600   -30.9     3.5    81.6     1.7   -24.3     1.9
2007.8624   -29.6     3.5    81.3     1.7   -23.8     1.9
2007.8652   -36.0     3.5    82.2     1.7   -27.7     1.9
2007.8680   -39.6     3.6    80.8     1.7   -25.8     1.9
