% site name: MIK2
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6010   -68.7    35.4    38.7    34.0   -54.4     9.9
2009.6040   -55.0     3.1    42.7     1.9   -51.1     1.4
2009.6064   -49.4     3.2    43.1     1.9   -50.7     1.5
2009.6092   -49.1     3.1    43.3     1.9   -50.2     1.4
2009.6120   -52.5     3.2    43.1     1.9   -50.8     1.5
2009.6150   -50.0     3.1    43.1     1.9   -51.7     1.4
2009.6174   -50.0     3.1    44.2     1.9   -50.5     1.4
2009.6201   -43.9     3.1    42.7     1.9   -49.6     1.4
2009.6230   -46.2     3.1    42.7     1.9   -49.3     1.5
2009.6260   -45.0     3.1    42.8     1.9   -50.7     1.4
2009.6282   -44.7     3.1    42.0     1.9   -50.2     1.4
2009.6311   -44.0     3.1    42.2     1.9   -49.4     1.4
2009.6340   -49.1     3.1    42.5     1.9   -50.7     1.4
2009.6370   -51.2     3.1    42.8     1.9   -51.1     1.4
2009.6392   -48.4     3.1    41.3     1.9   -51.3     1.4
2009.6420   -49.8     3.1    43.5     1.9   -49.7     1.4
2009.6450   -49.0     3.1    43.0     1.9   -49.5     1.4
2009.6474   -50.6     3.1    43.7     1.9   -50.3     1.5
2009.6501   -41.7     3.1    41.8     1.9   -48.6     1.5
2009.6530   -42.7     3.2    41.1     1.9   -50.4     1.5
2009.6560   -45.6     3.2    42.7     2.0   -49.2     1.5
2009.6584   -46.6     3.1    42.1     1.9   -50.1     1.5
2009.6612   -44.8     3.0    41.6     1.9   -48.7     1.5
2009.6640   -42.9     3.2    40.9     1.9   -50.5     1.5
2009.6670   -43.5     3.1    42.6     1.9   -49.2     1.4
2009.6694   -45.4     3.0    42.4     1.9   -48.6     1.5
2009.6721   -45.4     3.1    42.2     1.9   -49.2     1.4
2009.6750   -46.4     3.1    43.0     1.9   -49.7     1.5
2009.6780   -41.9     3.1    42.7     1.9   -50.7     1.4
2009.6804   -43.3     3.1    42.6     1.9   -50.7     1.5
2009.6831   -47.7     3.1    43.8     1.9   -50.1     1.5
2009.6860   -49.5     3.1    43.9     1.9   -50.5     1.5
