% site name: MSVG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6092   -11.9     5.0    35.3     2.2   -60.5     1.6
2009.6120   -11.6     3.3    34.8     1.7   -57.8     1.3
2009.6150   -19.9     3.3    34.4     1.7   -58.8     1.3
2009.6174   -17.8     3.3    35.8     1.7   -59.9     1.3
2009.6201   -16.9     3.3    34.3     1.7   -58.9     1.3
2009.6230   -15.8     3.3    35.2     1.7   -58.6     1.3
2009.6260   -22.7     3.3    36.1     1.7   -58.6     1.3
2009.6282   -13.5     3.3    34.3     1.7   -57.7     1.3
2009.6311   -14.7     3.3    35.5     1.7   -59.3     1.3
2009.6340   -25.4     3.4    35.2     1.7   -60.8     1.3
2009.6370   -21.7     3.4    35.5     1.7   -58.1     1.3
2009.6392   -19.5     3.4    33.9     1.7   -60.3     1.3
2009.6420   -16.6     3.4    36.2     1.7   -56.4     1.3
2009.6450   -20.5     3.4    35.5     1.7   -58.6     1.3
2009.6474   -14.0     3.3    35.7     1.7   -58.8     1.3
2009.6501   -14.6     3.4    34.6     1.7   -57.9     1.3
2009.6530   -16.8     3.4    33.2     1.7   -59.5     1.3
2009.6560   -17.5     3.6    33.4     1.9   -56.5     1.3
2009.6584   -16.9     3.3    33.9     1.7   -57.8     1.3
2009.6612   -14.7     3.3    34.3     1.7   -56.8     1.3
2009.6640   -14.5     3.4    33.1     1.7   -58.8     1.3
2009.6670   -15.2     3.3    34.0     1.7   -58.4     1.3
2009.6694   -19.1     3.3    34.2     1.7   -58.4     1.3
2009.6721   -19.2     3.4    35.7     1.7   -57.6     1.3
2009.6750   -18.0     3.3    35.4     1.7   -58.1     1.3
2009.6780   -18.1     3.4    35.4     1.7   -59.5     1.3
2009.6804   -15.1     3.3    35.4     1.7   -59.1     1.3
2009.6831   -16.6     3.4    36.3     1.7   -58.1     1.3
2009.6860   -17.4     3.3    36.7     1.7   -58.7     1.3
2009.6890   -18.7     3.3    36.4     1.7   -58.6     1.3
2009.6912   -17.0     3.3    35.0     1.7   -58.7     1.3
2009.6940   -15.0     3.3    35.2     1.7   -59.4     1.3
2009.6970   -11.3     3.4    34.7     1.7   -58.7     1.3
2009.6994   -20.8     3.3    34.1     1.7   -58.9     1.3
2009.7022   -22.3     3.5    35.2     1.8   -57.4     1.4
2009.7050   -20.5     3.4    34.9     1.7   -57.3     1.3
2009.7080   -16.6     3.3    35.1     1.7   -58.0     1.3
2009.7104   -14.7     3.3    35.1     1.7   -58.0     1.3
2009.7132   -17.7     3.3    35.1     1.7   -58.5     1.3
2009.7160   -15.5     3.3    34.2     1.7   -58.6     1.3
2009.7190   -18.4     3.3    34.6     1.7   -57.8     1.3
2009.7214   -16.8     3.3    34.7     1.7   -57.4     1.3
2009.7242   -16.2     3.3    34.1     1.7   -55.1     1.3
2009.7270   -19.3     3.3    34.3     1.7   -57.4     1.3
2009.7300   -18.5     3.3    34.2     1.7   -57.7     1.3
2009.7324   -18.7     3.2    35.5     1.7   -57.9     1.3
2009.7351   -18.0     3.3    34.0     1.7   -57.9     1.3
2009.7380   -17.1     3.3    34.2     1.7   -55.9     1.3
2009.7410   -18.4     3.5    34.2     1.9   -57.0     1.3
2009.7432   -15.4     3.4    32.0     1.7   -57.0     1.3
2009.7460   -21.4     3.3    33.3     1.7   -57.1     1.3
2009.7490   -21.0     3.3    33.0     1.7   -55.9     1.3
2009.7514   -20.5     3.3    32.8     1.7   -55.6     1.3
2009.7542   -16.6     3.3    32.7     1.7   -55.1     1.3
2009.7570   -17.1     3.3    32.3     1.7   -55.8     1.3
2009.7600   -12.4     3.3    32.1     1.7   -56.2     1.3
2009.7624   -15.5     3.4    33.2     1.7   -55.8     1.3
2009.7652   -14.8     3.3    33.6     1.7   -54.2     1.3
2009.7680   -17.3     3.3    32.1     1.7   -55.0     1.3
2009.7710   -17.7     3.4    33.1     1.7   -55.5     1.3
2009.7734   -17.8     3.4    32.6     1.7   -56.6     1.3
2009.7762   -18.5     3.4    32.3     1.7   -56.3     1.3
2009.7790   -18.1     3.4    33.3     1.7   -55.4     1.3
2009.7820   -16.1     3.3    33.2     1.7   -52.4     1.3
2009.7844   -12.3     3.3    33.6     1.7   -53.1     1.3
2009.7871   -19.3     3.3    34.2     1.7   -55.9     1.3
2009.7900   -14.7     3.4    34.3     1.7   -55.9     1.3
2009.7930    -7.9     3.4    32.8     1.7   -56.4     1.3
2009.7952   -17.6     3.4    32.9     1.7   -56.5     1.3
2009.7980   -20.8     3.3    33.7     1.7   -55.6     1.3
2009.8010   -21.0     3.4    34.2     1.7   -57.0     1.3
2009.8040   -19.3     3.4    32.8     1.7   -55.5     1.3
2009.8062   -14.3     3.4    33.8     1.7   -55.2     1.3
2009.8090   -20.5     3.8    34.4     1.9   -54.1     1.4
2009.8120   -16.9     3.5    33.2     1.7   -52.4     1.3
2009.8144   -18.1     3.4    33.3     1.7   -54.3     1.3
2009.8172   -17.6     3.4    32.6     1.8   -54.7     1.4
2009.8200   -18.9     3.5    33.7     1.8   -55.7     1.4
2009.8230   -19.5     3.4    32.6     1.7   -53.9     1.3
2009.8254   -16.2     3.4    32.9     1.7   -54.5     1.3
2009.8282   -22.8     3.5    32.1     1.9   -53.6     1.3
2009.8310   -19.0     3.7    32.4     1.9   -55.1     1.4
2009.8340   -14.5     3.4    31.0     1.7   -54.4     1.3
2009.8364   -11.6     3.4    34.2     1.7   -56.6     1.3
2009.8392   -12.3     3.3    31.4     1.7   -57.0     1.3
2009.8420   -16.3     3.3    32.5     1.7   -56.8     1.3
2009.8450   -15.5     3.3    30.1     1.7   -55.6     1.3
2009.8474   -15.6     3.3    29.7     1.7   -55.7     1.3
2009.8500   -14.8     3.3    31.3     1.7   -55.4     1.3
2009.8530   -13.3     3.3    33.2     1.7   -55.2     1.3
2009.8560   -11.4     3.5    32.6     1.7   -54.2     1.3
2009.8582   -14.7     3.4    32.9     1.7   -54.8     1.3
