% site name: NNVN
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6190   -40.1     6.1    69.5     4.7   -69.3     3.9
2007.6214   -34.0     2.8    69.7     2.1   -67.1     2.0
2007.6241   -28.0     2.8    69.0     2.2   -67.0     1.9
2007.6270   -26.6     2.7    69.2     2.1   -66.2     1.9
2007.6300   -29.3     2.8    70.9     2.1   -66.6     1.9
2007.6324   -28.3     2.7    68.7     2.1   -66.5     1.9
2007.6352   -32.9     2.7    70.0     2.1   -68.3     1.9
2007.6380   -25.8     2.7    69.0     2.1   -66.3     1.9
2007.6410   -29.5     2.7    70.0     2.1   -66.3     1.9
2007.6434   -32.7     2.6    70.1     2.0   -65.4     1.9
2007.6461   -31.0     2.8    69.2     2.1   -67.4     1.9
2007.6490   -30.0     2.8    70.2     2.1   -66.1     1.9
2007.6520   -27.4     2.8    69.7     2.1   -65.7     1.9
2007.6542   -28.0     2.8    69.0     2.3   -66.2     2.0
2007.6571   -30.7     2.8    71.4     2.1   -67.2     1.9
2007.6600   -34.9     2.7    70.1     2.1   -69.2     1.9
2007.6630   -32.9     2.8    68.3     2.1   -67.0     1.9
2007.6652   -25.7     2.8    71.6     2.1   -65.9     1.9
2007.6680   -29.2     2.8    70.1     2.1   -65.6     1.9
2007.6710   -26.5     2.8    68.7     2.1   -66.3     1.9
2007.6734   -27.5     2.7    70.7     2.1   -68.0     1.9
2007.6761   -26.6     2.8    71.4     2.1   -67.7     1.9
2007.6790   -26.4     2.7    69.5     2.1   -67.5     1.9
2007.6820   -27.0     2.8    70.0     2.1   -66.6     1.9
2007.6844   -26.8     2.8    69.3     2.1   -64.8     1.9
2007.6872   -24.3     2.8    69.4     2.1   -65.2     1.9
2007.6900   -37.1     2.8    67.8     2.1   -65.2     1.9
2007.6930   -26.5     2.8    77.9     2.1   -69.2     1.9
2007.6954   -28.5     2.7    72.8     2.1   -65.9     1.9
2007.6982   -28.9     2.7    69.5     2.1   -63.8     1.9
2007.7010   -26.9     2.7    68.7     2.1   -65.0     1.9
2007.7040   -33.1     2.7    67.8     2.1   -65.2     1.9
2007.7064   -24.1     2.8    68.5     2.1   -66.9     1.9
2007.7091   -25.8     2.8    69.3     2.1   -64.8     1.9
2007.7120   -27.9     2.7    69.7     2.1   -66.2     1.9
2007.7150   -17.1     2.7    81.3     2.1   -68.1     1.9
2007.7172   -20.2     2.7    81.8     2.1   -67.2     1.9
2007.7200   -26.8     2.7    76.2     2.1   -62.4     1.9
2007.7230   -24.9     2.7    74.1     2.1   -62.1     1.9
2007.7254   -24.7     2.7    73.2     2.1   -61.4     1.9
2007.7282   -29.1     2.7    69.7     2.1   -62.8     1.9
2007.7310   -31.9     2.7    68.6     2.1   -63.4     1.9
2007.7340   -34.6     2.7    70.2     2.1   -64.0     1.9
2007.7364   -34.1     2.7    69.7     2.1   -65.4     1.9
2007.7392   -28.2     2.7    69.2     2.1   -64.6     1.9
2007.7420   -23.5     2.8    69.2     2.1   -63.2     1.9
2007.7450   -29.4     2.8    67.8     2.3   -63.5     2.0
2007.7474   -30.3     2.7    69.2     2.1   -65.2     1.9
2007.7502   -30.3     2.7    71.2     2.1   -65.9     1.9
2007.7530   -23.0     2.8    71.0     2.1   -65.7     1.9
2007.7560   -22.0     2.7    73.3     2.1   -67.2     1.9
2007.7584   -29.1     2.7    71.4     2.1   -65.4     1.9
2007.7611   -28.1     2.7    69.1     2.1   -63.7     1.9
2007.7640   -30.4     2.7    69.1     2.1   -65.1     1.9
2007.7670   -33.6     2.6    69.7     2.1   -65.0     1.9
2007.7692   -29.6     2.8    68.5     2.1   -63.3     1.9
2007.7720   -35.0     2.8    69.4     2.1   -66.6     2.0
2007.7750   -30.3     2.8    67.3     2.1   -63.3     1.9
2007.7774   -31.7     2.7    68.3     2.1   -65.2     1.9
2007.7802   -29.6     2.6    68.6     2.1   -64.3     1.9
2007.7830   -24.4     2.6    69.0     2.1   -63.1     1.9
2007.7860   -20.9     2.7    68.7     2.1   -63.2     1.9
2007.7884   -21.9     2.7    68.5     2.1   -63.8     1.9
2007.7912   -27.1     2.7    68.8     2.1   -64.8     1.9
2007.7940   -27.8     2.7    68.0     2.1   -64.9     1.9
2007.7970   -31.7     2.7    69.7     2.1   -65.7     1.9
2007.8000   -21.5     2.7    69.0     2.1   -63.5     1.9
2007.8022   -26.7     2.7    69.2     2.1   -64.3     1.9
2007.8050   -24.1     2.7    69.5     2.1   -63.1     1.8
2007.8080   -26.4     2.7    69.5     2.1   -63.2     1.9
2007.8104   -19.9     2.7    69.0     2.1   -64.5     1.9
2007.8131   -25.4     2.7    68.4     2.1   -61.6     1.9
2007.8160   -23.0     2.9    68.8     2.2   -62.7     1.9
2007.8190   -23.6     2.8    69.0     2.1   -63.6     1.9
2007.8214   -27.4     2.7    68.3     2.1   -62.7     1.9
2007.8240   -27.5     2.7    67.6     2.1   -60.5     1.9
2007.8270   -23.8     2.7    67.6     2.1   -61.1     1.9
2007.8300   -23.3     2.7    67.8     2.1   -61.8     1.9
2007.8322   -25.1     2.7    67.0     2.1   -62.7     1.9
2007.8350   -25.4     2.7    67.3     2.1   -62.0     1.9
2007.8380   -28.9     2.6    67.7     2.1   -62.7     1.8
2007.8404   -25.8     2.7    69.6     2.1   -63.0     1.8
2007.8432   -27.6     2.6    67.1     2.1   -60.3     1.8
2007.8460   -32.1     2.6    71.9     2.1   -59.3     1.8
2007.8490   -26.8     2.6    76.8     2.0   -54.7     1.9
2007.8514   -27.8     2.7    72.6     2.1   -55.3     1.8
2007.8542   -30.8     2.7    70.6     2.1   -55.6     1.9
2007.8570   -24.0     2.7    75.4     2.1   -56.3     1.9
2007.8600   -22.0     2.6    77.0     2.0   -55.5     1.9
2007.8624   -21.7     2.7    76.5     2.1   -56.6     1.9
2007.8652   -24.1     2.7    75.7     2.1   -57.0     1.8
2007.8680   -23.7     2.7    72.4     2.1   -57.3     1.9
2007.8710   -23.5     2.7    71.7     2.1   -56.8     1.9
2007.8734   -20.4     2.7    71.6     2.1   -58.5     1.9
2007.8760   -22.6     2.6    72.9     2.1   -57.3     1.8
2007.8790   -23.2     2.6    70.2     2.1   -58.1     1.8
2007.8820   -28.2     2.7    66.7     2.1   -61.2     1.9
2007.8842   -28.8     2.7    69.0     2.1   -62.2     1.9
2007.8870   -26.0     2.8    67.8     2.3   -64.0     2.0
2007.8900   -26.5     2.7    65.9     2.1   -64.4     1.9
2007.8924   -24.9     2.8    66.4     2.1   -62.9     1.9
2007.8952   -28.9     2.7    67.7     2.1   -63.0     1.9
2007.8980   -23.0     2.7    67.2     2.1   -61.0     1.9
2007.9010   -29.0     2.7    68.0     2.1   -61.8     1.9
2007.9034   -29.8     2.7    67.1     2.1   -64.0     1.9
2007.9062   -29.2     2.7    66.6     2.1   -63.5     1.9
2007.9090   -26.9     2.7    67.5     2.1   -62.3     1.8
2007.9120   -25.7     2.6    66.8     2.0   -62.0     1.9
2007.9144   -27.2     2.7    65.8     2.1   -61.0     1.8
2007.9172   -31.5     2.7    66.3     2.1   -62.6     1.9
2007.9200   -31.7     2.6    64.6     2.1   -60.8     1.9
2007.9230   -24.2     2.7    65.3     2.1   -61.1     1.9
2007.9254   -21.8     2.7    66.5     2.1   -62.1     1.9
2007.9281   -25.8     2.7    65.9     2.1   -62.9     1.9
2007.9310   -26.8     2.7    65.8     2.1   -61.1     1.9
2007.9340   -28.7     2.7    65.6     2.1   -61.4     1.9
2007.9362   -29.3     2.6    66.0     2.1   -60.2     1.8
2007.9390   -29.9     2.6    65.1     2.1   -62.3     1.9
2007.9420   -30.8     2.7    65.1     2.1   -63.8     1.9
2007.9450   -29.0     2.7    66.1     2.1   -61.2     1.9
2007.9472   -30.2     2.8    65.4     2.1   -61.7     1.9
2007.9500   -32.4     2.6    65.9     2.1   -63.1     1.9
2007.9530   -28.4     2.6    67.5     2.1   -62.0     1.9
2007.9554   -32.2     2.6    66.6     2.1   -62.4     1.9
2007.9582   -34.2     2.6    65.7     2.1   -61.7     1.9
2007.9610   -33.8     2.7    67.6     2.1   -60.8     1.9
2007.9640   -34.7     2.7    67.5     2.1   -61.2     1.9
2007.9670   -35.1     2.7    66.6     2.1   -60.9     1.9
2007.9692   -34.5     2.7    65.8     2.1   -62.9     1.9
2007.9720   -34.1     2.6    65.9     2.1   -61.6     1.9
2007.9750   -30.3     2.6    65.2     2.1   -61.4     1.9
2007.9774   -27.9     2.6    64.7     2.1   -62.2     1.9
2007.9802   -25.5     2.6    65.0     2.1   -61.5     1.8
2007.9830   -19.3     2.6    65.3     2.0   -63.8     1.9
2007.9860   -25.3     2.6    64.8     2.1   -61.8     1.8
2007.9884   -26.6     2.6    64.8     2.1   -60.9     1.9
2007.9910   -31.6     2.6    64.2     2.1   -61.2     1.9
2007.9940   -34.7     2.6    64.3     2.1   -60.5     1.9
2007.9970   -26.1     2.7    63.9     2.1   -60.9     1.9
2007.9992   -32.4     2.6    64.4     2.1   -61.1     1.8
2008.0020   -26.3     2.6    63.7     2.1   -60.9     1.9
2008.0050   -27.4     2.6    65.1     2.0   -61.0     1.9
2008.0074   -28.0     2.6    64.4     2.0   -61.0     1.9
2008.0102   -26.7     2.6    64.6     2.0   -62.0     1.9
2008.0130   -28.0     2.8    65.9     2.2   -61.5     1.9
2008.0160   -29.5     2.7    64.6     2.1   -60.6     1.9
2008.0190   -31.5     2.7    64.4     2.1   -61.8     1.9
2008.0212   -32.1     2.7    64.2     2.1   -61.5     1.9
2008.0240   -28.5     2.6    64.4     2.1   -61.3     1.9
2008.0270   -28.1     2.6    65.1     2.1   -60.6     1.9
2008.0294   -27.9     2.6    64.7     2.1   -61.1     1.9
2008.0322   -28.4     2.6    64.2     2.1   -59.8     1.9
2008.0350   -32.0     2.7    63.4     2.1   -59.1     1.9
2008.0380   -29.2     2.8    63.8     2.1   -61.6     1.9
2008.0404   -28.3     2.7    65.6     2.1   -60.8     1.9
2008.0430   -26.3     2.7    63.9     2.1   -60.4     1.9
2008.0460   -21.2     2.8    64.4     2.1   -63.4     1.9
