% site name: NORD
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2006.7210   -51.8     3.7    33.3     1.6   -85.9     1.1
2006.7240   -58.6     3.7    33.7     1.6   -86.4     1.1
2006.7261   -60.9     3.8    34.3     1.6   -86.3     1.1
2006.7320   -59.9     3.8    34.0     1.6   -85.5     1.1
2006.7343   -61.7     3.7    33.8     1.6   -85.3     1.1
2006.7371   -64.3     3.7    34.5     1.6   -84.6     1.1
2006.7400   -57.4     3.7    33.0     1.6   -86.0     1.1
2006.7430   -59.8     3.7    34.5     1.6   -86.1     1.1
2006.7453   -61.8     3.7    32.9     1.6   -85.4     1.1
2006.7480   -61.4     3.8    34.3     1.6   -85.8     1.1
2006.7510   -61.8     3.7    33.9     1.6   -86.5     1.1
2006.7540   -63.1     3.9    33.9     1.6   -85.6     1.1
2006.7563   -65.2     3.9    32.9     1.6   -84.9     1.1
2006.7591   -65.4     3.7    33.6     1.6   -86.3     1.1
2006.7620   -60.5     3.7    33.6     1.6   -86.1     1.1
2006.7650   -62.7     3.7    33.0     1.6   -86.1     1.1
2006.7673   -62.8     3.8    33.6     1.6   -85.8     1.1
2006.7700   -57.6     3.9    34.1     1.6   -85.3     1.1
2006.7730   -62.6     3.8    34.3     1.6   -84.6     1.1
2006.7760   -58.9     3.8    33.9     1.6   -87.4     1.1
2006.7781   -57.5     3.7    32.0     1.6   -86.4     1.1
2006.7810   -63.0     3.8    34.2     1.6   -86.7     1.1
2006.7840   -67.2     3.8    34.0     1.6   -85.5     1.1
2006.7863   -70.9     3.8    33.3     1.6   -86.0     1.1
2006.7891   -66.2     3.8    34.1     1.6   -84.6     1.1
2006.7920   -67.2     3.8    34.8     1.6   -83.5     1.1
2006.7950   -66.0     3.8    33.5     1.6   -84.1     1.1
2006.7973   -73.6     3.8    35.1     1.6   -84.6     1.1
2006.8000   -65.2     3.8    34.2     1.6   -85.5     1.1
2006.8030   -61.7     3.9    33.8     1.6   -84.7     1.1
2006.8060   -64.0     3.9    33.6     1.6   -83.7     1.1
2006.8083   -69.0     3.8    34.4     1.6   -85.2     1.1
2006.8111   -70.3     3.7    35.0     1.5   -84.3     1.0
2006.8140   -65.3     3.8    34.7     1.6   -84.3     1.1
2006.8170   -62.7     3.9    33.9     1.6   -84.9     1.1
2006.8193   -69.9     3.8    35.6     1.6   -83.3     1.1
2006.8220   -65.5     3.7    34.7     1.5   -83.7     1.0
2006.8250   -69.0     3.8    34.9     1.5   -83.2     1.0
