% site name: NRSK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.5170   -13.2     8.1    32.9     2.5   -70.4     1.3
2008.5200   -16.5     4.1    32.7     1.7   -69.2     1.2
2008.5222   -17.8     4.1    34.1     1.7   -71.2     1.2
2008.5250   -19.2     4.2    34.9     1.8   -69.9     1.2
2008.5280   -15.1     4.1    34.8     1.7   -70.9     1.2
2008.5310   -28.8     4.3    33.1     1.8   -70.0     1.2
2008.5332   -16.3     4.4    33.0     1.8   -69.8     1.2
2008.5360   -21.9     4.4    35.2     1.8   -69.8     1.2
2008.5390   -17.3     4.4    34.7     1.8   -70.2     1.2
2008.5413   -14.8     4.3    33.8     1.8   -70.7     1.2
2008.5440   -18.6     4.2    33.8     1.8   -69.8     1.2
2008.5470   -18.0     4.2    33.2     1.8   -69.9     1.1
2008.5500   -23.9     4.2    33.9     1.8   -69.9     1.1
2008.5523   -15.1     4.1    36.5     1.7   -70.1     1.2
2008.5550   -21.5     4.3    35.2     1.8   -70.6     1.2
2008.5580   -17.1     4.3    34.0     1.8   -69.6     1.2
2008.5610   -16.3     4.5    32.8     1.8   -69.0     1.2
2008.5633   -20.1     4.2    34.6     1.8   -70.7     1.2
2008.5660   -24.0     4.1    34.7     1.8   -69.8     1.2
2008.5690   -20.4     4.2    33.9     1.8   -69.9     1.2
2008.5720   -18.6     4.3    33.8     1.7   -68.3     1.2
2008.5743   -28.5     4.3    31.7     1.8   -71.4     1.2
2008.5770   -17.5     4.2    33.8     1.8   -70.6     1.2
2008.5800   -22.0     4.1    33.1     1.7   -69.3     1.2
2008.5830   -19.9     4.2    31.4     1.8   -71.0     1.2
2008.5852   -15.7     4.2    32.9     1.7   -69.5     1.2
2008.5880   -15.4     4.0    32.7     1.7   -69.6     1.2
2008.5910   -25.3     4.2    32.5     1.8   -69.5     1.2
2008.5933   -13.1     4.1    32.5     1.7   -70.0     1.2
2008.5961   -21.8     4.2    33.0     1.8   -70.6     1.2
2008.5990   -20.0     4.2    34.4     1.7   -70.1     1.2
2008.6020   -18.8     4.4    32.6     1.8   -71.1     1.2
2008.6043   -29.7     4.2    32.7     1.8   -71.2     1.2
2008.6070   -18.6     4.7    33.5     1.8   -70.3     1.2
2008.6100   -22.4     4.4    35.0     1.8   -70.1     1.2
2008.6130   -17.0     4.5    34.3     1.8   -71.3     1.2
2008.6153   -20.2     4.4    32.7     1.8   -70.6     1.2
2008.6180   -19.8     4.2    33.7     1.8   -71.3     1.2
2008.6210   -17.1     4.1    35.1     1.7   -70.3     1.2
2008.6240   -21.3     4.2    33.5     1.8   -70.0     1.2
2008.6263   -17.7     4.2    33.1     1.7   -71.0     1.2
2008.6290   -21.7     4.2    32.5     1.7   -71.0     1.2
2008.6320   -28.3     4.6    35.4     1.8   -71.9     1.2
2008.6350   -21.6     4.4    36.2     1.8   -69.0     1.2
2008.6372   -17.1     4.3    33.6     1.8   -68.5     1.1
2008.6400   -19.1     4.2    34.2     1.7   -69.8     1.2
2008.6430   -24.6     4.3    34.4     1.8   -69.5     1.1
2008.6453   -16.6     4.1    34.1     1.7   -69.1     1.2
2008.6481   -16.5     4.1    33.3     1.7   -70.0     1.2
