% site name: NUUK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.0041   -36.1     2.6    63.0     1.9   -37.6     2.0
2009.0070   -36.5     2.7    63.2     2.0   -37.6     1.9
2009.0100   -34.5     2.7    62.3     2.0   -38.2     2.0
2009.0123   -33.1     2.6    62.0     1.9   -36.8     2.0
2009.0151   -32.3     2.6    62.1     1.9   -37.2     2.0
2009.0180   -35.5     2.6    62.6     1.9   -37.1     2.0
2009.0210   -34.0     2.5    61.4     1.9   -37.3     1.9
2009.0233   -38.8     2.6    60.9     1.9   -38.2     2.0
2009.0260   -29.9     2.7    60.4     2.0   -38.2     2.0
2009.0290   -32.6     2.7    60.4     2.0   -37.4     1.9
2009.0314   -33.1     2.5    60.1     1.9   -37.7     1.9
2009.0341   -34.1     2.5    59.9     1.9   -38.0     1.9
2009.0370   -35.7     2.6    59.4     1.9   -38.3     2.0
2009.0400   -34.1     2.7    60.1     2.0   -36.5     1.9
2009.0423   -34.8     2.6    59.3     2.0   -36.0     2.0
2009.0451   -34.2     2.5    59.4     1.9   -38.0     1.9
2009.0480   -35.0     2.5    59.1     1.9   -39.2     1.9
2009.0510   -33.6     2.5    59.2     1.9   -39.1     1.9
2009.0533   -36.1     2.6    59.2     1.9   -38.6     2.0
2009.0561   -35.7     2.6    59.2     1.9   -37.2     2.0
2009.0590   -36.3     2.5    58.2     1.9   -37.9     1.9
2009.0620   -41.1     2.6    58.6     1.9   -39.0     2.0
2009.0643   -39.1     2.5    57.5     1.9   -37.3     1.9
2009.0671   -40.3     2.5    58.3     1.9   -37.7     1.9
2009.0700   -38.6     2.6    58.7     1.9   -38.6     2.0
2009.0730   -37.8     2.6    60.8     1.9   -39.0     2.0
2009.0753   -39.7     2.5    59.9     1.9   -38.2     1.9
2009.0780   -34.2     2.5    58.5     1.9   -38.4     1.9
2009.0810   -38.3     2.5    59.4     1.9   -37.6     1.9
2009.0834   -33.7     2.6    59.3     1.9   -36.9     2.0
2009.0861   -33.4     2.6    59.7     1.9   -36.2     2.0
2009.0890   -36.7     2.5    59.6     1.9   -36.4     1.9
2009.0920   -38.5     2.5    60.4     1.9   -36.3     1.9
2009.0944   -43.3     2.6    59.6     1.9   -36.5     2.0
2009.0971   -46.6     2.7    61.0     2.0   -37.5     2.0
2009.1000   -36.7     2.6    58.6     1.9   -38.0     2.0
2009.1030   -34.5     2.7    59.6     2.0   -37.2     1.9
2009.1053   -30.5     2.6    59.7     1.9   -36.5     2.0
2009.1081   -33.7     2.6    58.4     1.9   -37.8     2.0
2009.1110   -31.4     2.5    58.1     1.9   -37.8     1.9
2009.1140   -40.8     2.6    59.1     1.9   -36.0     2.0
2009.1164   -38.0     2.7    59.9     2.0   -36.0     1.9
2009.1191   -37.6     2.6    58.4     1.9   -36.1     2.0
2009.1220   -40.0     2.5    58.0     1.9   -37.0     1.9
2009.1250   -36.9     2.7    58.8     2.0   -36.0     2.0
2009.1273   -35.4     2.6    57.5     2.0   -38.0     2.0
2009.1300   -28.9     2.6    56.4     1.9   -37.9     2.0
2009.1330   -29.9     2.6    56.1     1.9   -37.2     2.0
2009.1354   -32.7     2.5    56.1     1.9   -36.7     1.9
2009.1383   -33.4     3.7    57.6     2.6   -37.1     2.6
2009.1410   -31.5     2.6    57.5     1.9   -36.2     2.0
2009.1440   -36.1     2.5    57.4     1.9   -36.9     1.9
2009.1464   -38.4     2.5    57.0     1.9   -37.8     1.9
2009.1491   -37.1     2.7    57.3     2.0   -36.0     1.9
2009.1520   -38.4     2.7    59.8     2.0   -36.7     1.9
2009.1550   -38.1     2.7    60.1     2.0   -37.3     1.9
2009.1573   -36.5     2.6    58.0     1.9   -36.3     2.0
2009.1601   -41.8     2.7    57.9     2.0   -37.0     1.9
2009.1630   -38.8     2.7    57.1     2.0   -37.5     1.9
2009.1660   -36.5     2.7    57.5     2.0   -35.9     1.9
2009.1684   -37.0     2.5    58.4     1.9   -36.7     1.9
2009.1711   -34.9     2.6    57.3     2.0   -37.0     2.0
2009.1740   -33.8     2.7    58.2     2.0   -36.3     2.0
2009.1770   -35.0     2.6    57.7     1.9   -36.6     2.0
2009.1793   -35.8     2.7    57.9     2.0   -37.5     1.9
2009.1821   -37.6     2.6    58.4     2.0   -37.1     1.9
2009.1850   -43.0     2.7    57.4     2.0   -36.9     1.9
2009.1874   -38.7     2.5    57.0     1.9   -36.7     1.9
2009.1903   -36.5     2.6    56.3     1.9   -36.9     2.0
2009.1930   -36.3     2.7    58.4     2.0   -36.6     1.9
2009.1960   -33.8     2.7    57.2     2.0   -36.5     1.9
2009.1984   -38.9     2.7    57.1     2.0   -35.6     2.0
2009.2011   -37.0     2.7    57.6     2.0   -35.6     1.9
2009.2040   -38.9     2.7    56.4     2.0   -38.6     1.9
2009.2070   -37.3     2.6    58.0     2.0   -38.0     1.9
2009.2093   -38.5     2.6    56.5     1.9   -37.7     2.0
2009.2121   -35.5     2.5    57.8     1.9   -36.9     1.9
2009.2150   -37.9     2.7    57.1     2.0   -36.1     1.9
2009.2180   -37.1     2.5    56.1     1.9   -36.8     1.9
2009.2204   -36.0     2.6    56.1     1.9   -38.3     2.0
2009.2231   -37.5     2.5    56.1     1.9   -37.4     1.9
2009.2260   -36.6     2.5    57.1     1.9   -35.2     1.9
2009.2290   -34.7     2.7    57.8     2.0   -37.5     1.9
2009.2313   -31.5     2.6    57.9     2.0   -36.3     2.0
2009.2341   -37.0     2.7    58.6     2.0   -36.8     1.9
2009.2370   -37.7     2.6    59.1     2.0   -35.3     1.9
2009.2400   -33.3     2.5    57.9     1.9   -35.2     1.9
2009.2423   -35.0     2.5    58.1     1.9   -34.5     1.9
2009.2450   -35.7     2.7    58.8     2.0   -34.5     1.9
2009.2480   -31.9     2.5    57.7     1.9   -36.1     1.9
2009.2504   -36.5     2.5    58.1     1.9   -35.4     1.9
2009.2532   -35.8     2.6    58.2     2.0   -34.0     2.0
2009.2560   -38.7     2.7    58.0     2.0   -34.6     1.9
2009.2590   -37.1     2.5    56.5     1.9   -35.4     1.9
2009.2614   -37.5     2.5    57.4     1.9   -34.3     1.9
2009.2641   -40.3     2.5    56.3     1.9   -33.7     1.9
2009.2670   -37.9     2.5    57.8     1.9   -34.3     1.9
2009.2700   -37.5     2.5    57.2     1.9   -34.0     1.9
2009.2724   -40.2     2.8    56.3     2.0   -34.6     2.1
2009.2751   -42.2     2.7    56.7     2.0   -36.0     1.9
2009.2780   -37.8     2.6    56.7     2.0   -34.8     2.0
2009.2810   -39.7     2.7    55.7     2.0   -34.9     1.9
2009.2834   -38.7     2.7    56.4     2.0   -34.3     1.9
2009.2861   -39.5     2.5    56.3     1.9   -32.8     1.9
2009.2890   -39.9     2.7    55.4     2.0   -34.8     1.9
2009.2920   -36.0     2.6    55.3     2.0   -34.1     2.0
2009.2943   -37.0     2.5    54.8     1.9   -34.3     1.9
2009.2971   -41.1     2.7    57.3     2.0   -34.6     1.9
2009.3000   -37.6     2.6    57.2     2.0   -35.4     2.0
2009.3024   -28.0     2.5    53.5     1.9   -40.0     1.9
2009.3052   -34.0     2.5    56.6     1.9   -33.4     1.9
2009.3080   -35.0     2.7    57.5     2.0   -33.6     1.9
2009.3110   -36.4     2.5    57.0     1.9   -32.9     1.9
2009.3134   -40.3     2.5    56.8     1.9   -33.4     1.9
2009.3161   -45.0     2.6    57.3     2.0   -35.0     1.9
2009.3190   -38.0     2.5    55.7     1.9   -33.6     1.9
2009.3220   -36.7     2.7    54.5     2.0   -32.8     1.9
2009.3243   -34.5     2.5    56.3     1.9   -32.7     1.9
2009.3271   -38.5     2.7    55.8     2.0   -32.8     1.9
2009.3300   -37.1     2.7    55.6     2.0   -34.4     1.9
2009.3330   -39.2     2.5    56.3     1.9   -32.8     1.9
2009.3354   -43.3     2.6    56.9     2.0   -34.2     2.0
2009.3410   -37.2     2.5    57.4     1.9   -32.3     1.9
2009.3440   -41.0     2.5    56.9     1.9   -34.1     1.9
2009.3463   -37.2     2.6    55.5     2.0   -34.1     2.0
2009.3491   -35.8     2.6    56.1     2.0   -32.3     2.0
2009.3520   -38.7     2.6    56.2     2.0   -32.9     2.0
2009.3550   -38.7     2.5    56.2     1.9   -32.5     1.9
2009.3572   -36.1     2.6    56.1     1.9   -32.2     2.0
2009.3600   -37.7     2.6    55.1     1.9   -33.7     2.0
2009.3630   -35.3     2.7    55.2     2.0   -34.1     1.9
2009.3654   -38.3     2.5    54.2     1.9   -32.8     1.9
2009.3681   -38.3     2.6    56.0     2.0   -32.9     2.0
2009.3710   -33.5     2.5    56.3     1.9   -31.7     1.9
2009.3740   -38.1     2.6    56.5     2.0   -32.1     2.0
2009.3764   -39.3     2.5    56.2     1.9   -33.2     1.9
2009.3791   -44.5     2.6    58.0     2.0   -34.4     2.0
2009.3820   -40.2     2.7    58.4     2.0   -33.1     1.9
2009.3850   -38.7     2.5    56.4     1.9   -32.9     1.9
2009.3874   -39.9     2.5    56.3     1.9   -32.0     1.9
2009.3901   -40.9     2.5    55.9     1.9   -32.3     1.9
2009.3930   -40.1     2.5    55.4     1.9   -32.5     1.9
2009.3960   -38.0     2.6    56.0     1.9   -31.9     2.0
2009.3984   -40.2     2.5    54.1     1.9   -32.4     1.9
2009.4011   -35.0     2.5    55.1     1.9   -32.8     1.9
2009.4040   -35.9     2.5    56.4     1.9   -31.7     1.9
2009.4070   -38.3     2.5    56.0     1.9   -31.9     1.9
2009.4093   -36.8     2.5    55.8     1.9   -33.6     1.9
2009.4120   -39.6     2.6    57.0     2.0   -32.1     1.9
2009.4150   -39.9     2.6    54.4     1.9   -30.9     2.0
2009.4174   -40.6     2.5    56.5     1.9   -32.0     1.9
2009.4202   -39.7     2.5    55.7     1.9   -32.3     1.9
2009.4230   -43.4     2.5    54.2     1.9   -32.5     1.9
2009.4260   -39.1     2.7    54.1     2.0   -29.9     2.0
2009.4284   -40.1     2.6    55.2     2.0   -31.5     2.0
2009.4311   -42.1     2.6    56.8     1.9   -31.6     2.0
2009.4340   -36.4     2.5    54.9     1.9   -31.6     1.9
2009.4370   -38.9     2.7    54.6     2.0   -31.2     1.9
2009.4394   -44.2     2.5    55.4     1.9   -32.4     1.9
2009.4422   -45.4     2.5    55.4     1.9   -30.1     1.9
2009.4450   -41.1     2.7    53.9     2.0   -31.0     1.9
2009.4480   -35.8     2.5    54.8     1.9   -30.6     1.9
2009.4504   -33.8     2.5    54.1     1.9   -30.6     1.9
2009.4531   -40.2     2.5    53.9     1.9   -30.3     1.9
2009.4560   -38.8     2.5    54.0     1.9   -31.9     1.9
2009.4590   -37.4     2.5    55.9     1.9   -31.5     1.9
2009.4613   -39.4     2.6    55.0     1.9   -31.4     2.0
2009.4641   -44.7     2.6    55.0     1.9   -31.5     2.0
2009.4670   -42.6     2.7    54.6     2.0   -31.1     1.9
2009.4694   -36.9     3.7    57.5     2.7   -27.9     2.7
2009.4722   -30.6     2.7    57.2     2.0   -27.8     1.9
2009.4750   -36.2     2.6    57.8     1.9   -28.5     2.0
2009.4780   -32.0     2.5    57.7     1.9   -28.8     1.9
2009.4804   -31.1     2.7    57.9     2.0   -28.6     2.0
2009.4831   -32.3     2.7    57.1     2.0   -28.1     1.9
2009.4860   -36.0     2.6    59.9     2.0   -29.7     2.0
2009.4890   -34.5     2.5    58.3     1.9   -28.4     1.9
2009.4914   -35.2     2.7    57.2     2.0   -27.4     2.0
2009.4941   -33.8     2.7    56.4     2.0   -29.0     1.9
2009.4970   -37.7     2.7    59.0     2.0   -25.0     1.9
2009.5000   -32.9     2.5    54.0     1.9   -26.7     1.9
2009.5024   -37.5     2.5    55.9     1.9   -29.5     1.9
2009.5051   -31.7     2.5    56.3     1.9   -27.8     1.9
2009.5080   -33.7     2.5    56.6     1.9   -27.5     1.9
2009.5110   -31.2     2.6    55.1     1.9   -27.1     2.0
2009.5133   -30.3     2.5    55.4     1.9   -27.4     1.9
2009.5161   -33.7     2.5    54.3     1.9   -27.6     1.9
2009.5190   -37.3     2.6    53.6     1.9   -28.9     2.0
2009.5220   -40.3     3.0    52.0     2.2   -26.9     2.2
2009.5242   -32.8     3.1    53.3     2.3   -30.0     2.3
2009.5270   -32.7     2.5    56.0     1.9   -27.4     1.9
2009.5300   -31.5     2.5    54.9     1.9   -28.7     1.9
2009.5324   -29.8     2.6    55.1     2.0   -28.5     1.9
2009.5351   -31.3     2.7    56.9     2.0   -29.3     1.9
2009.5380   -44.6     2.5    54.5     1.9   -28.6     1.9
2009.5410   -33.4     2.5    54.9     1.9   -27.8     1.9
2009.5434   -31.9     2.5    54.1     1.9   -26.4     1.9
2009.5461   -32.4     2.5    53.8     1.9   -27.4     1.9
2009.5490   -31.0     2.5    54.5     1.9   -28.3     1.9
2009.5520   -28.5     2.5    55.9     1.9   -27.3     1.9
2009.5544   -30.7     2.5    54.7     1.9   -28.1     1.9
2009.5572   -30.1     2.9    53.1     2.2   -27.7     2.1
2009.5600   -31.1     2.6    53.6     1.9   -29.0     2.0
2009.5630   -28.9     2.6    53.9     2.0   -29.9     1.9
2009.5654   -28.5     2.7    53.3     2.0   -29.6     1.9
2009.5681   -30.8     2.6    54.9     1.9   -29.1     2.0
2009.5710   -27.5     2.5    54.0     1.9   -29.6     1.9
2009.5740   -21.2     2.7    53.1     2.0   -28.5     1.9
2009.5762   -35.7     2.5    54.4     1.9   -29.2     1.9
2009.5791   -36.2     2.5    55.0     1.9   -31.7     1.9
2009.5820   -28.0     2.6    54.1     1.9   -28.1     2.0
2009.5844   -23.5     2.5    52.6     1.9   -28.8     1.9
2009.5872   -28.6     2.5    53.4     1.9   -28.7     1.9
2009.5900   -33.4     2.7    52.8     2.0   -28.7     1.9
2009.5930   -36.0     2.5    53.9     1.9   -28.1     1.9
2009.5954   -30.1     2.7    54.1     2.0   -27.5     1.9
2009.5981   -28.8     2.6    53.6     2.0   -28.9     2.0
2009.6010   -26.2     2.6    52.3     2.0   -28.2     2.0
2009.6040   -27.6     2.5    53.5     1.9   -28.8     1.9
2009.6064   -32.1     2.5    53.8     1.9   -28.1     1.9
2009.6092   -29.1     2.5    53.3     1.9   -27.9     1.9
2009.6120   -26.9     2.5    52.9     1.9   -28.0     1.9
2009.6150   -29.9     2.6    53.2     2.0   -28.5     2.0
2009.6174   -31.7     2.5    53.1     1.9   -27.7     1.9
2009.6201   -28.7     2.7    52.3     2.0   -28.9     1.9
2009.6230   -31.5     2.5    52.5     1.9   -27.7     1.9
2009.6260   -29.1     2.7    52.3     2.0   -28.6     1.9
2009.6282   -33.4     2.5    51.9     1.9   -28.1     1.9
2009.6311   -26.4     2.7    52.9     2.0   -27.0     1.9
2009.6340   -26.2     2.5    53.0     1.9   -28.3     1.9
2009.6370   -29.9     2.7    52.4     2.0   -26.8     1.9
2009.6392   -29.9     2.6    49.8     2.0   -28.9     2.0
2009.6420   -27.6     2.7    51.9     2.0   -26.2     1.9
2009.6450   -32.8     2.7    52.4     2.0   -27.1     1.9
2009.6474   -27.1     2.6    51.8     2.0   -27.6     1.9
2009.6501   -26.4     2.5    50.5     1.9   -26.7     1.9
2009.6530   -29.1     2.6    51.0     2.0   -28.3     2.0
2009.6560   -33.3     2.6    51.2     2.0   -26.8     2.0
2009.6584   -33.1     2.6    51.9     1.9   -27.6     2.0
2009.6612   -36.1     2.5    51.8     1.9   -26.3     1.9
2009.6640   -25.2     2.7    51.4     2.0   -26.9     2.0
2009.6670   -24.3     2.5    51.6     1.9   -25.6     1.9
2009.6694   -24.7     2.5    50.8     1.9   -27.0     1.9
2009.6721   -29.6     2.6    51.3     2.0   -27.1     2.0
