% site name: PLPK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6104   -44.3     6.3    52.5     3.6   -63.2     2.0
2007.6132   -43.3     3.2    53.6     1.9   -64.0     1.6
2007.6160   -36.4     3.2    53.2     1.9   -62.7     1.6
2007.6190   -43.1     3.3    53.2     2.1   -62.8     1.6
2007.6214   -40.8     3.6    53.1     2.1   -63.2     1.6
2007.6241   -41.2     3.4    53.5     2.1   -65.2     1.7
2007.6270   -38.6     3.3    54.5     2.1   -64.1     1.6
2007.6300   -39.2     3.3    55.2     2.1   -64.9     1.6
2007.6324   -39.7     3.3    53.6     2.1   -63.8     1.6
2007.6352   -38.5     3.3    54.5     2.0   -64.8     1.5
2007.6380   -37.0     3.3    53.7     2.0   -64.6     1.5
2007.6410   -39.6     3.3    55.1     2.0   -63.3     1.5
2007.6434   -38.0     3.2    55.9     1.9   -63.8     1.6
2007.6461   -38.3     3.3    54.2     2.1   -65.3     1.6
2007.6490   -41.9     3.3    54.1     2.1   -62.1     1.6
2007.6520   -41.7     3.5    54.1     2.1   -63.6     1.6
2007.6542   -40.1     3.6    53.6     2.1   -63.0     1.6
2007.6571   -39.9     3.3    55.0     2.1   -64.5     1.6
2007.6600   -34.7     3.3    54.1     2.1   -61.6     1.6
2007.6630   -36.1     3.3    53.5     2.1   -65.0     1.6
2007.6652   -36.3     3.3    54.5     2.1   -63.5     1.6
2007.6680   -35.8     3.4    54.5     2.1   -64.2     1.7
2007.6710   -33.6     3.6    54.9     2.1   -64.1     1.6
2007.6734   -36.7     3.3    53.5     2.1   -65.2     1.6
2007.6761   -36.9     3.3    54.4     2.0   -64.8     1.5
2007.6790   -33.2     3.3    54.3     2.1   -65.1     1.6
2007.6820   -32.9     3.6    54.3     2.1   -63.6     1.6
2007.6844   -36.5     3.3    54.1     2.1   -62.4     1.6
2007.6872   -35.5     3.3    54.0     2.1   -63.6     1.6
2007.6900   -37.7     3.3    53.5     2.1   -61.6     1.6
2007.6930   -38.3     3.3    54.0     2.1   -63.0     1.6
2007.6954   -40.0     3.3    53.5     2.1   -63.5     1.6
2007.6982   -36.0     3.3    52.9     2.1   -63.0     1.6
2007.7010   -35.7     3.3    53.3     2.0   -62.6     1.5
2007.7040   -32.8     3.3    53.1     2.1   -63.1     1.6
2007.7064   -34.8     3.3    52.9     2.1   -64.6     1.6
2007.7091   -32.6     3.3    55.2     2.1   -62.2     1.6
2007.7120   -35.7     3.3    54.8     2.0   -64.8     1.5
2007.7150   -40.3     3.3    52.7     2.0   -64.0     1.5
2007.7172   -31.6     3.2    54.2     1.9   -62.2     1.6
2007.7200   -35.5     3.3    54.0     2.1   -62.5     1.6
2007.7230   -36.5     3.3    53.9     2.1   -62.5     1.6
2007.7254   -39.4     3.3    53.1     2.1   -61.2     1.6
2007.7282   -34.3     3.3    52.8     2.1   -62.5     1.6
2007.7310   -33.0     3.3    54.0     2.1   -61.6     1.6
2007.7340   -38.9     3.3    53.3     2.1   -62.3     1.6
2007.7364   -37.4     3.3    54.9     2.1   -61.7     1.6
2007.7392   -39.3     3.3    53.3     2.1   -63.0     1.6
2007.7420   -41.4     3.3    54.7     2.1   -61.6     1.6
2007.7450   -41.0     3.7    53.3     2.3   -61.5     1.6
2007.7474   -38.2     3.3    54.1     2.1   -61.7     1.6
2007.7502   -37.9     3.3    55.2     2.1   -63.5     1.6
2007.7530   -35.6     3.3    54.3     2.1   -64.1     1.6
2007.7560   -33.7     3.5    56.2     2.1   -62.4     1.6
2007.7584   -40.3     3.3    53.6     2.0   -62.0     1.5
2007.7611   -43.4     3.3    54.5     2.1   -61.7     1.6
2007.7640   -41.7     3.3    53.4     2.1   -63.0     1.6
2007.7670   -38.3     3.2    55.1     1.9   -60.1     1.6
2007.7692   -35.2     3.4    53.4     2.1   -61.3     1.7
2007.7720   -39.8     3.3    53.3     2.1   -58.9     1.6
