% site name: QAAR
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6600   -42.0     4.9    69.9     2.5   -46.8     2.6
2007.6630   -36.2     3.4    70.5     1.9   -46.7     2.0
2007.6652   -33.4     3.5    71.1     2.0   -45.8     2.0
2007.6680   -36.5     3.5    71.0     1.9   -45.8     2.1
2007.6710   -23.2     3.6    71.9     2.0   -44.1     2.0
2007.6734   -24.6     3.7    71.3     2.0   -45.8     2.2
2007.6761   -32.4     3.4    71.7     1.9   -46.2     2.0
2007.6790   -35.3     3.6    71.5     2.0   -47.3     2.0
2007.6820   -31.2     3.6    72.5     1.9   -45.0     2.1
2007.6844   -31.5     3.5    71.1     1.9   -43.5     2.1
2007.6872   -32.4     3.5    70.9     2.0   -45.2     2.0
2007.6900   -28.9     3.4    70.9     1.9   -43.0     2.0
2007.6930   -32.8     3.4    70.8     1.9   -45.9     2.0
2007.6954   -32.7     3.4    71.5     1.9   -45.0     2.0
2007.6982   -21.8     3.4    71.4     1.9   -42.5     2.0
2007.7010   -22.9     3.4    70.8     1.9   -43.2     2.0
2007.7040   -38.0     3.4    70.0     1.9   -45.7     2.0
2007.7064   -24.2     3.5    71.3     1.9   -45.6     2.1
2007.7091   -30.4     3.4    71.4     1.9   -43.1     2.0
2007.7120   -34.2     3.4    69.6     1.9   -45.4     2.0
2007.7150   -28.2     3.3    69.5     1.9   -44.3     2.0
2007.7172   -26.5     3.3    71.1     1.8   -43.9     1.9
2007.7200   -27.7     3.4    70.5     1.9   -43.1     2.0
2007.7230   -23.3     3.4    69.7     1.9   -43.6     2.0
2007.7254   -25.4     3.5    70.4     1.9   -42.7     2.1
2007.7282   -28.2     3.5    69.6     1.9   -44.2     2.1
2007.7310   -30.7     3.5    70.5     2.0   -44.9     2.0
2007.7340   -30.6     3.4    70.2     1.9   -43.6     2.0
2007.7364   -34.6     3.3    68.7     1.8   -43.5     1.9
2007.7392   -32.4     3.3    69.7     1.9   -43.0     2.0
2007.7420   -23.6     3.5    69.6     1.9   -41.0     2.1
2007.7450   -28.8     3.7    69.8     2.0   -43.7     2.1
2007.7474   -28.2     3.4    70.7     1.9   -43.1     2.0
2007.7502   -23.4     3.5    71.3     2.0   -42.9     2.0
2007.7530   -23.6     3.4    70.1     1.9   -43.5     2.0
2007.7560   -27.6     3.6    71.0     1.9   -40.9     2.1
2007.7584   -28.9     3.6    72.3     2.0   -41.9     2.0
2007.7611   -32.8     3.4    71.0     1.9   -43.8     2.0
2007.7640   -29.9     3.3    69.7     1.9   -43.4     2.0
2007.7670   -20.5     3.2    70.0     1.8   -40.1     1.9
2007.7692   -31.8     3.5    69.6     1.9   -42.5     2.1
2007.7720   -28.6     3.5    70.8     1.9   -41.0     2.1
2007.7750   -30.1     3.5    69.4     1.9   -41.0     2.1
2007.7774   -37.6     3.3    68.0     1.8   -44.2     1.9
2007.7802   -25.5     3.3    69.1     1.8   -41.8     1.9
2007.7830   -27.2     3.3    70.6     1.8   -42.0     1.9
2007.7860   -24.2     3.4    70.3     1.9   -42.3     2.0
2007.7884   -30.5     3.3    69.0     1.8   -44.1     1.9
2007.7912   -27.9     3.5    69.3     1.9   -42.7     2.1
2007.7940   -30.2     3.4    69.0     1.9   -43.4     2.0
2007.7970   -26.2     3.4    68.9     1.9   -42.3     2.0
2007.8000   -23.4     3.6    70.0     2.0   -41.8     2.0
2007.8022   -28.0     3.5    69.8     2.0   -41.7     2.0
2007.8050   -28.7     3.4    69.1     1.9   -42.1     2.0
2007.8080   -29.2     3.4    69.5     1.9   -41.3     2.0
2007.8104   -25.4     3.4    69.6     1.9   -40.3     2.0
2007.8131   -27.6     3.4    69.2     1.9   -41.8     2.0
2007.8160   -18.1     3.4    68.4     1.9   -40.6     2.0
2007.8190   -27.1     3.7    68.4     2.0   -41.4     2.2
2007.8214   -27.6     3.5    69.4     1.9   -42.3     2.1
2007.8240   -24.7     3.3    68.4     1.9   -40.9     2.0
2007.8270   -25.6     3.5    68.0     1.9   -41.9     2.1
2007.8300   -24.8     3.3    68.9     1.9   -41.9     2.0
2007.8322   -21.6     3.3    67.4     1.9   -42.4     2.0
2007.8350   -29.2     3.3    68.9     1.9   -42.0     2.0
2007.8380   -30.7     3.2    68.4     1.8   -43.6     1.9
2007.8404   -32.6     3.3    67.4     1.8   -42.1     1.9
2007.8432   -30.1     3.3    67.2     1.9   -41.5     2.0
2007.8460   -29.1     3.2    67.5     1.8   -40.8     1.9
2007.8490   -33.0     3.2    66.1     1.8   -42.5     1.9
2007.8514   -33.6     3.2    66.5     1.8   -42.9     1.9
2007.8542   -31.8     3.3    67.3     1.8   -41.8     1.9
2007.8570   -22.8     3.4    68.2     1.9   -41.8     2.0
2007.8600   -40.4     3.3    69.9     1.9   -44.8     2.0
2007.8624   -26.7     3.2    68.9     1.8   -42.5     1.9
2007.8652   -26.5     3.3    69.3     1.8   -42.8     1.9
2007.8680   -26.2     3.5    68.3     1.9   -41.8     2.1
2007.8710   -27.9     3.5    68.2     1.9   -41.4     2.1
2007.8734   -28.4     3.5    67.0     1.9   -42.9     2.1
2007.8760   -22.2     8.5    67.6     3.9   -42.0     4.1
2007.8900   -41.8     4.9    66.8     2.4   -48.1     2.7
2007.8924   -53.0     3.5    64.6     1.9   -55.7     2.1
2007.8952   -27.8     3.4    66.7     1.9   -43.9     2.0
2007.8980   -25.3     3.5    67.2     1.9   -44.2     2.1
