% site name: QAQ1
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2001.7762   -26.3     2.7   120.3     2.3   -98.7     2.0
2001.7790   -18.3     2.9   119.5     2.5   -97.6     2.0
2001.7820   -31.1     2.8   117.6     2.3   -98.5     2.0
2001.7844   -30.1     2.8   117.2     2.3  -100.4     2.0
2001.7871   -30.4     2.9   118.3     2.5   -98.6     2.0
2001.7900   -35.4     2.7   118.1     2.3   -99.2     2.0
2001.7930   -33.9     2.9   118.7     2.3   -98.8     2.0
2001.7952   -34.8     2.7   119.6     2.3   -97.4     2.0
2001.7980   -33.0     2.7   120.3     2.3   -99.0     2.0
2001.8010   -21.3     3.1   119.8     2.6   -98.6     2.2
2001.8040   -32.3     3.0   119.9     2.5   -96.4     2.1
2001.8062   -25.6     3.3   120.0     2.8   -97.4     2.2
2001.8090   -28.1     4.0   119.5     3.0   -98.3     2.6
2001.8120   -33.5     2.7   117.9     2.3   -97.5     2.0
2001.8144   -32.6     2.6   119.2     2.1   -97.9     1.9
2001.8172   -29.8     2.8   117.1     2.4   -98.5     2.0
2001.8200   -27.3     2.7   117.2     2.3   -96.0     2.0
2001.8230   -35.5     2.9   119.2     2.3   -97.5     2.0
2001.8254   -20.4     4.4   116.0     3.9  -101.6     2.7
2001.8282   -23.3     3.1   117.5     2.6   -99.1     2.0
2001.8310   -30.2     2.9   119.1     2.3   -98.0     2.0
2001.8340   -31.9     2.9   118.8     2.3   -96.7     2.0
2001.8364   -26.1     3.2   116.9     2.8   -99.9     2.4
2001.8392   -27.4     2.6   119.3     2.1   -99.3     1.9
2001.8420   -27.7     2.6   116.7     2.1   -98.8     1.9
2001.8450   -26.8     2.8   115.5     2.3   -95.8     1.9
2001.8474   -23.3     2.9   116.6     2.3   -96.5     2.0
2001.8500   -13.5     4.1   118.9     3.3   -96.6     2.6
2001.8530   -22.7     2.9   116.4     2.4   -96.7     2.1
2001.8560   -24.9     2.8   114.5     2.3   -98.9     2.0
2001.8582   -19.5     2.9   115.7     2.3   -96.4     2.0
2001.8610   -23.8     2.9   115.8     2.3   -97.0     2.0
2001.8640   -25.3     2.8   115.4     2.3   -97.2     2.0
2001.8664   -35.7     2.7   114.8     2.3   -96.5     2.0
2001.8692   -25.9     2.9   116.3     2.3  -100.8     2.0
2001.8720   -25.7     2.7   116.9     2.3   -99.6     2.0
2001.8750   -21.1     2.7   118.3     2.3   -98.5     2.0
2001.8774   -26.4     2.9   117.3     2.3   -98.7     2.0
2001.8802   -22.4     2.9   117.1     2.3   -96.9     2.0
2001.8830   -28.5     2.8   117.6     2.4   -99.7     2.0
2001.8860   -24.7     3.3   115.0     2.8   -94.9     2.2
2001.8884   -19.0     2.9   116.5     2.3   -95.8     2.0
2001.8912   -26.5     2.7   118.5     2.2   -98.2     1.9
2001.8940   -22.9     2.9   117.9     2.3   -97.6     2.0
2001.8970   -22.7     3.1   117.6     2.6   -97.1     2.2
2001.8994   -22.2     3.6   117.3     2.8   -95.1     2.3
2001.9020   -22.7     2.7   114.2     2.3   -95.9     2.0
2001.9050   -21.1     2.6   113.7     2.1   -95.3     1.9
2001.9080   -26.4     2.7   113.8     2.2   -95.5     1.9
2001.9102   -23.0     2.6   115.5     2.1   -96.8     1.9
2001.9130   -25.2     2.6   115.8     2.1   -96.5     1.9
2001.9160   -24.5     2.7   116.0     2.2   -98.5     1.9
2001.9184   -19.9     2.7   115.5     2.2   -96.5     1.9
2001.9212   -17.6     2.6   117.6     2.3   -96.6     1.9
2001.9240   -20.9     2.8   115.3     2.3   -94.2     1.9
2001.9270   -23.6     2.9   115.7     2.3   -93.7     2.0
2001.9294   -23.4     2.9   115.3     2.4   -95.6     2.1
2001.9322   -20.5     2.9   116.2     2.3   -95.9     2.0
2001.9350   -18.8     2.8   115.9     2.3   -94.6     1.9
2001.9380   -25.1     2.7   115.8     2.3   -95.7     2.0
2001.9410   -25.0     2.8   116.4     2.3   -94.8     2.0
2001.9432   -28.2     2.8   115.7     2.2   -92.7     1.9
2001.9460   -27.4     2.8   115.0     2.3   -95.5     1.9
2001.9490   -21.0     3.1   114.9     2.6   -95.8     2.1
2001.9514   -25.8     2.8   116.5     2.3   -96.5     2.0
2001.9541   -28.8     2.7   115.6     2.3   -93.9     2.0
