% site name: QEQE
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2005.9432   -58.1     7.0    97.9     3.8   -59.5     3.9
2005.9460   -36.4     3.3    98.3     2.1   -56.8     2.2
2005.9490   -34.4     3.3    97.7     2.1   -57.5     2.2
2005.9514   -34.9     3.1    97.1     2.0   -56.9     2.0
2005.9541   -35.9     3.1    98.1     2.0   -56.0     2.0
2005.9570   -40.5     3.1    99.2     2.0   -54.7     2.0
2005.9600   -34.7     3.3    98.7     2.0   -53.4     2.1
2005.9624   -33.2     3.2    98.5     2.0   -54.0     2.1
2005.9650   -36.5     3.1    98.6     2.0   -55.0     2.0
2005.9680   -32.9     3.2    97.3     2.0   -56.4     2.1
2005.9710   -39.9     3.7    97.8     2.3   -54.2     2.3
2005.9732   -37.3     3.4    97.7     2.2   -56.6     2.2
2005.9760   -36.9     3.2    98.0     2.0   -58.5     2.1
2005.9790   -34.7     3.1    97.4     2.0   -54.8     2.0
2005.9814   -38.8     3.3    97.5     2.0   -55.7     2.1
2005.9842   -36.2     3.3    97.8     2.1   -55.0     2.2
2005.9870   -39.8     3.4    97.7     2.0   -54.9     2.1
2005.9900   -34.5     3.5   100.0     2.2   -55.6     2.2
2005.9930   -30.7     3.8    99.0     2.3   -52.7     2.4
2005.9952   -28.8     3.9    99.5     2.5   -54.5     2.4
2006.0062   -32.1     4.6    97.8     2.8   -53.3     2.8
2006.0090   -37.8     3.1    97.2     2.0   -53.9     2.0
2006.0120   -38.0     3.0    98.4     2.0   -52.7     1.9
2006.0144   -36.0     3.1    96.9     2.0   -54.7     2.0
2006.0170   -39.8     3.5    96.0     2.2   -53.5     2.2
2006.0252   -38.6     4.7    98.9     2.9   -54.1     2.8
2006.0280   -33.8     3.8    96.4     2.5   -54.3     2.4
2006.0310   -30.7     3.1    96.1     2.0   -53.7     2.0
2006.0334   -35.5     3.1    97.5     2.0   -49.4     2.0
2006.0362   -36.9     3.1    96.5     2.0   -53.1     2.0
2006.0390   -36.3     3.1    97.1     2.0   -53.1     2.0
2006.0420   -32.6     3.1    96.3     2.0   -52.7     2.0
2006.0450   -38.2     3.3    96.7     2.0   -51.9     2.1
2006.0472   -37.9     3.3    96.7     2.0   -52.8     2.1
2006.0500   -31.9     3.3    97.5     2.0   -52.3     2.1
2006.0530   -29.5     3.3    97.0     2.2   -51.7     2.2
2006.0554   -34.8     3.1    94.9     2.0   -53.9     2.0
2006.0582   -38.6     3.1    95.0     2.0   -52.9     2.0
2006.0610   -38.1     3.1    96.2     2.0   -53.3     2.0
