% site name: RINK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6630   -44.2     4.3    64.7     2.4   -58.7     2.2
2007.6652   -39.1     3.3    64.7     2.0   -55.6     1.9
2007.6680   -37.5     3.2    64.3     1.9   -57.9     1.9
2007.6710   -32.4     3.5    64.7     2.0   -57.0     1.9
2007.6734   -38.9     3.6    63.9     2.0   -57.5     2.0
2007.6761   -37.1     3.2    65.4     1.9   -56.9     1.9
2007.6790   -34.2     3.5    64.4     2.0   -58.5     1.9
2007.6820   -39.6     3.3    65.2     1.9   -57.2     1.9
2007.6844   -38.0     3.3    63.2     2.0   -56.8     1.9
2007.6872   -29.8     3.3    64.5     2.0   -57.1     1.9
2007.6900   -34.2     3.2    64.3     2.0   -55.8     1.8
2007.6930   -37.8     3.2    64.2     2.0   -56.3     1.8
2007.6954   -35.2     3.3    63.9     2.0   -56.2     1.9
2007.6982   -32.8     3.2    63.9     1.9   -55.3     1.9
2007.7010   -33.9     3.2    65.4     1.8   -56.6     1.8
2007.7040   -44.4     3.2    63.1     2.0   -55.0     1.8
2007.7064   -42.3     3.3    64.5     2.0   -56.8     1.9
2007.7091   -41.2     3.2    63.8     1.9   -55.2     1.9
2007.7120   -33.4     3.2    63.3     1.9   -56.9     1.9
2007.7150   -33.5     3.3    63.0     1.8   -57.3     1.8
2007.7172   -35.2     3.1    63.9     1.9   -56.1     1.9
2007.7200   -36.9     3.2    63.9     1.9   -54.9     1.9
2007.7230   -35.1     3.2    62.9     1.9   -54.7     1.9
2007.7254   -35.9     3.4    63.2     2.0   -53.7     1.9
2007.7282   -36.2     3.5    62.9     2.0   -55.4     2.0
2007.7310   -39.8     3.4    63.9     2.0   -56.1     1.9
2007.7340   -38.3     3.2    63.9     2.0   -54.3     1.8
2007.7364   -35.5     3.2    63.3     1.8   -53.9     1.8
2007.7392   -37.2     3.1    63.1     1.9   -56.0     1.9
2007.7420   -39.5     3.4    62.9     2.0   -53.3     1.9
2007.7450   -38.6     3.7    62.2     2.0   -55.6     2.0
2007.7474   -37.8     3.4    64.0     2.0   -53.3     1.9
2007.7502   -36.5     3.5    64.6     2.0   -55.5     2.0
2007.7530   -32.5     3.3    63.2     2.0   -55.3     1.9
2007.7560   -35.0     3.6    63.1     2.0   -53.7     2.0
2007.7584   -41.6     3.5    64.4     2.0   -53.9     1.9
2007.7611   -40.8     3.3    65.3     2.0   -53.5     1.9
2007.7640   -39.2     3.2    64.0     2.0   -55.1     1.8
2007.7670   -35.1     3.1    64.6     1.9   -52.5     1.9
2007.7692   -44.4     3.4    63.2     2.0   -53.6     1.9
2007.7720   -46.5     3.3    63.4     2.0   -52.1     1.9
2007.7750   -48.9     3.3    63.6     2.0   -51.2     1.9
2007.7774   -43.8     3.2    62.9     1.8   -54.6     1.8
2007.7802   -38.0     3.2    63.2     2.0   -53.3     1.8
2007.7830   -38.3     3.1    65.2     1.9   -54.3     1.9
2007.7860   -37.4     3.2    63.9     1.9   -54.5     1.9
2007.7884   -33.9     3.2    62.8     2.0   -54.6     1.8
2007.7912   -39.0     3.2    62.8     2.0   -54.2     1.8
2007.7940   -39.3     3.2    62.7     2.0   -54.2     1.8
2007.7970   -36.4     3.4    63.2     2.0   -54.1     1.9
2007.8000   -37.7     3.5    63.0     2.0   -53.4     1.9
2007.8022   -37.3     3.4    63.8     2.0   -52.5     1.9
2007.8050   -38.0     3.3    62.9     2.0   -53.8     1.9
2007.8080   -41.0     3.3    63.0     2.0   -52.8     1.9
2007.8104   -35.4     3.3    63.5     2.0   -50.8     1.9
2007.8131   -33.7     3.2    63.4     2.0   -53.3     1.8
