% site name: SCBY
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6872   -35.6     7.7    97.0     2.6   -40.5     2.6
2007.6900   -39.5     4.2    93.3     1.8   -38.2     1.8
2007.6930   -43.8     4.3    94.5     1.8   -39.2     1.8
2007.6954   -39.2     4.2    94.4     1.7   -38.2     1.8
2007.6982   -40.4     4.3    95.2     1.8   -38.8     1.8
2007.7010   -37.3     4.1    94.4     1.7   -39.5     1.8
2007.7040   -44.0     4.2    92.7     1.8   -38.4     1.8
2007.7064   -40.9     4.3    93.5     1.8   -39.9     1.8
2007.7091   -36.4     4.2    94.2     1.8   -36.5     1.8
2007.7120   -33.1     4.3    93.4     1.7   -37.7     1.8
2007.7150   -38.5     4.4    93.2     1.8   -38.5     1.8
2007.7172   -27.4     4.4    94.6     1.7   -37.7     1.9
2007.7200   -40.9     4.4    93.7     1.8   -37.4     1.8
2007.7230   -36.6     4.3    93.3     1.7   -37.9     1.8
2007.7254   -37.4     4.3    93.7     1.8   -37.8     1.8
2007.7282   -39.5     4.4    92.8     1.8   -38.2     1.8
2007.7310   -42.7     4.3    93.0     1.7   -39.0     1.8
2007.7340   -38.6     4.4    92.9     1.8   -37.3     1.8
2007.7364   -31.8     4.4    92.5     1.8   -36.4     1.8
2007.7392   -40.9     4.6    93.3     1.9   -37.0     1.9
2007.7420   -41.0     4.4    92.5     1.8   -36.1     1.8
2007.7450   -40.3     4.2    92.7     1.8   -38.5     1.8
2007.7474   -29.3     4.5    94.2     1.8   -36.5     1.8
2007.7502   -37.2     4.2    93.9     1.7   -36.5     1.8
2007.7530   -34.4     4.5    93.4     1.8   -37.8     1.8
2007.7560   -39.9     4.6    93.9     1.8   -36.5     1.8
2007.7584   -37.9     4.5    93.9     1.8   -35.9     1.8
2007.7611   -28.9     6.4    95.2     2.1   -34.9     2.3
2007.7640   -40.5     4.6    93.8     1.8   -37.6     1.8
2007.7670   -37.4     4.6    92.8     1.8   -36.7     1.8
2007.7692   -43.1     4.8    92.6     1.9   -37.1     2.0
2007.7720   -40.8     4.7    93.0     1.9   -38.3     1.9
2007.7750   -45.1     4.5    91.3     1.8   -35.0     1.8
2007.7774   -37.9     4.4    92.1     1.8   -36.2     1.8
2007.7802   -37.5     4.6    92.1     1.9   -36.2     1.9
2007.7830   -41.3     4.7    92.2     1.8   -36.6     1.9
2007.7860   -36.1     4.7    93.7     1.8   -36.8     1.9
2007.7884   -42.0     4.7    91.5     1.8   -38.0     1.9
2007.7912   -42.8     4.6    92.2     1.8   -37.2     1.8
2007.7940   -34.0     4.7    91.9     1.9   -37.2     1.9
2007.7970   -41.1     4.9    91.1     1.9   -38.2     2.0
2007.8000   -40.9     4.5    92.3     1.8   -35.2     1.8
2007.8022   -37.9     4.7    92.5     1.9   -34.4     1.9
2007.8050   -47.4     4.7    93.0     1.9   -37.0     1.9
2007.8080   -42.2     4.8    91.3     1.9   -34.6     2.0
2007.8104   -34.6     4.8    92.6     1.9   -33.2     2.0
2007.8131   -40.1     4.7    92.3     1.9   -36.6     1.9
2007.8160   -38.5     5.0    91.3     1.9   -35.4     2.0
2007.8190   -38.7     4.7    91.7     1.9   -35.2     1.9
2007.8214   -34.0     4.7    93.1     1.9   -35.1     1.9
2007.8240   -35.8     4.8    92.9     1.9   -35.2     2.0
2007.8270   -34.5     5.0    92.1     1.9   -35.8     2.0
2007.8300   -38.0     4.8    92.1     1.9   -36.8     2.0
2007.8322   -39.3     4.7    91.0     1.8   -37.3     1.9
2007.8350   -39.5     4.6    92.2     1.8   -38.2     1.8
2007.8380   -29.8    14.2    92.2     4.2   -41.4     4.8
2008.2460   -32.1     7.3    83.5     2.6   -33.6     2.5
2008.2490   -42.7     5.7    82.7     2.1   -35.6     2.1
2008.2512   -52.5     5.5    81.5     2.1   -38.2     2.1
2008.2540   -49.3     5.4    82.5     2.0   -35.2     2.1
2008.2570   -48.5     4.6    82.7     1.9   -34.4     1.9
2008.2593   -48.7     4.8    81.6     1.9   -34.8     2.0
2008.2620   -44.4     4.7    81.8     1.9   -34.4     1.9
2008.2650   -45.1     4.6    81.7     1.9   -34.5     1.9
2008.2680   -44.3     4.7    82.5     1.9   -35.8     1.9
2008.2703   -39.8     4.7    82.0     1.8   -33.5     1.9
2008.2730   -43.4     4.8    81.6     1.9   -35.0     2.0
2008.2760   -43.3     4.6    81.1     1.9   -35.3     1.9
2008.2790   -45.4     4.7    81.4     1.9   -35.3     1.9
2008.2812   -34.5     4.7    81.6     1.9   -33.9     1.9
2008.2840   -34.5     4.7    82.5     1.9   -33.6     1.9
2008.2870   -37.2     4.7    82.2     1.9   -33.7     1.9
2008.2900   -34.6     4.7    82.5     1.9   -32.1     1.9
2008.2923   -34.9     4.8    81.1     1.9   -33.7     2.0
2008.2950   -35.2     4.7    81.5     1.9   -31.6     1.9
2008.2980   -45.1     4.6    81.1     1.9   -33.2     1.9
2008.3010   -48.2     4.6    81.8     1.9   -32.7     1.9
2008.3032   -44.2     4.6    80.4     1.9   -32.7     1.9
2008.3060   -50.0     4.5    80.9     1.9   -32.3     1.9
2008.3090   -51.1     4.6    80.7     1.9   -33.1     1.9
2008.3114   -38.1     4.9    81.3     2.0   -33.6     1.9
2008.3142   -41.4     4.8    80.0     1.9   -34.2     2.0
2008.3170   -50.0     4.4    81.6     1.8   -34.2     1.8
2008.3200   -45.8     4.6    80.4     1.9   -33.0     1.9
2008.3223   -45.9     4.8    79.5     1.9   -33.7     2.0
2008.3250   -44.9     4.6    80.0     1.9   -32.2     1.9
2008.3280   -38.8     5.0    80.4     2.0   -33.3     1.9
2008.3310   -48.7     4.5    79.6     1.8   -32.8     1.8
2008.3332   -47.2     4.5    79.9     1.8   -33.4     1.8
2008.3360   -44.2     4.6    80.6     1.8   -33.0     1.8
2008.3390   -45.7     4.5    80.7     1.8   -33.5     1.8
2008.3420   -45.3     4.7    80.9     1.9   -33.5     1.9
2008.3443   -38.1     4.5    80.2     1.8   -33.2     1.8
2008.3470   -50.0     4.4    82.1     1.8   -32.3     1.8
2008.3500   -38.8     4.7    80.8     1.9   -32.7     1.9
2008.3530   -39.0     4.6    81.8     1.8   -32.7     1.8
2008.3552   -39.3     4.6    81.0     1.9   -32.5     1.9
2008.3580   -34.4     4.5    80.7     1.8   -33.1     1.8
2008.3610   -36.2     4.6    81.3     1.8   -31.4     1.8
2008.3634   -33.9     4.4    81.5     1.8   -31.7     1.8
2008.3662   -38.8     4.4    79.9     1.8   -33.3     1.8
2008.3690   -42.3     4.5    80.6     1.8   -32.7     1.8
2008.3720   -40.5     4.4    79.9     1.8   -31.5     1.8
2008.3743   -36.6     4.6    79.6     1.8   -32.3     1.8
2008.3770   -46.6     4.3    79.8     1.7   -32.3     1.8
2008.3800   -47.8     4.3    79.4     1.8   -32.7     1.8
2008.3830   -33.8     4.7    81.4     1.8   -33.2     1.9
