% site name: SCOR
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2004.6980   -17.6     3.4    59.7     1.8  -105.9     1.3
2004.7001   -19.0     3.4    58.0     1.8  -107.6     1.2
2004.7030   -27.3     3.4    58.0     1.9  -108.6     1.3
2004.7060   -24.8     4.0    58.5     2.0  -109.9     1.3
2004.7083   -24.5     3.7    59.1     1.9  -108.9     1.3
2004.7111   -22.3     3.7    60.3     1.9  -109.3     1.3
2004.7140   -23.7     3.6    62.2     1.9  -105.7     1.3
2004.7170   -26.7     3.4    60.5     1.8  -111.7     1.3
2004.7193   -34.1     3.4    60.6     1.8  -107.8     1.2
2004.7220   -41.6     3.4    67.3     1.8   -98.7     1.2
2004.7250   -28.0     3.4    60.1     1.9  -100.6     1.3
2004.7280   -13.1     3.7    57.7     1.9  -106.8     1.3
2004.7303   -20.6     3.5    57.0     1.9  -106.0     1.3
2004.7331   -21.6     3.4    58.7     1.9  -107.2     1.3
2004.7360   -22.7     3.4    59.1     1.8  -109.5     1.2
2004.7390   -26.3     3.4    59.5     1.8  -106.9     1.3
2004.7413   -20.9     3.3    59.2     1.7  -107.7     1.3
2004.7440   -20.7     3.4    59.4     1.8  -108.5     1.2
2004.7470   -24.0     3.4    60.5     1.8  -107.3     1.3
2004.7500   -24.7     3.3    59.4     1.8  -109.5     1.2
2004.7521   -26.5     3.4    58.5     1.8  -107.1     1.2
2004.7550   -22.0     3.4    59.6     1.9  -106.0     1.3
2004.7580    -4.9     3.7    56.8     1.9  -108.7     1.3
2004.7631   -18.8     3.4    57.5     1.9  -106.3     1.3
2004.7660   -22.2     3.4    57.2     1.9  -107.7     1.3
2004.7690   -19.7     3.2    59.3     1.7  -105.2     1.3
2004.7713   -23.7     3.4    59.5     1.9  -105.3     1.3
2004.7740   -19.8     3.5    57.8     1.9  -104.0     1.3
2004.7770   -27.7     3.5    58.0     1.9  -105.3     1.3
2004.7800   -27.3     3.7    58.3     1.9  -108.1     1.3
2004.7823   -24.4     3.4    58.5     1.9  -105.8     1.3
2004.7851   -13.9     4.4    57.3     2.2  -107.5     1.5
2004.7880   -26.6     4.0    58.2     2.0  -106.9     1.3
2004.7910   -22.2     3.6    58.8     1.9  -107.1     1.3
2004.7933   -20.6     3.3    59.2     1.7  -106.5     1.3
2004.7960   -17.8     3.2    60.0     1.7  -106.4     1.3
2004.7990   -17.5     3.4    58.3     1.9  -102.7     1.3
2004.8020   -15.2     3.4    57.8     1.9  -106.2     1.3
2004.8041   -15.8     3.5    58.5     1.9  -104.5     1.3
2004.8070   -14.4     3.5    57.9     1.9  -103.3     1.3
2004.8100   -19.9     3.5    58.7     1.9  -103.8     1.3
2004.8124   -21.6     3.4    58.2     1.8  -105.8     1.2
2004.8151   -25.4     3.7    57.1     1.9  -104.8     1.3
2004.8180   -24.7     3.6    57.1     1.9  -105.7     1.3
2004.8210   -22.1     3.4    57.9     1.9  -105.7     1.3
2004.8233   -16.1     3.4    57.3     1.8  -104.7     1.3
2004.8260   -20.1     3.4    59.9     1.8  -105.6     1.2
2004.8290   -24.0     3.6    58.7     1.9  -104.9     1.3
2004.8320   -17.8     3.9    60.4     1.9  -108.0     1.3
2004.8343   -10.6     3.6    59.8     1.9  -108.2     1.3
2004.8371   -12.2     3.4    59.3     1.8  -105.6     1.3
2004.8400   -15.3     3.4    58.1     1.9  -104.3     1.3
2004.8430   -16.4     3.7    60.0     1.9  -103.9     1.3
2004.8453   -20.2     3.4    57.5     1.9  -105.3     1.3
2004.8480   -17.5     3.4    58.3     1.8  -105.4     1.2
2004.8510   -17.1     3.4    59.4     1.8  -105.1     1.2
2004.8540   -16.3     3.7    57.3     1.9  -105.7     1.3
2004.8563   -18.6     4.3    58.4     2.1  -105.3     1.5
2004.8590   -28.0     5.0    59.5     2.4  -105.0     1.4
2004.8620   -14.2     4.9    60.9     2.3  -105.4     1.4
2004.8650   -19.8     3.7    58.3     1.9  -107.9     1.3
2004.8671   -14.4     3.8    59.7     1.9  -104.8     1.4
2004.8700   -19.3     3.4    57.9     1.9  -105.7     1.3
2004.8730   -17.9     3.4    61.7     1.8  -103.0     1.3
2004.8753   -22.3     3.4    56.4     1.8  -104.2     1.2
2004.8781   -21.5     3.6    54.5     1.9  -102.5     1.3
2004.8810   -16.7     3.4    56.8     1.9  -103.0     1.3
2004.8840   -19.9     3.4    55.5     1.8  -104.0     1.3
2004.8863   -17.0     3.4    56.7     1.8  -103.5     1.3
2004.8891   -25.8     3.7    55.1     1.9  -102.9     1.3
2004.8920   -29.0     3.8    54.7     2.0  -103.3     1.3
2004.8950   -27.9     3.4    57.6     1.9  -103.6     1.3
2004.8973   -24.0     3.5    56.8     1.9  -103.0     1.3
2004.9001   -25.7     3.7    56.4     1.9  -104.6     1.3
2004.9030   -19.6     4.2    56.2     2.1  -106.1     1.3
2004.9060   -22.8     3.8    57.9     1.9  -104.0     1.2
2004.9083   -24.5     3.9    56.7     2.0  -102.8     1.3
2004.9110   -16.8     4.0    57.9     2.0  -105.9     1.3
2004.9140   -20.9     3.5    56.2     1.9  -103.8     1.3
2004.9170   -21.2     3.8    57.1     1.9  -101.2     1.2
2004.9191   -15.3     3.7    57.7     1.9  -101.7     1.3
2004.9220   -22.4     3.4    58.0     1.8  -102.9     1.2
2004.9250   -19.8     3.4    56.3     1.8  -103.5     1.2
2004.9273   -17.8     3.3    57.6     1.8  -102.9     1.2
2004.9301   -23.9     3.4    56.2     1.8  -102.9     1.3
2004.9330   -17.6     4.0    55.8     2.0  -104.4     1.4
2004.9360   -17.9     3.7    56.0     1.9  -104.1     1.3
2004.9383   -28.5     3.5    56.7     1.9  -104.0     1.3
2004.9410   -19.2     3.5    58.8     1.9  -102.8     1.3
2004.9440   -20.7     3.9    56.8     1.9  -103.3     1.3
2004.9470   -15.7     3.5    57.7     1.9  -103.4     1.3
2004.9493   -14.5     3.7    59.1     1.9   -99.4     1.3
2004.9521   -24.9     3.5    59.8     1.9  -101.3     1.3
2004.9550   -20.2     3.4    56.4     1.8  -101.8     1.3
2004.9580   -16.3     3.6    56.5     1.9  -102.0     1.4
2004.9603   -20.1     3.6    54.1     1.8  -102.2     1.2
2004.9630   -18.5     3.9    54.7     1.9  -103.7     1.3
2004.9660   -22.0     3.5    54.9     1.9  -103.2     1.3
2004.9690   -23.2     3.4    54.8     1.8  -104.4     1.3
