% site name: SENU
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2008.3743   -41.8     3.3    61.2     2.8   -45.6     2.4
2008.3770   -44.8     2.7    62.7     2.2   -43.6     1.9
2008.3800   -45.2     2.6    61.9     2.1   -42.8     2.0
2008.3830   -44.3     2.6    62.9     2.2   -43.5     2.0
2008.3853   -46.7     2.6    61.9     2.3   -43.1     2.0
2008.3880   -42.6     2.6    62.2     2.3   -43.6     2.0
2008.3910   -45.0     2.7    62.8     2.3   -42.8     2.0
2008.3940   -44.5     2.6    61.7     2.3   -44.2     2.0
2008.3962   -46.2     2.6    63.3     2.2   -43.4     2.0
2008.3990   -44.0     2.6    65.1     2.2   -46.6     2.0
2008.4020   -42.3     2.6    62.5     2.3   -42.0     2.0
2008.4050   -47.8     2.5    62.4     2.2   -41.2     2.0
2008.4073   -51.2     4.3    62.5     3.4   -42.7     2.9
2008.4100   -47.3     2.6    62.5     2.3   -43.9     2.0
2008.4130   -46.6     2.6    61.4     2.3   -42.2     2.0
2008.4160   -41.5     2.6    60.4     2.2   -41.7     2.0
2008.4182   -45.4     2.6    60.7     2.3   -42.1     2.0
2008.4210   -43.6     2.7    61.1     2.3   -42.9     2.0
2008.4240   -41.9     2.6    61.6     2.3   -41.8     2.0
2008.4263   -45.4     2.6    61.0     2.3   -40.0     2.0
2008.4291   -46.5     2.6    61.0     2.1   -41.6     2.0
2008.4320   -43.5     2.8    61.8     2.3   -42.0     2.1
2008.4350   -44.8     2.7    62.4     2.3   -42.3     2.0
2008.4373   -46.3     2.6    60.8     2.3   -41.7     2.0
2008.4400   -42.8     2.6    61.6     2.3   -42.3     2.0
2008.4430   -42.7     2.6    62.7     2.2   -41.2     2.0
2008.4460   -46.4     2.6    60.6     2.2   -42.1     2.0
2008.4482   -44.3     2.6    60.2     2.3   -41.7     2.0
2008.4510   -37.2     2.6    59.6     2.1   -42.6     2.0
2008.4540   -43.4     2.7    60.7     2.3   -44.3     2.0
2008.4570   -45.0     2.9    59.4     2.4   -42.5     2.1
2008.4593   -39.7     2.6    60.5     2.3   -43.7     2.0
2008.4620   -41.2     2.6    59.0     2.3   -43.9     2.0
