% site name: SRMP
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6160   -77.5     8.3    84.3     3.9   -39.9     3.9
2007.6190   -70.9     3.3    84.0     1.9   -36.9     1.9
2007.6214   -66.7     3.4    84.6     1.9   -37.5     2.0
2007.6241   -68.1     3.3    83.6     1.8   -37.5     1.8
2007.6270   -65.4     3.3    84.9     1.8   -38.3     1.8
2007.6300   -71.0     3.2    86.1     1.8   -38.6     1.8
2007.6324   -68.5     3.3    84.6     1.8   -37.2     1.8
2007.6352   -71.6     3.3    86.1     1.8   -38.5     1.8
2007.6380   -64.9     3.3    83.7     1.8   -38.3     1.8
2007.6410   -71.1     3.1    85.6     1.8   -37.0     1.9
2007.6434   -68.5     3.3    85.7     1.9   -35.9     1.9
2007.6461   -68.8     3.2    84.3     1.8   -37.6     1.8
2007.6490   -67.9     3.1    85.5     1.8   -37.2     1.9
2007.6520   -67.4     3.4    84.9     1.9   -36.4     2.0
2007.6542   -68.9     3.5    85.0     1.9   -37.2     2.0
2007.6571   -69.0     3.3    86.2     1.8   -37.4     1.8
2007.6600   -70.6     3.3    83.5     1.9   -37.4     1.9
2007.6630   -68.4     3.3    84.1     1.8   -38.5     1.8
2007.6652   -72.1     3.3    85.0     1.8   -36.8     1.9
2007.6680   -72.0     3.3    84.3     1.9   -37.2     1.9
2007.6710   -66.7     3.3    85.1     1.8   -37.5     1.9
2007.6734   -66.7     3.5    84.7     1.9   -39.2     2.0
2007.6761   -62.8     3.3    84.6     1.8   -36.9     1.8
2007.6790   -67.9     3.3    85.4     1.8   -38.0     1.9
2007.6820   -64.8     3.3    85.2     1.9   -37.5     1.9
2007.6844   -64.2     3.3    83.5     1.9   -36.2     1.9
2007.6872   -68.4     3.3    84.5     1.8   -36.9     1.8
2007.6900   -69.5     3.3    84.1     1.9   -36.1     1.9
2007.6930   -66.5     3.3    84.6     1.8   -36.2     1.8
2007.6954   -66.1     3.2    83.9     1.8   -35.6     1.9
2007.6982   -64.1     3.1    84.5     1.8   -37.1     1.9
2007.7010   -66.9     3.1    84.2     1.8   -35.7     1.9
