% site name: THU2
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
1999.2140   -55.1     7.1   190.6     2.7   -47.2     3.5
1999.2163   -56.6     4.2   193.5     1.8   -42.5     2.3
1999.2190   -49.8     4.5   191.6     1.9   -43.0     2.5
1999.2244   -49.8     4.5   193.5     1.8   -42.0     2.4
1999.2381   -41.7     4.4   190.7     1.8   -38.3     2.4
1999.2410   -53.9     5.7   191.2     2.1   -39.9     2.9
1999.2440   -47.3     4.3   190.7     1.8   -40.7     2.3
1999.2464   -52.0     5.2   190.6     2.0   -42.9     2.7
1999.2491   -46.4     4.4   189.7     1.8   -42.9     2.4
1999.2550   -49.5     4.2   190.9     1.8   -40.5     2.3
1999.2574   -53.4     4.4   191.2     1.8   -42.0     2.4
1999.2601   -49.4     4.3   190.2     1.8   -42.0     2.3
1999.2660   -41.0     4.3   190.4     1.8   -40.6     2.3
1999.2683   -48.0     4.3   188.0     1.8   -40.4     2.3
1999.2710   -48.0     4.5   188.6     2.0   -40.6     2.4
1999.2740   -48.7     4.3   189.4     1.8   -41.2     2.3
1999.2764   -45.3     4.4   190.3     1.8   -40.7     2.4
1999.2792   -47.6     4.4   190.7     1.8   -41.2     2.4
1999.2820   -44.3     4.3   189.9     1.8   -42.0     2.3
1999.2850   -52.0     4.3   190.6     1.8   -40.8     2.3
1999.2874   -57.4     4.3   189.4     1.8   -42.6     2.3
1999.2901   -46.4     4.8   190.8     2.0   -40.9     2.5
1999.2930   -50.2     4.5   190.9     1.9   -40.9     2.5
1999.2960   -41.2     4.4   189.7     1.9   -40.4     2.4
1999.2983   -46.5     4.4   190.3     1.8   -38.8     2.4
1999.3011   -53.8     4.6   189.7     1.9   -40.6     2.5
1999.3040   -52.4     4.5   190.5     1.8   -42.5     2.4
1999.3070   -54.6     5.0   189.6     2.0   -40.4     2.7
1999.3121   -49.6     4.5   189.8     1.8   -42.4     2.4
1999.3150   -55.2     4.6   190.2     1.9   -40.4     2.5
1999.3180   -62.7     4.6   190.6     1.9   -40.8     2.5
1999.3203   -55.5     5.3   189.6     2.1   -42.9     2.8
1999.3231   -57.7     4.6   188.2     1.9   -42.6     2.5
1999.3260   -59.8     5.1   190.9     2.1   -44.1     2.7
1999.3284   -48.8     4.6   190.0     1.9   -39.3     2.5
1999.3312   -45.5     5.5   190.8     2.2   -41.2     2.9
1999.3340   -45.8     4.8   191.5     2.0   -40.5     2.6
1999.3370   -51.2     5.1   190.8     2.0   -40.7     2.7
1999.3394   -58.2     5.6   189.6     2.1   -43.5     2.9
1999.3421   -55.0     4.7   189.8     2.0   -39.5     2.5
1999.3450   -67.1     5.7   190.9     2.2   -41.4     2.8
1999.3503   -52.1     4.8   188.0     2.0   -42.1     2.6
1999.3531   -58.1     4.4   187.4     1.8   -42.6     2.4
1999.3560   -51.6     4.7   187.0     2.0   -42.2     2.5
1999.3590   -60.2     4.8   187.1     2.0   -42.0     2.6
1999.3614   -64.0     4.9   188.1     2.0   -41.4     2.5
1999.3670   -54.8     5.1   188.2     2.0   -41.5     2.7
1999.3700   -58.1     4.8   188.3     2.0   -42.0     2.5
1999.3723   -57.3     4.4   187.0     1.8   -41.8     2.4
1999.4982   -50.2     4.6   183.2     2.0   -41.4     2.5
1999.5120   -53.6     5.0   183.7     2.0   -39.0     2.7
1999.5150   -56.7     4.8   185.4     2.0   -37.4     2.5
1999.5174   -59.7     4.4   184.1     1.8   -40.2     2.4
1999.5201   -54.7     4.5   184.5     1.8   -40.9     2.4
1999.5230   -54.0     4.5   185.4     1.8   -38.1     2.4
1999.5260   -48.3     4.4   183.4     1.8   -41.1     2.4
1999.5284   -50.9     4.4   184.4     1.8   -41.8     2.4
1999.5311   -55.0     4.4   183.2     1.8   -39.9     2.4
1999.5340   -50.3     4.5   182.9     1.8   -40.6     2.4
1999.5370   -50.0     4.6   184.8     1.9   -35.2     2.4
1999.5394   -49.3     4.7   184.0     2.0   -38.8     2.5
1999.5421   -45.8     4.5   183.7     1.8   -41.3     2.4
1999.5450   -51.6     4.4   184.4     1.8   -41.6     2.4
1999.5480   -54.2     4.4   184.2     1.8   -38.8     2.4
1999.5502   -49.4     4.3   185.4     1.8   -38.6     2.3
1999.5530   -62.8     4.3   185.2     1.8   -38.1     2.3
1999.5560   -49.9     4.3   182.2     1.8   -39.2     2.3
1999.5584   -46.6     4.4   182.3     1.8   -40.2     2.4
1999.5612   -45.2     4.3   181.6     1.8   -39.3     2.3
1999.5640   -45.0     4.3   181.8     1.8   -40.0     2.3
1999.5670   -44.9     4.4   182.6     1.8   -37.9     2.4
1999.5694   -51.8     5.8   183.0     2.1   -38.1     2.9
1999.5721   -59.9     5.0   183.3     2.0   -38.6     2.6
1999.5750   -57.8     5.0   182.2     2.1   -40.3     2.5
1999.5780   -59.0     4.3   183.9     1.8   -38.1     2.3
1999.5804   -54.4     4.2   182.6     1.8   -37.0     2.3
1999.5832   -56.7     4.3   183.2     1.8   -37.6     2.3
1999.5860   -67.8     4.2   182.5     1.8   -40.5     2.3
1999.5890   -51.3     4.3   182.3     1.8   -38.3     2.3
1999.5914   -55.0     4.3   181.7     1.9   -40.0     2.3
1999.5941   -59.6     4.2   182.4     1.8   -39.6     2.3
1999.5970   -60.9     4.3   183.2     1.8   -39.2     2.3
1999.6000   -58.6     4.3   182.7     1.8   -37.8     2.3
1999.6022   -57.0     4.2   181.2     1.8   -39.2     2.3
1999.6051   -49.2     4.3   181.0     1.8   -36.3     2.3
1999.6080   -45.1     4.5   182.7     1.9   -39.5     2.3
1999.6104   -52.6     4.4   180.6     1.8   -38.0     2.4
1999.6132   -53.1     4.2   181.7     1.8   -39.8     2.3
1999.6160   -46.6     4.2   181.7     1.8   -39.0     2.3
1999.6190   -50.2     4.1   183.3     1.8   -40.0     2.3
1999.6214   -44.6     4.2   182.3     1.8   -38.3     2.3
1999.6241   -52.9     4.4   181.8     1.8   -41.9     2.4
1999.6270   -52.8     4.4   182.1     1.8   -40.8     2.4
1999.6324   -33.8     4.5   183.6     1.8   -37.3     2.4
1999.6352   -45.4     4.5   180.2     1.9   -38.1     2.5
1999.6380   -47.2     4.4   180.9     1.8   -39.1     2.4
1999.6410   -57.7     4.8   180.2     2.0   -41.2     2.5
1999.6434   -51.1     4.7   181.1     2.0   -39.6     2.5
1999.6461   -51.3     4.9   183.2     2.0   -40.6     2.6
1999.6490   -57.8     4.9   181.5     2.0   -40.3     2.5
