% site name: TIMM
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6324   -32.3     4.0    55.1     2.8   -60.7     2.4
2007.6352   -42.2     2.7    56.2     2.1   -61.4     1.8
2007.6380   -38.7     2.7    54.5     2.1   -61.8     1.8
2007.6410   -40.4     2.7    56.0     2.1   -60.5     1.8
2007.6434   -35.1     2.7    56.9     2.1   -59.6     1.7
2007.6461   -32.6     2.8    55.9     2.1   -61.0     1.8
2007.6490   -31.5     2.8    55.5     2.1   -59.3     1.8
2007.6520   -33.0     2.9    55.6     2.2   -60.7     1.9
2007.6542   -35.2     3.0    55.9     2.2   -60.0     1.9
2007.6571   -30.2     2.8    56.4     2.1   -60.7     1.9
2007.6600   -30.5     2.8    54.7     2.1   -60.6     1.8
2007.6630   -33.0     2.7    54.9     2.1   -60.6     1.8
2007.6652   -34.0     2.8    56.3     2.1   -59.9     1.9
2007.6680   -32.4     2.8    56.0     2.1   -59.9     1.9
2007.6710   -36.4     2.9    55.0     2.2   -60.0     1.9
2007.6734   -30.8     2.8    55.6     2.1   -61.7     1.8
2007.6761   -30.7     2.7    56.2     2.1   -59.0     1.8
2007.6790   -25.1     2.8    55.6     2.1   -60.1     1.8
2007.6820   -32.9     2.9    57.3     2.2   -62.3     1.9
2007.6844   -34.9     2.8    56.1     2.1   -59.1     1.9
2007.6872   -33.1     2.8    56.8     2.1   -60.5     1.8
2007.6900   -37.1     2.8    54.7     2.1   -59.2     1.8
2007.6930   -33.5     2.7    55.7     2.1   -60.4     1.8
2007.6954   -31.3     2.8    55.4     2.1   -59.3     1.8
2007.6982   -32.5     2.7    55.3     2.1   -59.4     1.8
2007.7010   -27.6     2.7    55.3     2.1   -58.0     1.8
2007.7040   -31.1     2.7    55.2     2.1   -59.3     1.8
2007.7064   -28.5     2.8    55.0     2.1   -60.7     1.9
2007.7091   -28.8     2.8    56.1     2.1   -58.5     1.8
2007.7120   -28.0     2.8    54.8     2.1   -58.9     1.8
2007.7150   -27.3     2.8    55.3     2.1   -59.9     1.8
2007.7172   -33.5     2.7    56.6     2.1   -59.8     1.8
2007.7200   -31.5     2.7    55.4     2.1   -58.0     1.8
2007.7230   -31.0     2.7    55.4     2.1   -58.4     1.8
2007.7254   -29.5     2.7    54.9     2.1   -57.5     1.8
2007.7282   -28.3     2.8    54.3     2.1   -57.8     1.8
