% site name: TREO
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6680   -25.7     3.2    61.2     2.2   -60.9     1.9
2007.6710   -35.8     3.1    62.5     2.2   -61.9     1.9
2007.6734   -40.3     3.0    65.0     2.1   -63.2     1.8
2007.6761   -24.7     3.0    64.1     2.1   -62.7     1.8
2007.6790   -27.1     3.0    61.3     2.1   -62.2     1.8
2007.6820   -30.7     3.0    62.4     2.2   -61.4     1.8
2007.6844   -38.3     3.0    61.5     2.1   -59.9     1.8
2007.6872   -35.8     2.9    61.2     2.1   -62.4     1.8
2007.6900   -40.9     3.0    61.2     2.1   -59.4     1.8
2007.6930   -36.3     2.9    62.0     2.1   -62.6     1.7
2007.6954   -29.5     3.0    61.6     2.1   -63.4     1.8
2007.6982   -36.7     3.0    62.0     2.1   -59.8     1.8
2007.7010   -35.0     2.9    61.9     2.1   -60.6     1.7
2007.7040   -34.1     3.0    61.4     2.1   -62.1     1.8
2007.7064   -28.5     3.1    61.5     2.1   -62.1     1.9
2007.7091   -30.8     3.0    62.1     2.1   -59.9     1.8
2007.7120   -32.3     3.0    62.3     2.1   -62.0     1.8
2007.7150   -26.2     2.9    62.9     2.1   -59.4     1.7
2007.7172   -31.6     2.9    61.2     2.1   -59.0     1.7
2007.7200   -30.2     3.0    62.2     2.1   -59.5     1.8
2007.7230   -42.6     3.0    62.0     2.1   -61.2     1.8
2007.7254   -34.2     3.0    62.5     2.1   -59.8     1.9
2007.7282   -32.3     3.0    61.5     2.1   -60.2     1.8
2007.7310   -35.5     3.0    62.3     2.1   -59.6     1.8
2007.7340   -34.9     2.9    61.8     2.1   -59.7     1.7
2007.7364   -38.8     2.9    62.5     2.1   -58.6     1.7
2007.7392   -39.9     2.9    61.5     2.1   -59.8     1.8
2007.7420   -38.1     3.0    62.2     2.1   -57.4     1.9
2007.7450   -34.4     3.1    60.2     2.2   -59.0     1.9
2007.7474   -41.1     2.9    62.3     2.1   -61.3     1.7
2007.7502   -29.3     2.9    64.2     2.1   -63.6     1.8
2007.7530   -41.6     3.0    62.1     2.1   -59.0     1.8
2007.7560   -27.3     2.9    62.4     2.1   -60.4     1.8
2007.7584   -30.4     2.9    62.9     2.1   -60.2     1.7
2007.7611   -38.4     2.9    62.8     2.1   -58.6     1.8
2007.7640   -38.0     2.9    62.1     2.1   -59.2     1.7
2007.7670   -38.4     2.9    62.9     2.1   -58.5     1.7
2007.7692   -38.0     3.0    61.9     2.1   -57.9     1.9
2007.7720   -35.3     3.0    62.2     2.1   -57.4     1.9
2007.7750   -38.6     2.9    62.3     2.1   -56.7     1.7
2007.7774   -40.3     2.8    61.9     2.0   -58.9     1.8
2007.7802   -40.9     2.9    62.3     2.1   -58.9     1.7
2007.7830   -38.6     2.9    63.5     2.1   -59.1     1.7
2007.7860   -28.4     2.9    63.3     2.1   -60.8     1.7
2007.7884   -31.5     2.9    61.0     2.1   -60.4     1.7
2007.7912   -29.5     2.9    62.2     2.1   -60.0     1.7
2007.7940   -31.8     2.9    62.3     2.1   -59.4     1.7
2007.7970   -42.4     3.0    62.7     2.1   -58.4     1.9
2007.8000   -40.7     3.0    63.3     2.2   -58.8     1.8
2007.8022   -31.4     2.9    62.7     2.1   -58.4     1.8
2007.8050   -31.3     2.8    62.3     2.0   -57.1     1.8
2007.8080   -37.7     2.9    62.7     2.1   -57.7     1.7
2007.8104   -27.8     2.9    62.7     2.1   -57.9     1.7
2007.8131   -34.4     2.9    62.8     2.1   -58.0     1.7
2007.8160   -26.9     3.0    62.5     2.2   -58.3     1.8
2007.8190   -30.0     3.0    62.8     2.2   -56.2     1.8
2007.8214   -27.2     2.9    62.4     2.1   -58.9     1.8
