% site name: UPVK
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.4190   -33.1     3.8    91.9     2.0   -37.7     2.1
2007.4220   -36.4     3.0    90.1     1.8   -38.5     1.9
2007.4244   -37.2     3.0    89.1     1.8   -38.7     1.9
2007.4271   -36.5     3.0    90.2     1.8   -38.6     1.9
2007.4300   -32.9     3.0    92.2     1.8   -38.0     1.9
2007.4330   -32.4     3.0    91.4     1.8   -36.5     1.9
2007.4353   -53.3     3.0    89.5     1.8   -41.6     1.9
2007.4381   -36.7     3.0    90.1     1.8   -38.7     1.9
2007.4410   -40.4     3.1    88.0     1.8   -40.2     1.9
2007.4434   -52.0     3.1    87.7     1.8   -45.8     1.9
2007.4462   -38.6     3.0    89.9     1.8   -40.5     1.9
2007.4490   -35.5     3.0    90.7     1.8   -38.0     1.9
2007.4520   -34.9     3.1    90.4     1.8   -39.5     1.9
2007.4544   -29.3     3.0    89.4     1.8   -38.5     1.9
2007.4571   -30.8     3.1    89.8     1.8   -38.0     1.9
2007.4600   -32.9     3.0    90.6     1.8   -37.6     1.9
2007.4630   -44.7     3.0    86.4     1.8   -40.5     1.9
2007.4654   -34.1     3.0    89.9     1.8   -37.9     1.9
2007.4681   -39.9     3.0    89.6     1.8   -37.9     1.9
2007.4710   -50.2     3.1    86.7     1.8   -42.6     1.9
2007.4740   -37.8     3.1    87.9     1.8   -39.3     1.9
2007.4764   -34.8     3.1    88.1     1.8   -38.2     1.9
2007.4791   -38.5     3.2    88.9     1.8   -38.5     1.9
2007.4820   -40.2     3.0    89.0     1.8   -37.7     1.9
2007.4850   -33.4     3.0    89.7     1.8   -37.1     1.9
2007.4873   -27.7     3.0    88.3     1.8   -38.0     1.9
2007.4901   -33.2     3.0    87.2     1.8   -40.6     1.9
2007.4930   -37.5     3.0    88.4     1.8   -40.0     1.9
2007.4960   -36.7     3.0    88.7     1.8   -37.7     1.9
2007.4982   -36.6     3.0    89.4     1.8   -38.5     1.9
2007.5010   -34.5     3.0    87.4     1.8   -38.9     1.9
2007.5040   -35.1     3.0    87.5     1.8   -37.7     1.9
2007.5064   -35.5     3.1    88.6     1.8   -39.0     1.9
2007.5091   -33.7     3.1    89.2     1.8   -38.6     1.9
2007.5120   -34.3     3.0    88.1     1.8   -37.9     1.9
2007.5150   -33.4     3.0    88.1     1.8   -38.1     1.9
2007.5174   -30.3     3.0    87.5     1.8   -38.4     1.9
2007.5201   -35.7     3.0    87.0     1.8   -38.6     1.9
2007.5230   -30.7     2.9    87.8     1.8   -37.3     1.8
2007.5260   -32.3     3.0    86.7     1.8   -37.9     1.9
2007.5284   -32.0     3.0    88.4     1.8   -38.5     1.9
2007.5311   -31.9     3.0    88.8     1.8   -37.5     1.9
2007.5340   -29.9     3.0    88.4     1.8   -35.4     1.9
2007.5370   -30.6     3.0    87.4     1.8   -37.8     1.9
2007.5394   -39.8     3.0    86.1     1.8   -38.8     1.9
2007.5421   -39.7     3.0    85.6     1.8   -38.1     1.9
2007.5450   -37.3     3.0    87.3     1.8   -38.3     1.9
2007.5480   -29.3     3.0    85.8     1.8   -36.7     1.9
2007.5502   -32.5     3.0    86.5     1.8   -38.0     1.9
2007.5530   -29.9     3.1    87.4     1.8   -37.7     1.9
2007.5560   -35.2     3.0    86.7     1.8   -38.8     1.9
2007.5584   -34.6     3.0    86.9     1.8   -39.3     1.9
2007.5612   -33.9     3.0    87.1     1.8   -38.1     1.9
2007.5640   -29.2     3.0    86.6     1.8   -39.2     1.9
2007.5670   -30.3     3.0    85.9     1.8   -37.4     1.9
2007.5694   -30.9     3.0    86.9     1.8   -36.6     1.9
2007.5721   -32.5     3.0    85.0     1.8   -39.5     1.9
2007.5750   -30.2     3.1    85.1     1.8   -38.4     1.9
2007.5780   -32.4     3.1    85.8     1.8   -38.1     1.9
2007.5804   -29.5     3.0    85.6     1.8   -38.7     1.9
2007.5832   -32.9     3.2    85.3     1.8   -38.0     1.9
2007.5860   -33.6     3.2    86.1     1.8   -37.1     1.9
2007.5890   -29.2     3.0    85.4     1.8   -38.0     1.9
2007.5914   -27.7     3.0    86.0     1.8   -37.7     1.9
2007.5941   -31.6     3.0    85.8     1.8   -36.6     1.9
2007.5970   -28.3     3.1    85.1     1.8   -38.1     1.9
2007.6000   -34.0     3.2    86.6     1.8   -38.4     1.9
2007.6051   -31.9     6.6    83.1     3.3   -38.6     3.4
2007.6080   -32.9     4.7    82.8     2.4   -36.2     2.6
2007.6104   -32.5     3.2    83.1     1.8   -38.6     1.9
2007.6132   -32.2     3.2    81.1     1.8   -37.7     1.9
2007.6160   -34.0     3.1    81.8     1.8   -36.3     1.9
2007.6190   -31.7     3.0    81.5     1.8   -37.7     1.9
