% site name: UTMG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2007.6324   -37.6     5.3    85.9     3.4   -88.6     3.0
2007.6352   -41.4     2.7    87.1     2.1   -86.2     1.8
2007.6380   -43.1     2.7    87.1     2.1   -88.2     1.8
2007.6410   -38.5     2.8    88.7     2.1   -87.2     1.8
2007.6434   -38.2     2.7    88.2     2.1   -85.9     1.8
2007.6461   -33.2     2.8    88.2     2.1   -89.9     1.9
2007.6490   -45.1     2.8    87.7     2.1   -86.5     1.9
2007.6520   -40.8     3.0    87.0     2.2   -86.1     1.9
2007.6542   -40.6     3.1    86.3     2.2   -87.5     2.0
2007.6571   -42.5     2.9    87.2     2.1   -87.8     1.8
2007.6600   -42.3     2.8    85.9     2.2   -87.6     1.8
2007.6630   -44.6     2.8    84.8     2.1   -88.1     1.9
2007.6652   -31.2     2.9    87.2     2.2   -86.8     1.9
2007.6680   -43.2     2.9    86.5     2.2   -86.2     1.9
2007.6710   -35.9     3.0    86.7     2.2   -87.6     1.9
2007.6734   -36.1     2.8    88.4     2.1   -87.3     1.8
2007.6761   -34.8     2.8    87.6     2.2   -89.1     1.8
2007.6790   -37.4     2.9    88.4     2.2   -89.4     1.9
2007.6820   -40.6     2.9    88.8     2.2   -87.0     1.9
2007.6844   -41.9     2.8    86.1     2.2   -85.4     1.8
2007.6872   -35.1     2.9    85.4     2.2   -88.5     1.9
2007.6900   -46.6     2.8    86.2     2.2   -85.1     1.8
2007.6930   -44.5     2.8    85.9     2.1   -87.5     1.8
2007.6954   -36.2     2.8    87.6     2.1   -86.1     1.9
2007.6982   -37.0     2.8    86.9     2.1   -85.2     1.8
2007.7010   -31.7     2.8    87.7     2.1   -84.4     1.8
2007.7040   -35.8     2.8    86.6     2.1   -86.3     1.9
2007.7064   -33.3     2.9    87.1     2.2   -87.3     1.9
2007.7091   -38.9     2.8    86.6     2.2   -85.4     1.8
2007.7120   -39.9     2.8    85.2     2.1   -86.3     1.8
2007.7150   -29.3     2.8    86.4     2.1   -86.3     1.8
2007.7172   -44.7     2.8    88.8     2.1   -83.4     1.8
2007.7200   -34.6     2.8    87.7     2.1   -85.4     1.9
2007.7230   -41.9     2.8    87.2     2.2   -86.2     1.8
2007.7254   -37.3     2.8    86.8     2.1   -84.7     1.9
2007.7282   -35.3     2.9    86.9     2.2   -83.8     1.9
2007.7310   -39.7     2.8    86.7     2.2   -85.8     1.8
2007.7340   -38.4     2.7    86.8     2.1   -86.4     1.8
2007.7364   -42.9     2.7    87.2     2.1   -84.7     1.8
2007.7392   -39.5     2.8    86.9     2.1   -85.9     1.9
2007.7420   -34.1     2.9    88.8     2.2   -83.1     1.9
2007.7450   -29.7     3.0    87.3     2.3   -85.0     1.9
2007.7474   -36.8     2.8    88.0     2.2   -83.7     1.8
2007.7502   -31.8     2.8    90.7     2.2   -88.1     1.8
2007.7530   -34.8     2.8    86.8     2.1   -84.4     1.9
2007.7560   -38.7     2.8    89.4     2.2   -84.5     1.8
2007.7584   -39.4     2.8    90.8     2.2   -83.1     1.8
2007.7611   -37.1     2.8    88.9     2.2   -83.8     1.8
2007.7640   -38.6     2.7    86.8     2.1   -84.2     1.8
2007.7670   -42.0     2.7    87.5     2.1   -83.4     1.8
2007.7692   -38.0     2.8    87.0     2.1   -84.3     1.9
2007.7720   -46.3     2.9    88.9     2.2   -82.8     1.9
2007.7750   -37.9     2.9    86.6     2.1   -81.8     1.8
2007.7774   -37.1     2.7    86.5     2.1   -84.9     1.8
2007.7802   -37.6     2.7    87.6     2.1   -83.2     1.8
2007.7830   -33.8     2.7    88.3     2.1   -84.4     1.8
2007.7860   -39.5     2.7    90.1     2.1   -83.3     1.8
2007.7884   -19.6     2.8    88.2     2.1   -87.2     1.8
2007.7912   -31.6     2.7    87.1     2.1   -84.3     1.8
2007.7940   -36.9     2.8    87.6     2.1   -85.0     1.8
2007.7970   -33.4     2.8    88.4     2.2   -85.3     1.8
2007.8000   -37.8     2.8    86.3     2.2   -84.2     1.8
2007.8022   -36.4     2.8    87.3     2.1   -82.8     1.8
2007.8050   -24.4     2.7    90.9     2.1   -82.6     1.8
2007.8080   -31.7     2.8    88.8     2.1   -83.8     1.8
2007.8104   -33.7     2.8    89.9     2.1   -82.3     1.8
2007.8131   -34.3     2.8    88.6     2.1   -82.4     1.8
2007.8160   -32.7     3.0    87.8     2.3   -80.3     1.8
2007.8190   -39.6     2.8    87.4     2.2   -80.6     1.8
2007.8214   -30.9     2.9    87.2     2.1   -83.3     1.8
2007.8240   -29.2     2.9    86.2     2.1   -82.5     1.8
2007.8270   -35.1     2.8    86.0     2.2   -82.3     1.8
2007.8300   -34.2     2.8    86.5     2.2   -82.5     1.8
2007.8322   -36.1     2.8    84.8     2.1   -83.3     1.8
2007.8350   -32.2     2.7    86.0     2.1   -82.2     1.8
2007.8380   -34.1     2.7    85.8     2.1   -83.6     1.8
2007.8404   -35.5     2.7    87.0     2.1   -83.5     1.8
2007.8432   -25.8     2.7    83.6     2.1   -81.8     1.8
2007.8460   -41.6     2.7    85.3     2.1   -83.2     1.8
2007.8490   -34.2     2.7    87.1     2.1   -81.0     1.8
2007.8514   -41.9     2.7    83.7     2.1   -82.7     1.8
2007.8542   -30.7     2.8    87.1     2.1   -82.1     1.8
2007.8570   -36.0     2.8    85.8     2.1   -83.7     1.8
2007.8600   -39.4     2.7    85.8     2.1   -82.4     1.8
2007.8624   -35.2     2.7    85.7     2.1   -82.7     1.8
2007.8652   -35.1     2.7    85.8     2.1   -84.4     1.8
2007.8680   -34.3     2.8    85.7     2.2   -83.1     1.8
2007.8710   -36.4     2.8    84.8     2.1   -81.4     1.8
2007.8734   -38.8     2.7    83.8     2.1   -83.7     1.8
2007.8760   -36.3     2.7    84.7     2.1   -81.9     1.8
2007.8790   -35.3     2.7    85.3     2.1   -80.4     1.8
2007.8820   -33.3     2.7    84.5     2.1   -82.5     1.8
2007.8842   -36.5     2.8    84.1     2.1   -82.4     1.8
2007.8870   -33.3     3.0    83.3     2.3   -84.3     1.8
2007.8900   -32.8     2.8    84.8     2.2   -84.6     1.8
2007.8924   -33.5     2.9    84.8     2.2   -82.6     1.9
2007.8952   -35.4     2.8    85.0     2.2   -83.2     1.8
2007.8980   -33.4     2.8    84.9     2.1   -82.3     1.9
2007.9010   -30.4     2.8    86.3     2.1   -83.1     1.8
2007.9034   -34.7     2.7    86.1     2.1   -85.1     1.8
2007.9062   -35.2     2.7    85.1     2.1   -83.3     1.8
2007.9090   -35.4     2.7    87.0     2.1   -81.3     1.8
2007.9120   -38.5     2.7    87.3     2.1   -81.0     1.8
2007.9144   -36.7     2.7    85.6     2.1   -81.9     1.8
2007.9172   -38.2     2.7    84.9     2.1   -82.3     1.8
2007.9200   -36.6     2.7    82.8     2.1   -80.8     1.8
2007.9230   -33.5     2.7    83.1     2.1   -82.5     1.8
2007.9254   -28.7     2.7    86.2     2.1   -83.4     1.8
2007.9281   -33.2     2.8    85.4     2.1   -83.7     1.9
2007.9310   -30.9     2.7    85.4     2.1   -82.2     1.8
2007.9340   -33.0     2.7    84.3     2.1   -82.6     1.8
2007.9362   -35.8     2.7    85.3     2.1   -80.6     1.8
2007.9390   -34.8     2.7    84.1     2.1   -82.0     1.8
2007.9420   -38.8     2.8    86.4     2.1   -81.5     1.9
2007.9450   -36.4     2.8    85.8     2.1   -82.3     1.8
2007.9472   -32.8     2.8    84.9     2.1   -82.0     1.9
2007.9500   -40.8     2.7    85.3     2.1   -82.9     1.8
2007.9530   -37.1     2.7    87.1     2.1   -80.2     1.8
2007.9554   -36.3     2.7    86.4     2.1   -82.5     1.8
2007.9582   -40.4     2.7    85.9     2.1   -82.0     1.8
2007.9610   -39.2     2.7    86.0     2.1   -80.9     1.8
2007.9640   -41.4     2.8    85.3     2.2   -80.5     1.8
2007.9670   -42.8     2.7    84.8     2.1   -79.8     1.8
2007.9692   -37.6     2.7    85.6     2.1   -83.2     1.8
2007.9720   -37.2     2.7    85.1     2.1   -81.4     1.8
2007.9750   -41.3     2.7    84.0     2.1   -80.9     1.8
2007.9774   -33.4     2.7    82.8     2.1   -83.2     1.8
2007.9802   -34.4     2.7    84.0     2.1   -81.1     1.8
2007.9830   -26.7     2.7    83.6     2.1   -81.4     1.8
2007.9860   -32.3     2.7    83.6     2.1   -81.7     1.8
2007.9884   -35.8     2.7    83.7     2.1   -82.0     1.8
2007.9910   -38.3     2.7    82.6     2.1   -81.4     1.8
