% site name: VFDG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6040   -24.8     5.6    47.8     2.6   -69.8     1.9
2009.6064   -27.1     3.4    49.8     1.9   -68.0     1.5
2009.6092   -32.9     3.4    49.9     1.9   -66.9     1.5
2009.6120   -31.8     3.4    48.1     1.9   -67.6     1.5
2009.6150   -30.5     3.4    48.7     1.9   -67.4     1.5
2009.6174   -32.6     3.3    49.9     1.8   -66.7     1.4
2009.6201   -29.5     3.3    49.0     1.8   -67.0     1.4
2009.6230   -29.6     3.3    48.7     1.9   -67.2     1.5
2009.6260   -31.5     3.4    49.2     1.9   -66.9     1.5
2009.6282   -30.7     3.3    48.2     1.8   -66.1     1.4
2009.6311   -24.1     3.3    48.6     1.8   -66.3     1.4
2009.6340   -31.8     3.5    48.2     1.9   -67.6     1.5
2009.6370   -28.1     3.4    49.3     1.9   -66.7     1.5
2009.6392   -30.0     3.4    47.7     1.9   -67.4     1.5
2009.6420   -26.2     3.4    49.0     1.9   -64.7     1.5
2009.6450   -31.5     3.4    48.4     1.9   -66.3     1.5
2009.6474   -26.6     3.3    48.6     1.9   -65.7     1.5
2009.6501   -23.3     3.4    48.1     1.9   -66.4     1.5
2009.6530   -30.3     3.4    48.2     1.9   -66.2     1.5
2009.6560   -35.4     3.4    47.9     1.9   -65.7     1.4
2009.6584   -33.8     3.3    47.9     1.9   -66.2     1.5
2009.6612   -29.2     3.2    47.1     1.9   -64.9     1.5
2009.6640   -25.2     3.5    46.4     1.9   -66.2     1.5
2009.6670   -24.8     3.3    47.0     1.9   -65.7     1.5
2009.6694   -24.8     3.2    47.3     1.8   -66.5     1.4
2009.6721   -26.0     3.4    48.7     1.9   -65.7     1.5
2009.6750   -24.8     3.3    48.3     1.9   -65.4     1.5
2009.6780   -24.2     3.3    48.0     1.9   -66.5     1.5
2009.6804   -21.4     3.3    48.3     1.9   -66.6     1.5
2009.6831   -26.3     3.3    50.1     1.9   -67.0     1.5
2009.6860   -28.2     3.3    49.2     1.8   -67.2     1.4
2009.6890   -30.5     3.3    49.5     1.8   -66.2     1.4
2009.6912   -25.4     3.3    48.6     1.9   -67.1     1.5
