% site name: WTHG
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6174    -9.6     4.8    36.6     2.1   -59.8     1.5
2009.6201   -12.4     3.3    35.0     1.7   -58.8     1.3
2009.6230   -13.9     3.3    36.3     1.7   -58.3     1.3
2009.6260   -15.0     3.4    36.8     1.7   -59.0     1.3
2009.6282   -12.5     3.3    35.9     1.7   -58.2     1.3
2009.6311    -9.4     3.3    36.0     1.7   -58.6     1.3
2009.6340   -15.9     3.3    35.9     1.7   -59.0     1.3
2009.6370   -15.0     3.4    36.8     1.7   -59.1     1.3
2009.6392   -20.1     3.5    35.2     1.7   -56.8     1.3
2009.6420   -12.4     3.4    37.0     1.7   -57.5     1.3
2009.6450   -13.9     3.3    36.9     1.7   -57.9     1.3
2009.6474   -16.9     3.3    36.4     1.7   -58.6     1.3
2009.6501   -10.7     3.4    35.3     1.7   -58.3     1.3
2009.6530   -13.1     3.4    35.0     1.7   -58.3     1.3
2009.6560   -12.3     3.5    35.2     1.7   -57.8     1.3
2009.6584   -15.2     3.3    35.6     1.7   -57.9     1.3
2009.6612   -13.5     3.3    35.0     1.7   -57.1     1.3
2009.6640   -10.0     3.4    35.0     1.7   -57.9     1.3
2009.6670    -9.0     3.4    35.6     1.7   -58.1     1.3
2009.6694   -10.6     3.3    36.1     1.7   -57.5     1.3
2009.6721   -12.9     3.4    37.1     1.7   -57.3     1.3
2009.6750   -11.0     3.4    36.4     1.7   -57.0     1.3
2009.6780   -10.4     3.4    36.5     1.7   -58.3     1.3
2009.6804   -11.6     3.3    36.4     1.7   -58.9     1.3
2009.6831   -14.3     3.3    38.0     1.7   -58.7     1.3
2009.6860   -13.1     3.3    37.8     1.7   -58.5     1.3
2009.6890   -15.2     3.3    37.0     1.7   -58.5     1.3
2009.6912   -12.8     3.3    35.6     1.7   -59.4     1.3
2009.6940   -18.9     3.4    36.2     1.7   -59.3     1.3
2009.6970    -8.9     3.4    35.8     1.7   -58.6     1.3
2009.6994   -10.6     3.4    36.1     1.7   -58.1     1.3
2009.7022   -13.9     3.4    36.0     1.7   -57.4     1.3
2009.7050   -12.4     3.3    36.3     1.7   -57.1     1.3
2009.7080   -18.6     3.4    35.4     1.7   -57.5     1.2
2009.7104   -13.6     3.3    36.4     1.7   -57.9     1.3
2009.7132   -10.9     3.4    36.0     1.7   -57.8     1.3
2009.7160   -10.6     3.3    36.1     1.7   -58.1     1.3
2009.7190   -12.1     3.3    35.5     1.7   -56.9     1.3
2009.7214   -14.6     3.3    35.8     1.7   -57.2     1.3
2009.7242   -11.0     3.3    35.2     1.7   -56.0     1.3
2009.7270   -12.3     3.4    35.1     1.7   -57.0     1.3
2009.7300   -11.9     3.4    35.3     1.7   -56.8     1.3
2009.7324   -14.0     3.2    36.5     1.7   -57.2     1.3
2009.7351   -22.3     3.3    34.3     1.7   -56.5     1.3
2009.7380   -10.9     3.4    36.1     1.7   -55.8     1.3
2009.7410   -21.6     3.5    34.5     1.7   -53.7     1.3
2009.7432   -12.0     3.4    33.8     1.7   -56.1     1.3
2009.7460   -16.9     3.3    35.0     1.7   -56.7     1.3
