% site name: YMER
% Time      Up        err   East      err    North    err
% years     mm        mm    mm        mm     mm       mm
2009.6311     2.9     5.8    40.1     2.2   -57.4     1.4
2009.6340    -8.7     3.5    40.6     1.7   -56.4     1.2
2009.6370   -10.6     3.8    40.0     1.7   -55.8     1.3
2009.6392    -8.3     3.7    37.7     1.7   -56.0     1.3
2009.6420    -8.7     3.6    40.0     1.7   -55.0     1.2
2009.6450    -6.8     3.7    41.1     1.7   -55.6     1.3
2009.6474   -12.5     3.6    39.7     1.7   -56.6     1.2
2009.6501    -2.5     3.7    39.9     1.7   -55.7     1.3
2009.6530    -8.2     3.7    38.9     1.7   -56.7     1.3
2009.6560    -2.8     3.7    38.3     1.7   -54.7     1.3
2009.6584    -5.8     3.6    38.8     1.7   -56.4     1.2
2009.6612    -9.8     3.6    38.9     1.7   -56.1     1.2
2009.6640    -6.4     3.6    38.7     1.7   -56.3     1.2
2009.6670    -1.0     3.6    39.7     1.7   -56.3     1.2
2009.6694    -1.8     3.6    38.5     1.7   -55.4     1.2
2009.6721    -7.7     3.6    39.5     1.7   -56.1     1.2
2009.6750    -4.5     3.6    40.1     1.7   -55.6     1.2
2009.6780    -9.9     3.8    40.0     1.7   -56.7     1.3
2009.6804    -7.5     3.6    41.0     1.7   -56.5     1.2
2009.6831   -11.2     3.6    42.2     1.7   -55.6     1.2
2009.6860    -7.5     3.5    41.4     1.7   -56.5     1.2
2009.6890    -4.5     3.6    42.1     1.7   -56.1     1.2
2009.6912    -5.8     3.6    40.2     1.7   -56.5     1.2
2009.6940   -12.0     3.6    40.5     1.7   -56.7     1.2
2009.6970    -2.3     3.6    41.2     1.7   -56.0     1.2
2009.6994    -8.1     3.6    40.6     1.7   -55.3     1.2
2009.7022    -6.4     3.7    39.8     1.7   -54.7     1.3
2009.7050    -5.6     3.6    40.8     1.7   -54.6     1.2
2009.7080   -11.2     3.6    39.2     1.7   -55.2     1.2
2009.7104   -12.8     3.6    40.1     1.7   -55.4     1.2
2009.7132   -11.0     3.6    39.9     1.7   -55.7     1.2
2009.7160    -6.0     3.6    39.7     1.7   -55.9     1.2
2009.7190    -3.4     3.5    39.2     1.7   -54.5     1.2
2009.7214   -11.9     3.6    39.1     1.7   -54.7     1.2
2009.7242    -8.5     3.6    38.4     1.7   -53.5     1.2
2009.7270    -5.6     3.8    38.4     1.7   -54.7     1.3
2009.7300    -7.1     3.6    39.0     1.7   -55.2     1.2
2009.7324    -8.1     3.5    39.6     1.7   -54.2     1.2
2009.7351   -12.6     3.6    38.0     1.7   -55.6     1.2
2009.7380    -5.8     3.6    37.1     1.7   -53.9     1.2
2009.7410   -14.1     3.8    37.3     1.7   -54.3     1.3
2009.7432   -10.5     3.6    37.5     1.7   -54.2     1.2
2009.7460   -11.9     3.6    37.2     1.7   -54.2     1.2
2009.7490   -13.7     3.6    37.2     1.7   -53.8     1.2
2009.7514   -12.8     3.6    37.6     1.7   -54.5     1.2
2009.7542    -8.0     3.5    37.4     1.7   -52.7     1.2
2009.7570   -16.8     3.5    38.7     1.7   -53.7     1.2
2009.7600    -8.5     3.6    37.2     1.7   -54.5     1.2
2009.7624   -14.4     3.6    37.9     1.7   -54.0     1.2
2009.7652   -10.6     3.5    38.5     1.7   -52.8     1.2
2009.7680   -17.1     3.5    37.4     1.7   -53.8     1.2
2009.7710   -16.0     3.7    38.7     1.7   -54.8     1.3
2009.7734   -12.1     3.6    36.6     1.7   -54.5     1.2
2009.7762   -13.0     3.6    36.7     1.7   -53.2     1.2
2009.7790   -11.6     3.5    38.1     1.7   -53.4     1.2
2009.7820    -8.7     3.5    38.8     1.7   -51.8     1.2
2009.7844    -8.5     3.6    38.8     1.7   -52.8     1.2
2009.7871    -7.5     3.6    40.8     1.7   -52.7     1.2
2009.7900   -10.4     3.8    39.3     1.7   -54.0     1.3
2009.7930    -5.9     3.6    37.1     1.7   -53.4     1.2
2009.7952   -12.6     3.6    38.8     1.7   -54.4     1.2
2009.7980    -4.8     3.7    38.8     1.7   -53.8     1.3
2009.8010   -15.1     3.8    39.4     1.7   -54.0     1.3
2009.8040   -13.7     3.6    38.5     1.7   -53.5     1.2
2009.8062   -12.4     3.6    38.1     1.7   -52.3     1.2
2009.8090   -12.9     3.8    40.1     1.7   -52.4     1.3
2009.8120   -10.8     3.6    37.7     1.7   -51.3     1.2
2009.8144   -16.5     3.8    38.5     1.7   -53.2     1.3
2009.8172   -12.0     3.8    38.3     1.7   -52.3     1.3
2009.8200   -12.1     3.8    38.2     1.7   -53.2     1.3
2009.8230   -17.7     3.8    39.1     1.7   -52.4     1.3
2009.8254   -14.5     3.8    36.5     1.7   -51.9     1.3
2009.8282   -12.7     3.8    36.6     1.7   -51.2     1.3
2009.8310   -14.9     3.7    37.1     1.7   -52.7     1.3
2009.8340    -5.0     3.7    36.5     1.7   -53.0     1.3
2009.8364   -10.1     3.7    38.3     1.7   -53.1     1.3
2009.8392    -5.7     3.9    35.6     1.7   -53.5     1.3
2009.8420    -9.7     3.6    37.2     1.7   -54.2     1.2
2009.8450   -13.4     3.6    35.4     1.7   -52.2     1.2
2009.8474    -8.6     3.7    35.3     1.7   -53.1     1.3
2009.8500    -3.1     3.6    37.5     1.7   -54.0     1.2
2009.8530   -12.0     3.6    38.9     1.7   -51.4     1.2
2009.8560    -8.0     3.7    38.1     1.7   -51.9     1.3
2009.8582   -10.1     3.7    39.1     1.7   -53.3     1.3
2009.8610    -9.1     3.7    37.7     1.7   -52.2     1.3
2009.8640    -8.7     3.7    37.8     1.7   -50.8     1.3
2009.8664    -5.6     3.7    38.7     1.7   -51.0     1.3
2009.8692    -5.8     3.7    36.9     1.7   -53.2     1.3
2009.8720    -8.2     3.7    36.4     1.7   -52.7     1.3
2009.8750    -6.5     3.7    36.1     1.7   -52.0     1.3
2009.8774    -6.7     3.7    37.8     1.7   -51.6     1.3
2009.8802    -4.6     3.7    37.9     1.7   -51.8     1.3
2009.8830   -10.2     3.8    37.0     1.7   -53.6     1.3
2009.8860    -5.2     3.6    38.8     1.7   -50.7     1.2
2009.8884    -9.1     3.7    37.0     1.7   -52.3     1.3
2009.8912    -9.2     4.0    37.0     1.8   -52.3     1.3
2009.8940    -7.0     3.7    35.7     1.7   -51.8     1.3
2009.8970   -10.4     3.6    35.7     1.7   -50.9     1.2
2009.8994    -6.1     3.7    35.9     1.7   -51.5     1.3
2009.9020    -2.6     3.6    38.1     1.7   -51.2     1.2
2009.9050    -5.3     3.6    37.1     1.7   -50.7     1.2
2009.9080    -2.4     3.6    36.4     1.7   -50.4     1.2
2009.9102    -8.1     3.6    37.3     1.7   -50.5     1.2
2009.9130    -3.9     3.5    36.4     1.7   -50.5     1.2
2009.9160    -3.3     3.5    35.7     1.7   -52.6     1.2
2009.9184     1.3     3.5    36.1     1.7   -51.2     1.2
2009.9212    -4.9     3.5    34.5     1.7   -51.7     1.2
2009.9240    -8.1     3.6    36.5     1.7   -48.5     1.2
2009.9270    -3.6     3.5    34.9     1.7   -49.3     1.2
2009.9294    -7.7     3.5    35.2     1.7   -48.6     1.2
2009.9322     0.5     3.6    36.0     1.7   -51.1     1.2
2009.9350    -9.0     3.6    36.7     1.7   -51.2     1.2
2009.9380    -5.6     3.5    37.0     1.7   -50.2     1.2
2009.9410   -11.7     3.6    36.6     1.7   -50.7     1.2
2009.9432   -14.4     3.6    37.2     1.7   -50.3     1.2
2009.9460   -12.8     3.6    35.6     1.7   -50.3     1.2
2009.9490    -5.0     3.6    35.0     1.7   -50.0     1.2
2009.9514   -10.3     3.7    35.9     1.7   -50.4     1.3
2009.9541    -5.5     3.6    35.5     1.7   -52.1     1.2
2009.9570    -4.8     3.5    34.1     1.7   -50.6     1.2
2009.9600    -7.4     3.6    34.4     1.7   -50.2     1.2
