    lat            long       Up	 East       North  site
       deg           deg      mm/yr 	mm/yr     mm/yr   
   76.53733698  -68.78800630    0.31 	-0.08     -0.50   % THU1
   66.98741752  -50.94483485   -0.83 	 0.66      0.37    % KELY
   65.57933345  -37.14935346   -0.57 	-0.12      0.17   % KULU
   60.71526221  -46.04776081    2.52 	-0.21      0.11   % QAQ1
   70.48533529  -21.95032344    1.76 	-0.05      0.10   % SCOR
   66.40115645  -38.21570322   -0.42 	-0.43      0.45   % HEL2
   69.22230069  -49.81462626   -1.65  	 0.90      0.07   % KAGA
   69.25262741  -53.52232288   -0.50 	 0.21      0.14   % QEQE
   69.24041397  -51.06075221   -0.97  	 0.73      0.10   % ILUL
   68.71931545  -52.79333668   -0.44 	 0.33      0.25   % AASI
   72.91067760  -54.39370327    0.28    -0.18     -0.07   % SRMP
   72.78828903  -56.12800497   -0.50    -0.36     -0.10   % UPVK
   74.58062459  -57.22705626   -0.65    -0.26      0.03   % KULL
   71.84849948  -50.99396106    0.47     0.44     -0.30   % RINK
   70.74040524  -52.68837181   -0.11     0.26     -0.17   % QAAR
   76.35162037  -61.67767323   -0.03     0.18     -0.24   % DKSG
   75.72612842  -58.25734658   -0.47     0.01     -0.02   % ASKY
   68.14119429  -31.45047511   -0.22    -0.33      0.17   % MIKI
   68.14029706  -31.45180000   -0.22    -0.33      0.17   % MIK2
   68.58700000  -33.05270000   -0.33    -0.46      0.35   % KUAQ
   66.89772642  -34.03346614   -0.58    -0.14      0.19   % PLPK
   66.86327903  -35.57632129   -0.47    -0.25      0.34   % KSNB
   65.14368122  -41.15755037   -0.15    -0.50      0.58   % KBUG
   64.43047995  -40.19805920    0.05    -0.15      0.54   % LYNS
   64.27706838  -41.37508283    0.37    -0.31      0.70   % TREO
   63.41820888  -41.14787406    0.89    -0.01      0.64   % HJOR
   62.53554184  -42.28615694    2.13     0.07      0.67   % TIMM
   62.92720510  -43.30640661    2.10    -0.14      0.89   % UTMG
   61.63187532  -44.90105316    3.37    -0.01      0.67   % NNVN
   61.06957976  -47.14131434    2.08    -0.26      0.24   % SENU
   77.18703702  -65.69462123    1.88     0.22     -0.23   % MARG
   81.25271445  -63.52739394    3.82     0.51     -0.01   % KMOR
   79.13195831  -65.85295293    3.84     0.57     -0.08   % KAGZ
   80.26013264  -59.59361581    2.80     0.58     -0.33   % SCBY
   64.18355279  -51.73115943   -1.02     0.21      0.37   % NUUK
   64.43235098  -50.27120822   -1.17     0.51      0.48   % KAPI
   80.45668210  -26.29345850    7.88    -0.54     -0.08   % LEFN
   82.20875770  -31.00420035    5.75    -0.59      0.54   % JGBL
   83.64323712  -33.37707965    2.04    -0.51      0.68   % KMJP
   83.11165278  -45.11983247    2.32    -0.62      0.36   % JWLF
   81.87983144  -44.51737016    3.90    -0.69     -0.15   % HRDG
   70.29992279  -29.81764011    0.93    -0.84      0.36   % VFDG
   71.78653300  -29.85020487    0.23    -0.81      0.46   % DGJG
   72.24082184  -23.91286217    1.78    -0.61      0.39   % MSVG
   73.67598148  -28.12906910   -0.70    -0.74      0.12   % HMBG
   73.95519849  -24.30891978    0.21    -0.87      0.13   % WTHG
   74.31194631  -20.19982622    0.33    -0.57     -0.01   % DANE
   75.89380789  -23.85294210    1.45    -0.86     -0.60   % LBIB
   77.43289457  -24.32632581    4.20    -0.77     -0.70   % YMER
   77.80942501  -19.65211586    4.42    -0.08     -0.51   % GMMA
   78.44269848  -22.90376226    6.08    -0.47     -0.53   % GROK
   79.15502808  -17.72541578    5.12     0.41     -0.21   % NRSK
   79.53860769  -22.97472012    7.19    -0.25     -0.26   % BLAS
   81.60014030  -16.65545117    3.77     0.45      0.39   % NORD
   76.77107480  -18.65567510    2.60    -0.15     -0.50   % DMHN
   
   
  
   
  
  
  
  
   
   
   
  
  
  
   
   
