%     X       Y           lat            lon
%     m       m           deg            deg
   475000  -977000    79.99607203  -19.07180446
   476000  -977000    79.99206176  -19.02439078
   472000  -978000    79.99980967  -19.23722608
   473000  -978000    79.99582319  -19.18972811
   474000  -978000    79.99182989  -19.14226819
   475000  -978000    79.98782978  -19.09484635
   476000  -978000    79.98382288  -19.04746260
   477000  -978000    79.97980919  -19.00011697
   470000  -979000    79.99950166  -19.35518904
   471000  -979000    79.99553217  -19.30764536
   472000  -979000    79.99155585  -19.26013962
   473000  -979000    79.98757272  -19.21267182
   474000  -979000    79.98358277  -19.16524199
   475000  -979000    79.97958602  -19.11785015
   476000  -979000    79.97558248  -19.07049632
   477000  -979000    79.97157216  -19.02318051
   468000  -980000    79.99915147  -19.47314420
   469000  -980000    79.99519899  -19.42555523
   470000  -980000    79.99123967  -19.37800406
   471000  -980000    79.98727352  -19.33049071
   472000  -980000    79.98330055  -19.28301520
   473000  -980000    79.97932075  -19.23557756
   474000  -980000    79.97533416  -19.18817780
   475000  -980000    79.97134076  -19.14081594
   476000  -980000    79.96734058  -19.09349200
   477000  -980000    79.96333361  -19.04620600
   466000  -981000    79.99875911  -19.59109056
   467000  -981000    79.99482365  -19.54345670
   468000  -981000    79.99088135  -19.49586051
   469000  -981000    79.98693219  -19.44830202
   470000  -981000    79.98297621  -19.40078124
   471000  -981000    79.97901339  -19.35329820
   472000  -981000    79.97504375  -19.30585292
   473000  -981000    79.97106730  -19.25844541
   474000  -981000    79.96708405  -19.21107570
   475000  -981000    79.96309400  -19.16374381
   476000  -981000    79.95909716  -19.11644974
   477000  -981000    79.95509355  -19.06919354
   478000  -981000    79.95108316  -19.02197520
   464000  -982000    79.99832457  -19.70902712
   465000  -982000    79.99440616  -19.66134878
   466000  -982000    79.99048088  -19.61370799
   467000  -982000    79.98654874  -19.56610477
   468000  -982000    79.98260976  -19.51853913
   469000  -982000    79.97866393  -19.47101110
   470000  -982000    79.97471127  -19.42352070
   471000  -982000    79.97075178  -19.37606795
   472000  -982000    79.96678547  -19.32865286
   473000  -982000    79.96281236  -19.28127547
   474000  -982000    79.95883245  -19.23393579
   475000  -982000    79.95484574  -19.18663384
   476000  -982000    79.95085225  -19.13936963
   477000  -982000    79.94685198  -19.09214320
   478000  -982000    79.94284495  -19.04495455
   462000  -983000    79.99784787  -19.82695288
   463000  -983000    79.99394651  -19.77923048
   464000  -983000    79.99003828  -19.73154550
   465000  -983000    79.98612317  -19.68389795
   466000  -983000    79.98220120  -19.63628786
   467000  -983000    79.97827238  -19.58871525
   468000  -983000    79.97433671  -19.54118013
   469000  -983000    79.97039420  -19.49368255
   470000  -983000    79.96644486  -19.44622250
   471000  -983000    79.96248869  -19.39880004
   472000  -983000    79.95852572  -19.35141512
   473000  -983000    79.95455594  -19.30406782
   474000  -983000    79.95057936  -19.25675815
   475000  -983000    79.94659599  -19.20948612
   476000  -983000    79.94260584  -19.16225176
   477000  -983000    79.93860891  -19.11505507
   478000  -983000    79.93460523  -19.06789609
   479000  -983000    79.93059478  -19.02077482
   460000  -984000    79.99732900  -19.94486685
   461000  -984000    79.99344472  -19.89710080
   462000  -984000    79.98955355  -19.84937203
   463000  -984000    79.98565549  -19.80168057
   464000  -984000    79.98175055  -19.75402644
   465000  -984000    79.97783875  -19.70640965
   466000  -984000    79.97392008  -19.65883024
   467000  -984000    79.96999457  -19.61128822
   468000  -984000    79.96606221  -19.56378362
   469000  -984000    79.96212301  -19.51631645
   470000  -984000    79.95817699  -19.46888674
   471000  -984000    79.95422414  -19.42149451
   472000  -984000    79.95026449  -19.37413977
   473000  -984000    79.94629803  -19.32682255
   474000  -984000    79.94232478  -19.27954287
   475000  -984000    79.93834475  -19.23230074
   476000  -984000    79.93435793  -19.18509620
   477000  -984000    79.93036435  -19.13792925
   478000  -984000    79.92636400  -19.09079991
   479000  -984000    79.92235690  -19.04370821
   458000  -985000    79.99676798  -20.06276803
   459000  -985000    79.99290079  -20.01495874
   460000  -985000    79.98902669  -19.96718661
   461000  -985000    79.98514569  -19.91945164
   462000  -985000    79.98125781  -19.87175388
   463000  -985000    79.97736304  -19.82409333
   464000  -985000    79.97346139  -19.77647003
   465000  -985000    79.96955289  -19.72888399
   466000  -985000    79.96563752  -19.68133523
   467000  -985000    79.96171531  -19.63382379
   468000  -985000    79.95778625  -19.58634967
   469000  -985000    79.95385036  -19.53891290
   470000  -985000    79.94990765  -19.49151350
   471000  -985000    79.94595813  -19.44415150
   472000  -985000    79.94200179  -19.39682690
   473000  -985000    79.93803866  -19.34953974
   474000  -985000    79.93406873  -19.30229003
   475000  -985000    79.93009202  -19.25507779
   476000  -985000    79.92610854  -19.20790304
   477000  -985000    79.92211829  -19.16076580
   478000  -985000    79.91812128  -19.11366610
   479000  -985000    79.91411752  -19.06660394
   480000  -985000    79.91010702  -19.01957934
   456000  -986000    79.99616482  -20.18065542
   457000  -986000    79.99231473  -20.13280331
   458000  -986000    79.98845772  -20.08498822
   459000  -986000    79.98459380  -20.03721017
   460000  -986000    79.98072297  -19.98946918
   461000  -986000    79.97684525  -19.94176529
   462000  -986000    79.97296065  -19.89409850
   463000  -986000    79.96906916  -19.84646885
   464000  -986000    79.96517081  -19.79887635
   465000  -986000    79.96126559  -19.75132104
   466000  -986000    79.95735352  -19.70380292
   467000  -986000    79.95343460  -19.65632202
   468000  -986000    79.94950885  -19.60887837
   469000  -986000    79.94557627  -19.56147198
   470000  -986000    79.94163686  -19.51410287
   471000  -986000    79.93769065  -19.46677107
   472000  -986000    79.93373763  -19.41947660
   473000  -986000    79.92977781  -19.37221948
   474000  -986000    79.92581120  -19.32499972
   475000  -986000    79.92183782  -19.27781734
   476000  -986000    79.91785766  -19.23067238
   477000  -986000    79.91387074  -19.18356483
   478000  -986000    79.90987706  -19.13649474
   479000  -986000    79.90587664  -19.08946210
   480000  -986000    79.90186947  -19.04246695
   453000  -987000    79.99934555  -20.34645940
   454000  -987000    79.99551952  -20.29852802
   455000  -987000    79.99168655  -20.25063351
   456000  -987000    79.98784664  -20.20277588
   457000  -987000    79.98399981  -20.15495516
   458000  -987000    79.98014606  -20.10717137
   459000  -987000    79.97628541  -20.05942453
   460000  -987000    79.97241785  -20.01171468
   461000  -987000    79.96854340  -19.96404182
   462000  -987000    79.96466208  -19.91640599
   463000  -987000    79.96077387  -19.86880721
   464000  -987000    79.95687880  -19.82124550
   465000  -987000    79.95297687  -19.77372088
   466000  -987000    79.94906809  -19.72623338
   467000  -987000    79.94515246  -19.67878301
   468000  -987000    79.94123001  -19.63136980
   469000  -987000    79.93730072  -19.58399377
   470000  -987000    79.93336462  -19.53665494
   471000  -987000    79.92942171  -19.48935333
   472000  -987000    79.92547200  -19.44208896
   473000  -987000    79.92151549  -19.39486185
   474000  -987000    79.91755220  -19.34767202
   475000  -987000    79.91358213  -19.30051949
   476000  -987000    79.90960530  -19.25340428
   477000  -987000    79.90562170  -19.20632642
   478000  -987000    79.90163135  -19.15928591
   479000  -987000    79.89763426  -19.11228278
   480000  -987000    79.89363043  -19.06531705
   481000  -987000    79.88961987  -19.01838873
   451000  -988000    79.99864098  -20.46435808
   452000  -988000    79.99483209  -20.41638485
   453000  -988000    79.99101624  -20.36844835
   454000  -988000    79.98719346  -20.32054859
   455000  -988000    79.98336373  -20.27268561
   456000  -988000    79.97952707  -20.22485943
   457000  -988000    79.97568350  -20.17707007
   458000  -988000    79.97183301  -20.12931756
   459000  -988000    79.96797562  -20.08160191
   460000  -988000    79.96411133  -20.03392316
   461000  -988000    79.96024015  -19.98628133
   462000  -988000    79.95636209  -19.93867644
